Title:               Civilian Labor Force in Richmond County, NC
Series ID:           NCRICH3LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  21745
1990-02-01  22335
1990-03-01  22070
1990-04-01  21901
1990-05-01  22556
1990-06-01  22987
1990-07-01  23226
1990-08-01  22800
1990-09-01  22347
1990-10-01  22383
1990-11-01  22289
1990-12-01  22264
1991-01-01  21993
1991-02-01  22121
1991-03-01  22123
1991-04-01  22229
1991-05-01  22747
1991-06-01  22758
1991-07-01  23096
1991-08-01  22570
1991-09-01  22211
1991-10-01  21668
1991-11-01  21680
1991-12-01  21571
1992-01-01  21685
1992-02-01  21515
1992-03-01  21460
1992-04-01  21621
1992-05-01  21991
1992-06-01  22330
1992-07-01  22841
1992-08-01  22445
1992-09-01  22021
1992-10-01  21830
1992-11-01  21771
1992-12-01  21619
1993-01-01  21361
1993-02-01  21391
1993-03-01  21162
1993-04-01  22148
1993-05-01  21386
1993-06-01  21746
1993-07-01  22153
1993-08-01  21526
1993-09-01  21201
1993-10-01  20863
1993-11-01  20672
1993-12-01  20727
1994-01-01  21322
1994-02-01  21788
1994-03-01  21449
1994-04-01  21238
1994-05-01  21555
1994-06-01  21629
1994-07-01  22270
1994-08-01  22061
1994-09-01  21549
1994-10-01  21515
1994-11-01  21201
1994-12-01  20863
1995-01-01  20888
1995-02-01  21150
1995-03-01  21057
1995-04-01  21240
1995-05-01  21627
1995-06-01  21934
1995-07-01  21849
1995-08-01  21415
1995-09-01  20930
1995-10-01  20942
1995-11-01  20892
1995-12-01  20478
1996-01-01  20613
1996-02-01  21305
1996-03-01  21336
1996-04-01  21073
1996-05-01  21607
1996-06-01  21402
1996-07-01  22103
1996-08-01  21656
1996-09-01  21130
1996-10-01  21453
1996-11-01  21245
1996-12-01  20945
1997-01-01  20556
1997-02-01  20480
1997-03-01  20493
1997-04-01  20393
1997-05-01  20629
1997-06-01  20970
1997-07-01  20966
1997-08-01  20687
1997-09-01  20024
1997-10-01  20052
1997-11-01  19863
1997-12-01  19547
1998-01-01  19586
1998-02-01  19732
1998-03-01  19725
1998-04-01  19422
1998-05-01  19804
1998-06-01  19939
1998-07-01  20203
