Title:               Return on Average Assets for Banks in North Carolina
Series ID:           NCROA
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly, End of Period
Units:               Percent
Date Range:          1984-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series is a ratio of Net Income call item RIAD4340 to Quarterly
                     Average of Total Assets call item RCFD3368.
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     Data are annualized.
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE       VALUE
1984-01-01  1.05
1984-04-01  1.03
1984-07-01  1.08
1984-10-01  1.08
1985-01-01  1.16
1985-04-01  1.06
1985-07-01  1.11
1985-10-01  1.17
1986-01-01  1.23
1986-04-01  1.22
1986-07-01  1.19
1986-10-01  1.22
1987-01-01  1.18
1987-04-01  1.05
1987-07-01  1.08
1987-10-01  1.02
1988-01-01  1.16
1988-04-01  1.12
1988-07-01  1.11
1988-10-01  1.11
1989-01-01  1.08
1989-04-01  1.10
1989-07-01  1.07
1989-10-01  1.03
1990-01-01  1.02
1990-04-01  0.92
1990-07-01  0.84
1990-10-01  0.90
1991-01-01  0.86
1991-04-01  0.78
1991-07-01  0.73
1991-10-01  0.71
1992-01-01  1.10
1992-04-01  0.99
1992-07-01  1.05
1992-10-01  1.04
1993-01-01  1.21
1993-04-01  1.20
1993-07-01  1.15
1993-10-01  1.14
1994-01-01  1.07
1994-04-01  1.06
1994-07-01  1.04
1994-10-01  0.99
1995-01-01  0.66
1995-04-01  0.74
1995-07-01  1.05
1995-10-01  1.05
1996-01-01  0.87
1996-04-01  0.98
1996-07-01  0.98
1996-10-01  1.06
1997-01-01  1.14
1997-04-01  1.57
1997-07-01  1.55
1997-10-01  1.39
1998-01-01  1.30
1998-04-01  1.23
1998-07-01  1.31
1998-10-01  1.46
1999-01-01  1.19
1999-04-01  1.20
1999-07-01  1.52
1999-10-01  1.44
2000-01-01  1.35
2000-04-01  0.65
2000-07-01  0.81
2000-10-01  0.84
2001-01-01  1.07
2001-04-01  1.14
2001-07-01  0.84
2001-10-01  1.00
2002-01-01  1.42
2002-04-01  1.49
2002-07-01  1.45
2002-10-01  1.40
2003-01-01  1.36
2003-04-01  1.36
2003-07-01  1.40
2003-10-01  1.39
2004-01-01  1.29
2004-04-01  1.33
2004-07-01  1.39
2004-10-01  1.34
2005-01-01  1.48
2005-04-01  1.54
2005-07-01  1.46
2005-10-01  1.42
2006-01-01  1.26
2006-04-01  1.27
2006-07-01  1.31
2006-10-01  1.31
2007-01-01  1.24
2007-04-01  1.25
2007-07-01  1.12
2007-10-01  0.89
2008-01-01  0.24
2008-04-01  0.24
2008-07-01  0.27
2008-10-01  0.24
2009-01-01  0.63
2009-04-01  0.55
2009-07-01  0.42
2009-10-01  0.41
2010-01-01  0.31
2010-04-01  0.31
2010-07-01  0.47
2010-10-01  0.51
2011-01-01  0.60
2011-04-01  0.47
2011-07-01  0.58
2011-10-01  0.60
2012-01-01  0.87
2012-04-01  0.94
2012-07-01  0.90
2012-10-01  0.85
2013-01-01  1.31
2013-04-01  1.19
2013-07-01  1.13
2013-10-01  1.11
2014-01-01  0.84
2014-04-01  0.87
2014-07-01  0.87
2014-10-01  1.14
2015-01-01  1.05
2015-04-01  1.18
2015-07-01  1.16
2015-10-01  1.16
2016-01-01  0.92
2016-04-01  0.99
2016-07-01  1.17
2016-10-01  1.17
2017-01-01  1.11
2017-04-01  1.26
2017-07-01  1.25
2017-10-01  1.22
2018-01-01  1.51
2018-04-01  1.56
2018-07-01  1.60
