Title:               Resident Population in Robeson County, NC
Series ID:           NCROBE7POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01   84.842
1971-01-01   86.900
1972-01-01   89.800
1973-01-01   91.500
1974-01-01   93.200
1975-01-01   95.500
1976-01-01   97.300
1977-01-01   98.600
1978-01-01   99.700
1979-01-01  100.500
1980-01-01  101.610
1981-01-01  102.406
1982-01-01  103.114
1983-01-01  103.629
1984-01-01  104.114
1985-01-01  104.472
1986-01-01  104.108
1987-01-01  104.908
1988-01-01  105.216
1989-01-01  105.116
1990-01-01  105.543
1991-01-01  106.908
1992-01-01  108.918
1993-01-01  111.050
1994-01-01  112.947
1995-01-01  114.936
1996-01-01  116.858
1997-01-01  118.864
1998-01-01  120.876
1999-01-01  122.514
2000-01-01  123.284
2001-01-01  123.501
2002-01-01  123.902
2003-01-01  124.501
2004-01-01  124.534
2005-01-01  125.860
2006-01-01  126.456
2007-01-01  127.674
2008-01-01  128.602
2009-01-01  129.482
2010-01-01  134.504
2011-01-01  135.221
2012-01-01  135.684
2013-01-01  135.217
2014-01-01  135.035
2015-01-01  134.562
2016-01-01  133.514
2017-01-01  132.606
