Title:               Resident Population in Rockingham County, NC
Series ID:           NCROCK0POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  72.402
1971-01-01  74.500
1972-01-01  76.300
1973-01-01  77.700
1974-01-01  79.100
1975-01-01  79.800
1976-01-01  80.500
1977-01-01  80.400
1978-01-01  81.500
1979-01-01  82.500
1980-01-01  83.426
1981-01-01  84.280
1982-01-01  84.428
1983-01-01  84.666
1984-01-01  84.735
1985-01-01  85.010
1986-01-01  84.934
1987-01-01  85.325
1988-01-01  85.774
1989-01-01  85.746
1990-01-01  86.283
1991-01-01  86.890
1992-01-01  87.195
1993-01-01  87.605
1994-01-01  88.229
1995-01-01  89.251
1996-01-01  90.251
1997-01-01  90.994
1998-01-01  91.429
1999-01-01  91.845
2000-01-01  92.079
2001-01-01  92.114
2002-01-01  92.503
2003-01-01  92.329
2004-01-01  91.756
2005-01-01  91.791
2006-01-01  92.003
2007-01-01  92.115
2008-01-01  92.148
2009-01-01  92.283
2010-01-01  93.655
2011-01-01  93.304
2012-01-01  92.723
2013-01-01  91.942
2014-01-01  91.849
2015-01-01  91.733
2016-01-01  91.359
2017-01-01  90.949
