Title:               Total Real Gross Domestic Product by Industry for North Carolina
Series ID:           NCRQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Chained 2012 Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:09 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE           VALUE
2005-01-01  403897.7
2005-04-01  404442.8
2005-07-01  408692.4
2005-10-01  412932.6
2006-01-01  429257.0
2006-04-01  432549.3
2006-07-01  432221.7
2006-10-01  436327.4
2007-01-01  437559.7
2007-04-01  434785.1
2007-07-01  434127.6
2007-10-01  439276.2
2008-01-01  448607.3
2008-04-01  452097.3
2008-07-01  449267.6
2008-10-01  437708.8
2009-01-01  418774.9
2009-04-01  423646.3
2009-07-01  429705.0
2009-10-01  436305.0
2010-01-01  429355.8
2010-04-01  431558.9
2010-07-01  433123.1
2010-10-01  439579.3
2011-01-01  437496.2
2011-04-01  442904.9
2011-07-01  437318.0
2011-10-01  438634.6
2012-01-01  443738.3
2012-04-01  438380.6
2012-07-01  439700.3
2012-10-01  436464.7
2013-01-01  441701.0
2013-04-01  442695.3
2013-07-01  447927.3
2013-10-01  449122.1
2014-01-01  449588.2
2014-04-01  451345.0
2014-07-01  456313.6
2014-10-01  457270.2
2015-01-01  465865.5
2015-04-01  469793.9
2015-07-01  468774.8
2015-10-01  467219.3
2016-01-01  470561.5
2016-04-01  471032.9
2016-07-01  472842.4
2016-10-01  477697.8
2017-01-01  480440.1
2017-04-01  483395.1
2017-07-01  484779.5
2017-10-01  488618.7
2018-01-01  490954.5
2018-04-01  495016.2
