Title:               Civilian Labor Force in Scotland County, NC
Series ID:           NCSCOT5LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:12 AM CST
Notes:               

DATE        VALUE
1990-01-01  16050
1990-02-01  16065
1990-03-01  16102
1990-04-01  16085
1990-05-01  16406
1990-06-01  17078
1990-07-01  19445
1990-08-01  16560
1990-09-01  16249
1990-10-01  16519
1990-11-01  16379
1990-12-01  16248
1991-01-01  16458
1991-02-01  16868
1991-03-01  17019
1991-04-01  16648
1991-05-01  17088
1991-06-01  17571
1991-07-01  17628
1991-08-01  17000
1991-09-01  16611
1991-10-01  16665
1991-11-01  16744
1991-12-01  16534
1992-01-01  16653
1992-02-01  17207
1992-03-01  17259
1992-04-01  16844
1992-05-01  17197
1992-06-01  17444
1992-07-01  18272
1992-08-01  17261
1992-09-01  17133
1992-10-01  17132
1992-11-01  17197
1992-12-01  17125
1993-01-01  17095
1993-02-01  17544
1993-03-01  17304
1993-04-01  17269
1993-05-01  17519
1993-06-01  17773
1993-07-01  17883
1993-08-01  17616
1993-09-01  17276
1993-10-01  17615
1993-11-01  17501
1993-12-01  17373
1994-01-01  17278
1994-02-01  17339
1994-03-01  17088
1994-04-01  17129
1994-05-01  17444
1994-06-01  17616
1994-07-01  17958
1994-08-01  18099
1994-09-01  17709
1994-10-01  17825
1994-11-01  17843
1994-12-01  17523
1995-01-01  17779
1995-02-01  17475
1995-03-01  17553
1995-04-01  17621
1995-05-01  17477
1995-06-01  18287
1995-07-01  17959
1995-08-01  17662
1995-09-01  17283
1995-10-01  17659
1995-11-01  17680
1995-12-01  17486
1996-01-01  17638
1996-02-01  17996
1996-03-01  18084
1996-04-01  18120
1996-05-01  18407
1996-06-01  18525
1996-07-01  18464
1996-08-01  18062
1996-09-01  18022
1996-10-01  18091
1996-11-01  18227
1996-12-01  18219
1997-01-01  18124
1997-02-01  18286
1997-03-01  18132
1997-04-01  18206
1997-05-01  18366
1997-06-01  18560
1997-07-01  18177
1997-08-01  17952
1997-09-01  18018
1997-10-01  18090
1997-11-01  17936
1997-12-01  17896
1998-01-01  17846
1998-02-01  17846
1998-03-01  18080
1998-04-01  17913
1998-05-01  18081
1998-06-01  18095
1998-07-01  17801
1998-08-01  17957
1998-09-01  17470
1998-10-01  17635
1998-11-01  17622
1998-12-01  17401
1999-01-01  18059
1999-02-01  18092
1999-03-01  17925
1999-04-01  18020
1999-05-01  18025
1999-06-01  18054
1999-07-01  18025
1999-08-01  18192
1999-09-01  17883
1999-10-01  17808
1999-11-01  17814
1999-12-01  17748
2000-01-01  15672
2000-02-01  15759
2000-03-01  15761
2000-04-01  15789
2000-05-01  15745
2000-06-01  15783
2000-07-01  15675
2000-08-01  15849
2000-09-01  15900
2000-10-01  15785
2000-11-01  15775
2000-12-01  15768
2001-01-01  16268
2001-02-01  16325
2001-03-01  16471
2001-04-01  15962
2001-05-01  15975
2001-06-01  15973
2001-07-01  16033
2001-08-01  16206
2001-09-01  15953
2001-10-01  16021
2001-11-01  16006
2001-12-01  15731
2002-01-01  15900
2002-02-01  16223
2002-03-01  16351
2002-04-01  16191
2002-05-01  15981
2002-06-01  15506
2002-07-01  15466
2002-08-01  15591
2002-09-01  15710
2002-10-01  15876
2002-11-01  15797
2002-12-01  15695
2003-01-01  16191
2003-02-01  16380
2003-03-01  16311
2003-04-01  16262
