Title:               Civilian Labor Force in Stanly County, NC
Series ID:           NCSTAN7LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  28157
1990-02-01  28354
1990-03-01  28233
1990-04-01  28094
1990-05-01  28436
1990-06-01  28922
1990-07-01  28985
1990-08-01  28438
1990-09-01  27816
1990-10-01  27943
1990-11-01  28609
1990-12-01  28750
1991-01-01  28466
1991-02-01  28344
1991-03-01  28626
1991-04-01  28027
1991-05-01  28407
1991-06-01  28922
1991-07-01  28885
1991-08-01  28837
1991-09-01  28644
1991-10-01  29205
1991-11-01  28694
1991-12-01  28889
1992-01-01  27945
1992-02-01  28342
1992-03-01  28305
1992-04-01  28047
1992-05-01  28352
1992-06-01  29236
1992-07-01  28929
1992-08-01  28555
1992-09-01  28730
1992-10-01  28288
1992-11-01  28143
1992-12-01  28011
1993-01-01  27813
1993-02-01  27847
1993-03-01  27797
1993-04-01  27935
1993-05-01  28278
1993-06-01  28415
1993-07-01  28176
1993-08-01  27999
1993-09-01  27920
1993-10-01  27710
1993-11-01  27482
1993-12-01  27835
1994-01-01  27349
1994-02-01  27315
1994-03-01  27204
1994-04-01  26860
1994-05-01  27050
1994-06-01  27340
1994-07-01  27344
1994-08-01  27373
1994-09-01  27128
1994-10-01  27424
1994-11-01  27320
1994-12-01  26943
1995-01-01  26814
1995-02-01  26720
1995-03-01  26698
1995-04-01  26812
1995-05-01  26912
1995-06-01  27421
1995-07-01  27702
1995-08-01  26708
1995-09-01  26893
1995-10-01  27407
1995-11-01  27187
1995-12-01  27482
1996-01-01  27541
1996-02-01  27661
1996-03-01  27566
1996-04-01  27210
1996-05-01  27648
1996-06-01  27710
1996-07-01  27342
1996-08-01  27193
1996-09-01  27229
1996-10-01  27421
1996-11-01  27671
1996-12-01  27674
1997-01-01  27466
1997-02-01  27315
1997-03-01  27843
1997-04-01  27699
1997-05-01  28019
1997-06-01  28146
1997-07-01  27948
1997-08-01  27891
1997-09-01  27565
1997-10-01  27508
1997-11-01  27815
1997-12-01  27760
1998-01-01  27749
1998-02-01  27824
1998-03-01  28176
1998-04-01  27640
1998-05-01  27733
1998-06-01  27903
1998-07-01  27566
1998-08-01  27231
1998-09-01  27590
1998-10-01  27428
1998-11-01  27764
1998-12-01  27503
1999-01-01  27762
1999-02-01  27753
1999-03-01  27748
1999-04-01  27678
1999-05-01  27968
1999-06-01  28265
1999-07-01  28166
1999-08-01  28277
1999-09-01  28294
1999-10-01  27980
1999-11-01  27995
1999-12-01  27766
2000-01-01  30040
2000-02-01  29906
2000-03-01  30243
2000-04-01  30058
2000-05-01  30066
2000-06-01  29953
2000-07-01  30002
2000-08-01  30053
2000-09-01  29720
2000-10-01  29597
2000-11-01  29704
2000-12-01  29820
2001-01-01  29784
2001-02-01  29793
2001-03-01  30061
2001-04-01  29918
2001-05-01  29763
2001-06-01  29317
2001-07-01  29254
2001-08-01  29168
2001-09-01  29228
2001-10-01  29281
2001-11-01  29568
2001-12-01  29385
2002-01-01  29382
2002-02-01  29374
2002-03-01  29393
2002-04-01  29238
2002-05-01  29246
2002-06-01  29017
2002-07-01  29211
2002-08-01  29277
