Title:               Resident Population in Stanly County, NC
Series ID:           NCSTAN7POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:21 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  42.822
1971-01-01  44.100
1972-01-01  44.800
1973-01-01  45.400
1974-01-01  45.500
1975-01-01  45.700
1976-01-01  46.000
1977-01-01  46.500
1978-01-01  47.000
1979-01-01  47.600
1980-01-01  48.517
1981-01-01  48.555
1982-01-01  48.757
1983-01-01  48.978
1984-01-01  49.744
1985-01-01  50.192
1986-01-01  50.227
1987-01-01  50.547
1988-01-01  51.006
1989-01-01  51.612
1990-01-01  51.906
1991-01-01  52.646
1992-01-01  53.092
1993-01-01  53.585
1994-01-01  54.376
1995-01-01  54.799
1996-01-01  55.455
1997-01-01  56.412
1998-01-01  56.918
1999-01-01  57.791
2000-01-01  58.223
2001-01-01  58.577
2002-01-01  58.521
2003-01-01  58.494
2004-01-01  58.283
2005-01-01  58.477
2006-01-01  58.637
2007-01-01  59.250
2008-01-01  59.759
2009-01-01  59.776
2010-01-01  60.577
2011-01-01  60.533
2012-01-01  60.479
2013-01-01  60.667
2014-01-01  60.659
2015-01-01  60.685
2016-01-01  60.880
2017-01-01  61.482
