Title:               Civilian Labor Force in Surry County, NC
Series ID:           NCSURR0LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  33718
1990-02-01  33512
1990-03-01  33651
1990-04-01  33353
1990-05-01  33683
1990-06-01  33991
1990-07-01  33946
1990-08-01  33693
1990-09-01  34056
1990-10-01  33817
1990-11-01  33934
1990-12-01  33646
1991-01-01  33950
1991-02-01  33996
1991-03-01  33771
1991-04-01  34384
1991-05-01  34437
1991-06-01  34659
1991-07-01  34575
1991-08-01  34413
1991-09-01  34848
1991-10-01  34949
1991-11-01  35006
1991-12-01  34956
1992-01-01  34588
1992-02-01  34632
1992-03-01  34642
1992-04-01  34875
1992-05-01  35360
1992-06-01  36041
1992-07-01  35934
1992-08-01  35741
1992-09-01  35610
1992-10-01  35528
1992-11-01  35746
1992-12-01  35396
1993-01-01  34864
1993-02-01  35151
1993-03-01  34941
1993-04-01  34704
1993-05-01  35186
1993-06-01  35609
1993-07-01  35625
1993-08-01  35582
1993-09-01  35469
1993-10-01  35610
1993-11-01  35600
1993-12-01  35671
1994-01-01  35353
1994-02-01  35435
1994-03-01  34994
1994-04-01  35078
1994-05-01  35617
1994-06-01  35818
1994-07-01  36387
1994-08-01  36290
1994-09-01  36364
1994-10-01  36120
1994-11-01  36262
1994-12-01  36364
1995-01-01  35895
1995-02-01  36147
1995-03-01  36160
1995-04-01  35800
1995-05-01  36207
1995-06-01  36535
1995-07-01  37221
1995-08-01  36587
1995-09-01  36566
1995-10-01  36355
1995-11-01  36689
1995-12-01  37117
1996-01-01  36903
1996-02-01  36328
1996-03-01  36586
1996-04-01  36358
1996-05-01  36753
1996-06-01  36918
1996-07-01  37191
1996-08-01  36629
1996-09-01  36663
1996-10-01  36684
1996-11-01  36889
1996-12-01  36526
1997-01-01  36877
1997-02-01  37014
1997-03-01  36932
1997-04-01  36336
1997-05-01  37142
1997-06-01  37028
1997-07-01  36919
1997-08-01  36964
1997-09-01  36808
1997-10-01  36700
1997-11-01  36849
1997-12-01  36585
1998-01-01  36015
1998-02-01  36503
1998-03-01  36248
1998-04-01  36388
1998-05-01  36122
1998-06-01  36336
1998-07-01  36482
1998-08-01  36027
1998-09-01  35765
1998-10-01  36015
1998-11-01  35937
1998-12-01  35660
1999-01-01  35634
1999-02-01  35602
1999-03-01  35654
1999-04-01  35536
1999-05-01  35725
1999-06-01  36202
1999-07-01  35459
1999-08-01  35562
1999-09-01  35439
1999-10-01  35206
1999-11-01  35293
1999-12-01  35506
2000-01-01  36831
2000-02-01  36947
2000-03-01  37150
2000-04-01  36699
2000-05-01  36832
2000-06-01  37576
2000-07-01  37418
2000-08-01  37489
2000-09-01  37452
2000-10-01  36893
2000-11-01  36809
2000-12-01  37039
2001-01-01  37130
2001-02-01  36829
2001-03-01  36840
2001-04-01  36714
2001-05-01  36965
2001-06-01  37284
2001-07-01  37024
2001-08-01  36893
2001-09-01  36560
2001-10-01  36525
2001-11-01  36612
2001-12-01  36670
2002-01-01  36309
2002-02-01  36730
2002-03-01  36443
2002-04-01  36228
2002-05-01  36455
2002-06-01  36502
2002-07-01  35954
2002-08-01  35714
2002-09-01  35662
2002-10-01  35787
2002-11-01  35459
2002-12-01  35407
2003-01-01  36040
2003-02-01  36236
2003-03-01  36374
2003-04-01  36152
2003-05-01  36246
2003-06-01  36484
2003-07-01  36452
2003-08-01  36497
2003-09-01  35688
2003-10-01  36192
2003-11-01  36143
2003-12-01  35911
2004-01-01  35673
2004-02-01  35817
2004-03-01  35906
2004-04-01  35890
2004-05-01  35874
2004-06-01  36003
2004-07-01  35446
2004-08-01  35140
2004-09-01  34778
2004-10-01  34951
2004-11-01  35056
2004-12-01  35097
2005-01-01  34756
2005-02-01  34747
2005-03-01  34925
2005-04-01  35042
2005-05-01  35105
2005-06-01  35271
2005-07-01  35251
2005-08-01  34992
2005-09-01  34769
2005-10-01  34808
2005-11-01  34821
2005-12-01  34511
2006-01-01  34604
2006-02-01  34751
2006-03-01  34813
2006-04-01  34703
2006-05-01  35089
2006-06-01  35292
2006-07-01  35371
2006-08-01  34988
2006-09-01  34833
2006-10-01  34937
2006-11-01  35120
2006-12-01  35126
2007-01-01  35373
2007-02-01  35057
2007-03-01  35141
2007-04-01  35138
2007-05-01  35285
2007-06-01  35509
2007-07-01  35238
2007-08-01  34758
2007-09-01  34908
2007-10-01  34845
2007-11-01  35307
2007-12-01  35018
2008-01-01  34368
2008-02-01  33960
2008-03-01  34000
2008-04-01  33985
2008-05-01  34172
2008-06-01  34349
2008-07-01  34120
2008-08-01  33907
2008-09-01  34065
2008-10-01  34008
2008-11-01  34414
2008-12-01  34235
2009-01-01  34290
2009-02-01  33949
2009-03-01  33915
2009-04-01  33995
2009-05-01  34156
2009-06-01  34002
2009-07-01  33718
2009-08-01  33185
2009-09-01  33363
2009-10-01  33456
2009-11-01  33548
2009-12-01  33153
2010-01-01  34362
2010-02-01  34508
2010-03-01  34680
2010-04-01  34859
2010-05-01  34873
2010-06-01  34734
2010-07-01  34408
2010-08-01  34172
2010-09-01  34268
2010-10-01  34090
2010-11-01  34199
2010-12-01  33920
2011-01-01  33635
2011-02-01  33635
2011-03-01  34020
2011-04-01  33780
2011-05-01  33959
2011-06-01  34061
2011-07-01  33748
2011-08-01  33694
2011-09-01  33949
2011-10-01  34035
2011-11-01  33825
2011-12-01  33640
2012-01-01  33329
2012-02-01  33598
2012-03-01  33509
2012-04-01  33230
2012-05-01  33785
2012-06-01  33911
2012-07-01  33866
2012-08-01  33379
2012-09-01  33933
2012-10-01  33960
2012-11-01  33678
2012-12-01  33633
2013-01-01  33492
2013-02-01  33459
2013-03-01  33302
2013-04-01  33187
2013-05-01  33599
2013-06-01  33498
2013-07-01  33563
2013-08-01  32932
2013-09-01  33238
2013-10-01  33130
2013-11-01  33146
2013-12-01  32807
2014-01-01  32958
2014-02-01  32989
2014-03-01  33143
2014-04-01  32872
2014-05-01  33281
2014-06-01  32932
2014-07-01  33202
2014-08-01  32578
2014-09-01  32948
2014-10-01  33288
2014-11-01  33210
2014-12-01  32768
2015-01-01  32893
2015-02-01  33012
2015-03-01  33248
2015-04-01  33117
2015-05-01  33615
2015-06-01  33470
2015-07-01  33704
2015-08-01  33231
2015-09-01  33415
2015-10-01  33560
2015-11-01  33422
2015-12-01  33243
2016-01-01  33110
2016-02-01  33354
2016-03-01  33628
2016-04-01  33508
2016-05-01  33556
2016-06-01  33643
2016-07-01  33770
2016-08-01  33374
2016-09-01  33729
2016-10-01  33671
2016-11-01  33464
2016-12-01  33048
2017-01-01  33328
2017-02-01  33486
2017-03-01  33754
2017-04-01  33749
2017-05-01  33738
2017-06-01  33760
2017-07-01  33857
2017-08-01  33289
2017-09-01  33853
2017-10-01  33948
2017-11-01  33820
2017-12-01  33577
2018-01-01  33613
2018-02-01  33486
2018-03-01  33596
2018-04-01  33540
2018-05-01  34190
2018-06-01  34166
2018-07-01  34076
2018-08-01  33698
2018-09-01  34011
2018-10-01  34313
2018-11-01  34208
