Title:               State Government Tax Collections, Severance Taxes in North Carolina
Series ID:           NCSVRNCTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:31 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE       VALUE
1942-01-01     0
1943-01-01     .
1944-01-01     0
1945-01-01     .
1946-01-01     0
1947-01-01     .
1948-01-01     0
1949-01-01     .
1950-01-01     0
1951-01-01     0
1952-01-01     0
1953-01-01     0
1954-01-01     0
1955-01-01     0
1956-01-01     0
1957-01-01     0
1958-01-01     0
1959-01-01     0
1960-01-01     0
1961-01-01     0
1962-01-01     0
1963-01-01     0
1964-01-01     0
1965-01-01     0
1966-01-01     0
1967-01-01     0
1968-01-01     0
1969-01-01     0
1970-01-01     0
1971-01-01     0
1972-01-01     0
1973-01-01     0
1974-01-01     0
1975-01-01     0
1976-01-01     0
1977-01-01     0
1978-01-01     0
1979-01-01  1013
1980-01-01  1292
1981-01-01  1385
1982-01-01  1217
1983-01-01  1197
1984-01-01  1334
1985-01-01  1469
1986-01-01  1436
1987-01-01  1436
1988-01-01  1579
1989-01-01  1524
1990-01-01  1540
1991-01-01  1648
1992-01-01  1621
1993-01-01  1735
1994-01-01  1863
1995-01-01  1919
1996-01-01  1869
1997-01-01  1970
1998-01-01  2015
1999-01-01  1950
2000-01-01  1937
2001-01-01  2047
2002-01-01  1889
2003-01-01  1858
2004-01-01  1894
2005-01-01  1932
2006-01-01  1967
2007-01-01  1898
2008-01-01  1889
2009-01-01  1740
2010-01-01  1464
2011-01-01  1610
2012-01-01  1562
2013-01-01  1656
2014-01-01  1776
2015-01-01  1870
2016-01-01  1961
2017-01-01  1892
