Title:               Resident Population in Swain County, NC
Series ID:           NCSWAI3POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01   8.835
1971-01-01   9.200
1972-01-01   9.400
1973-01-01   9.200
1974-01-01   9.400
1975-01-01   9.900
1976-01-01  10.200
1977-01-01  10.300
1978-01-01  10.300
1979-01-01  10.300
1980-01-01  10.283
1981-01-01  10.457
1982-01-01  10.633
1983-01-01  10.751
1984-01-01  10.868
1985-01-01  10.848
1986-01-01  10.955
1987-01-01  10.932
1988-01-01  10.810
1989-01-01  11.157
1990-01-01  11.306
1991-01-01  11.489
1992-01-01  11.599
1993-01-01  11.812
1994-01-01  11.845
1995-01-01  12.011
1996-01-01  12.314
1997-01-01  12.500
1998-01-01  12.642
1999-01-01  12.799
2000-01-01  13.036
2001-01-01  12.993
2002-01-01  13.040
2003-01-01  13.086
2004-01-01  13.093
2005-01-01  13.271
2006-01-01  13.460
2007-01-01  13.370
2008-01-01  13.391
2009-01-01  13.421
2010-01-01  14.008
2011-01-01  14.013
2012-01-01  14.056
2013-01-01  13.981
2014-01-01  14.243
2015-01-01  14.334
2016-01-01  14.187
2017-01-01  14.294
