Title:               State Government Tax Collections, Total Income Taxes in North Carolina
Series ID:           NCTLINCTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:31 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE           VALUE
1942-01-01     22553
1943-01-01         .
1944-01-01     36039
1945-01-01         .
1946-01-01     37903
1947-01-01         .
1948-01-01     59584
1949-01-01         .
1950-01-01     54412
1951-01-01     69249
1952-01-01     79032
1953-01-01     75814
1954-01-01     76739
1955-01-01     75010
1956-01-01     91944
1957-01-01     98455
1958-01-01    100683
1959-01-01    101768
1960-01-01    143330
1961-01-01    149106
1962-01-01    152250
1963-01-01    166580
1964-01-01    182138
1965-01-01    215792
1966-01-01    255551
1967-01-01    287057
1968-01-01    313437
1969-01-01    352101
1970-01-01    383353
1971-01-01    418463
1972-01-01    485318
1973-01-01    570461
1974-01-01    657608
1975-01-01    716374
1976-01-01    761454
1977-01-01    986383
1978-01-01   1078335
1979-01-01   1251005
1980-01-01   1472259
1981-01-01   1583454
1982-01-01   1726830
1983-01-01   1856641
1984-01-01   2153034
1985-01-01   2513759
1986-01-01   2718844
1987-01-01   3166724
1988-01-01   3417434
1989-01-01   3820026
1990-01-01   4002778
1991-01-01   4034432
1992-01-01   4226883
1993-01-01   4702674
1994-01-01   5025408
1995-01-01   5605122
1996-01-01   5868286
1997-01-01   6440341
1998-01-01   7124468
1999-01-01   7506736
2000-01-01   8406832
2001-01-01   8249917
2002-01-01   7933366
2003-01-01   7987511
2004-01-01   8348063
2005-01-01   9699538
2006-01-01  10775300
2007-01-01  12154495
2008-01-01  12200339
2009-01-01  10461798
2010-01-01  10428003
2011-01-01  10961570
2012-01-01  11603868
2013-01-01  12354073
2014-01-01  11751148
2015-01-01  12527873
2016-01-01  13109468
2017-01-01  12843373
