Title:               Total Loan and Lease Finance Receivables, Past Due 90 Days or More and Still Accruing for Commercial Banks in North Carolina
Series ID:           NCTLLFRPD90
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1984-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series represents Total Loan and Lease Finance Receivables, Past
                     Due 90 Days or More and Still Accruing call item RCFD1407.
                     
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE           VALUE
1984-01-01     58906
1984-04-01     51515
1984-07-01     58645
1984-10-01     57102
1985-01-01     64614
1985-04-01     55343
1985-07-01     56948
1985-10-01     58509
1986-01-01     77174
1986-04-01     75785
1986-07-01     84178
1986-10-01     84557
1987-01-01     83193
1987-04-01     77859
1987-07-01     80877
1987-10-01     84254
1988-01-01     92145
1988-04-01    105392
1988-07-01    104290
1988-10-01     94255
1989-01-01    104870
1989-04-01    121590
1989-07-01    144903
1989-10-01    108369
1990-01-01    116812
1990-04-01    103486
1990-07-01    146738
1990-10-01    150014
1991-01-01    182738
1991-04-01    175207
1991-07-01    176039
1991-10-01    154336
1992-01-01    144609
1992-04-01    129213
1992-07-01    143443
1992-10-01    104522
1993-01-01    107666
1993-04-01    121119
1993-07-01     98738
1993-10-01     81533
1994-01-01     93625
1994-04-01     74464
1994-07-01     93205
1994-10-01     77261
1995-01-01    160501
1995-04-01     92818
1995-07-01    108339
1995-10-01     89628
1996-01-01    105961
1996-04-01    114225
1996-07-01    102390
1996-10-01    119085
1997-01-01    138697
1997-04-01    382672
1997-07-01    431624
1997-10-01    584865
1998-01-01    549758
1998-04-01    613396
1998-07-01    613048
1998-10-01    720206
1999-01-01    732752
1999-04-01    662987
1999-07-01    665061
1999-10-01    658346
2000-01-01    632034
2000-04-01    674578
2000-07-01    728189
2000-10-01    771158
2001-01-01    794688
2001-04-01    786880
2001-07-01    800447
2001-10-01    834231
2002-01-01    660861
2002-04-01    597531
2002-07-01    693628
2002-10-01    731039
2003-01-01    734732
2003-04-01    602649
2003-07-01    615264
2003-10-01    663037
2004-01-01    567361
2004-04-01    630888
2004-07-01    621887
2004-10-01    675914
2005-01-01    640422
2005-04-01    777387
2005-07-01    794943
2005-10-01    865394
2006-01-01    949849
2006-04-01    946323
2006-07-01   1021469
2006-10-01   1134169
2007-01-01    939238
2007-04-01    963550
2007-07-01   1251014
2007-10-01   1557231
2008-01-01   1775570
2008-04-01   2111292
2008-07-01   3843274
2008-10-01  16380222
2009-01-01  20508105
2009-04-01  21662375
2009-07-01  25711632
2009-10-01  39770936
2010-01-01  31361999
2010-04-01  29078111
2010-07-01  29858420
2010-10-01  30443504
2011-01-01  32672705
2011-04-01  33401971
2011-07-01  37548562
2011-10-01  41183177
2012-01-01  41194857
2012-04-01  41670426
2012-07-01  44641963
2012-10-01  40978315
2013-01-01  36967287
2013-04-01  32142058
2013-07-01  27048993
2013-10-01  24323641
2014-01-01  21377892
2014-04-01  19767056
2014-07-01  17438065
2014-10-01  16569286
2015-01-01  13684993
2015-04-01  11966267
2015-07-01  10682240
2015-10-01  10032701
2016-01-01   8958114
2016-04-01   8161203
2016-07-01   7600646
2016-10-01   7434886
2017-01-01   6633037
2017-04-01   5788303
2017-07-01   5521168
2017-10-01   5522459
2018-01-01   4955460
2018-04-01   4498859
2018-07-01   3993464
