Title:               State Government Tax Collections, Total License Taxes in North Carolina
Series ID:           NCTLLICTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:31 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE          VALUE
1942-01-01    18811
1943-01-01        .
1944-01-01    18987
1945-01-01        .
1946-01-01    21914
1947-01-01        .
1948-01-01    27056
1949-01-01        .
1950-01-01    32612
1951-01-01    36505
1952-01-01    38554
1953-01-01    41215
1954-01-01    42651
1955-01-01    44991
1956-01-01    48517
1957-01-01    49631
1958-01-01    51408
1959-01-01    55035
1960-01-01    57314
1961-01-01    59586
1962-01-01    63142
1963-01-01    65856
1964-01-01    68467
1965-01-01    72786
1966-01-01    78400
1967-01-01    83435
1968-01-01    88570
1969-01-01    94535
1970-01-01   116530
1971-01-01   122909
1972-01-01   134330
1973-01-01   145399
1974-01-01   154829
1975-01-01   158192
1976-01-01   178838
1977-01-01   194540
1978-01-01   212819
1979-01-01   228308
1980-01-01   240715
1981-01-01   253136
1982-01-01   286649
1983-01-01   296402
1984-01-01   338671
1985-01-01   365082
1986-01-01   391692
1987-01-01   415486
1988-01-01   456240
1989-01-01   473153
1990-01-01   485763
1991-01-01   510649
1992-01-01   601150
1993-01-01   613995
1994-01-01   646871
1995-01-01   710224
1996-01-01   732907
1997-01-01   774753
1998-01-01   841745
1999-01-01   874808
2000-01-01   742650
2001-01-01   955966
2002-01-01   884085
2003-01-01   937372
2004-01-01  1017247
2005-01-01  1108838
2006-01-01  1233892
2007-01-01  1338413
2008-01-01  1435665
2009-01-01  1474278
2010-01-01  1533688
2011-01-01  1444371
2012-01-01  1476017
2013-01-01  1543090
2014-01-01  1706825
2015-01-01  1755328
2016-01-01  1878827
2017-01-01  2235904
