Title:               State Government Tax Collections, Total Other Taxes in North Carolina
Series ID:           NCTLOTHTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2017-01-01
Last Updated:        2019-01-07 2:55 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE         VALUE
1942-01-01    1119
1943-01-01       .
1944-01-01    1082
1945-01-01       .
1946-01-01    1847
1947-01-01       .
1948-01-01    1907
1949-01-01       .
1950-01-01    2257
1951-01-01    3348
1952-01-01    4429
1953-01-01    3513
1954-01-01    4624
1955-01-01    6039
1956-01-01    4029
1957-01-01    5223
1958-01-01    5895
1959-01-01    5409
1960-01-01    6715
1961-01-01    7874
1962-01-01    7919
1963-01-01   14676
1964-01-01   10974
1965-01-01   12736
1966-01-01   18041
1967-01-01   13365
1968-01-01   15160
1969-01-01   24319
1970-01-01   18969
1971-01-01   19671
1972-01-01   23217
1973-01-01   35798
1974-01-01   31267
1975-01-01   27879
1976-01-01   29986
1977-01-01   37053
1978-01-01   36934
1979-01-01   40365
1980-01-01   43441
1981-01-01   46988
1982-01-01   46553
1983-01-01   49443
1984-01-01   72920
1985-01-01   78111
1986-01-01   88138
1987-01-01   78913
1988-01-01   67319
1989-01-01   73271
1990-01-01   84533
1991-01-01   86114
1992-01-01   96545
1993-01-01  104908
1994-01-01  121546
1995-01-01  120376
1996-01-01  125818
1997-01-01  146816
1998-01-01  167834
1999-01-01  186016
2000-01-01  224746
2001-01-01  179118
2002-01-01  155330
2003-01-01  171645
2004-01-01  201943
2005-01-01  215697
2006-01-01  226842
2007-01-01  253885
2008-01-01  238926
2009-01-01  154402
2010-01-01  119648
2011-01-01   60131
2012-01-01   94230
2013-01-01  157087
2014-01-01   73959
2015-01-01   67165
2016-01-01   74342
2017-01-01   76991
