Title:               State Government Tax Collections, Total Selective Sales Taxes in North Carolina
Series ID:           NCTLSLTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:32 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE          VALUE
1942-01-01    38262
1943-01-01        .
1944-01-01    32181
1945-01-01        .
1946-01-01    45305
1947-01-01        .
1948-01-01    63717
1949-01-01        .
1950-01-01    77046
1951-01-01    91428
1952-01-01    99290
1953-01-01   106198
1954-01-01   109398
1955-01-01   116169
1956-01-01   128505
1957-01-01   134566
1958-01-01   135766
1959-01-01   144245
1960-01-01   152881
1961-01-01   161753
1962-01-01   171125
1963-01-01   182366
1964-01-01   190975
1965-01-01   202058
1966-01-01   218460
1967-01-01   237310
1968-01-01   245692
1969-01-01   274700
1970-01-01   383227
1971-01-01   424666
1972-01-01   464036
1973-01-01   503537
1974-01-01   521685
1975-01-01   544755
1976-01-01   591116
1977-01-01   617262
1978-01-01   660713
1979-01-01   704192
1980-01-01   719461
1981-01-01   757498
1982-01-01   893620
1983-01-01   938285
1984-01-01   996747
1985-01-01  1001969
1986-01-01   927960
1987-01-01  1074066
1988-01-01  1194029
1989-01-01  1214214
1990-01-01  1419410
1991-01-01  1436499
1992-01-01  1801940
1993-01-01  1857947
1994-01-01  2008683
1995-01-01  2067265
1996-01-01  2173293
1997-01-01  2259458
1998-01-01  2462388
1999-01-01  2526546
2000-01-01  2566573
2001-01-01  2758881
2002-01-01  2823870
2003-01-01  2746998
2004-01-01  2917379
2005-01-01  3013463
2006-01-01  3345220
2007-01-01  3663582
2008-01-01  3664857
2009-01-01  3471751
2010-01-01  3576598
2011-01-01  3749493
2012-01-01  3966784
2013-01-01  4120639
2014-01-01  4138531
2015-01-01  3871281
2016-01-01  3962050
2017-01-01  4042138
