Title:               State Government Tax Collections, Tobacco Products - Selective Sales Taxes in North Carolina
Series ID:           NCTOBACTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:31 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE         VALUE
1942-01-01       0
1943-01-01       .
1944-01-01       0
1945-01-01       .
1946-01-01       0
1947-01-01       .
1948-01-01       0
1949-01-01       .
1950-01-01       0
1951-01-01       0
1952-01-01       0
1953-01-01       0
1954-01-01       0
1955-01-01       0
1956-01-01       0
1957-01-01       0
1958-01-01       0
1959-01-01       0
1960-01-01       0
1961-01-01       0
1962-01-01       0
1963-01-01       0
1964-01-01       0
1965-01-01       0
1966-01-01       0
1967-01-01       0
1968-01-01       0
1969-01-01       0
1970-01-01   11738
1971-01-01   16361
1972-01-01   18891
1973-01-01   20229
1974-01-01   20532
1975-01-01   20753
1976-01-01   21473
1977-01-01   20308
1978-01-01   19415
1979-01-01   18826
1980-01-01   18031
1981-01-01   18247
1982-01-01   18278
1983-01-01   17512
1984-01-01   16804
1985-01-01   16635
1986-01-01   16561
1987-01-01   16141
1988-01-01   16219
1989-01-01   15684
1990-01-01   15315
1991-01-01   15190
1992-01-01   40363
1993-01-01   42881
1994-01-01   37925
1995-01-01   44636
1996-01-01   46698
1997-01-01   46677
1998-01-01   47304
1999-01-01   44694
2000-01-01   42026
2001-01-01   42026
2002-01-01   41531
2003-01-01   41999
2004-01-01   43733
2005-01-01   42981
2006-01-01  171672
2007-01-01  241314
2008-01-01  248159
2009-01-01  243370
2010-01-01  273946
2011-01-01  289504
2012-01-01  294754
2013-01-01  281097
2014-01-01  281773
2015-01-01  276458
2016-01-01  286286
2017-01-01  292138
