Title:               Resident Population in Transylvania County, NC
Series ID:           NCTRAN5POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  19.713
1971-01-01  20.000
1972-01-01  20.100
1973-01-01  20.600
1974-01-01  21.200
1975-01-01  21.700
1976-01-01  22.000
1977-01-01  22.500
1978-01-01  22.800
1979-01-01  23.200
1980-01-01  23.417
1981-01-01  23.763
1982-01-01  24.095
1983-01-01  24.260
1984-01-01  24.633
1985-01-01  24.950
1986-01-01  25.404
1987-01-01  25.404
1988-01-01  25.515
1989-01-01  25.604
1990-01-01  25.547
1991-01-01  25.768
1992-01-01  26.114
1993-01-01  26.681
1994-01-01  27.101
1995-01-01  27.304
1996-01-01  27.820
1997-01-01  28.225
1998-01-01  28.853
1999-01-01  29.160
2000-01-01  29.342
2001-01-01  29.279
2002-01-01  29.398
2003-01-01  29.194
2004-01-01  29.252
2005-01-01  29.449
2006-01-01  29.705
2007-01-01  30.010
2008-01-01  30.203
2009-01-01  30.232
2010-01-01  33.083
2011-01-01  32.819
2012-01-01  32.852
2013-01-01  32.853
2014-01-01  32.979
2015-01-01  33.198
2016-01-01  33.471
2017-01-01  33.956
