Title:               Total Trading Assets for Commercial Banks in North Carolina
Series ID:           NCTTAST
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1994-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series represents Total Trading Assets call item RCFD3545.
                     
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE            VALUE
1994-01-01    5789362
1994-04-01    4391180
1994-07-01    5192337
1994-10-01    5434276
1995-01-01   10417344
1995-04-01    8107628
1995-07-01   11243593
1995-10-01   11341756
1996-01-01   13632306
1996-04-01   14860076
1996-07-01   12253320
1996-10-01   10255381
1997-01-01   18009889
1997-04-01   17398145
1997-07-01   18255134
1997-10-01   17018681
1998-01-01   18771477
1998-04-01   18097630
1998-07-01   21866328
1998-10-01   29156111
1999-01-01   23618675
1999-04-01   24343406
1999-07-01   49329202
1999-10-01   45425272
2000-01-01   55695626
2000-04-01   58907496
2000-07-01   57074008
2000-10-01   57921828
2001-01-01   61202245
2001-04-01   65847964
2001-07-01   75233715
2001-10-01   64965187
2002-01-01   71054793
2002-04-01   92098896
2002-07-01   90798353
2002-10-01   92937789
2003-01-01   95631004
2003-04-01  102743081
2003-07-01  100058746
2003-10-01   97664010
2004-01-01  103370939
2004-04-01  102503308
2004-07-01  120016514
2004-10-01  103000903
2005-01-01  124381427
2005-04-01  131986421
2005-07-01  126011480
2005-10-01  123193574
2006-01-01  115608737
2006-04-01  132043575
2006-07-01  135182534
2006-10-01  140580243
2007-01-01  157789562
2007-04-01  171212737
2007-07-01  169376280
2007-10-01  164945517
2008-01-01  198209882
2008-04-01  161725581
2008-07-01  180485109
2008-10-01  172338821
2009-01-01  128134413
2009-04-01   91999169
2009-07-01  102372140
2009-10-01   86187972
2010-01-01   63470109
2010-04-01   65855941
2010-07-01   69533527
2010-10-01   67903693
2011-01-01   61871372
2011-04-01   55315978
2011-07-01   67573768
2011-10-01   64457078
2012-01-01   67928193
2012-04-01   78925654
2012-07-01   82880784
2012-10-01   88259050
2013-01-01  121269539
2013-04-01  107513050
2013-07-01   86371596
2013-10-01   89935804
2014-01-01   84890936
2014-04-01   86948785
2014-07-01   85214066
2014-10-01   84579885
2015-01-01   87751135
2015-04-01   80870263
2015-07-01   76923500
2015-10-01   68573268
2016-01-01   75837198
2016-04-01   76674591
2016-07-01   76723118
2016-10-01   73761253
2017-01-01   77312016
2017-04-01   88831187
2017-07-01   77319510
2017-10-01   87896121
2018-01-01   83573018
2018-04-01   94175012
2018-07-01   99269008
