Title:               Resident Population in Tyrrell County, NC
Series ID:           NCTYRR7POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE        VALUE
1970-01-01  3.806
1971-01-01  3.900
1972-01-01  3.900
1973-01-01  3.700
1974-01-01  3.800
1975-01-01  3.900
1976-01-01  3.900
1977-01-01  3.900
1978-01-01  4.000
1979-01-01  4.000
1980-01-01  3.975
1981-01-01  4.008
1982-01-01  4.059
1983-01-01  3.991
1984-01-01  4.008
1985-01-01  4.017
1986-01-01  3.951
1987-01-01  3.966
1988-01-01  3.914
1989-01-01  3.906
1990-01-01  3.856
1991-01-01  3.791
1992-01-01  3.852
1993-01-01  3.921
1994-01-01  3.878
1995-01-01  3.851
1996-01-01  3.820
1997-01-01  3.775
1998-01-01  4.033
1999-01-01  4.150
2000-01-01  4.111
2001-01-01  4.115
2002-01-01  4.152
2003-01-01  4.224
2004-01-01  4.136
2005-01-01  4.094
2006-01-01  4.116
2007-01-01  4.150
2008-01-01  4.075
2009-01-01  4.051
2010-01-01  4.415
2011-01-01  4.336
2012-01-01  4.120
2013-01-01  4.102
2014-01-01  4.120
2015-01-01  4.138
2016-01-01  4.039
2017-01-01  4.052
