Title:               Gross Domestic Product by Industry: Private Industries: Utilities for North Carolina
Series ID:           NCUTILNQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE         VALUE
2005-01-01  4516.2
2005-04-01  4477.4
2005-07-01  4654.0
2005-10-01  4712.1
2006-01-01  5930.9
2006-04-01  5742.9
2006-07-01  5672.2
2006-10-01  5668.7
2007-01-01  6333.3
2007-04-01  6401.8
2007-07-01  5830.9
2007-10-01  5609.0
2008-01-01  6674.3
2008-04-01  6854.1
2008-07-01  7407.3
2008-10-01  7344.8
2009-01-01  7667.5
2009-04-01  7269.0
2009-07-01  7324.7
2009-10-01  8072.4
2010-01-01  8708.1
2010-04-01  9152.1
2010-07-01  8384.4
2010-10-01  8228.0
2011-01-01  7541.0
2011-04-01  8206.5
2011-07-01  8329.9
2011-10-01  8482.8
2012-01-01  7197.1
2012-04-01  7565.5
2012-07-01  8312.0
2012-10-01  7847.5
2013-01-01  7450.1
2013-04-01  6897.8
2013-07-01  7114.7
2013-10-01  7254.6
2014-01-01  8034.6
2014-04-01  7955.5
2014-07-01  7574.2
2014-10-01  7706.8
2015-01-01  7824.8
2015-04-01  7977.9
2015-07-01  7734.7
2015-10-01  7730.7
2016-01-01  7705.4
2016-04-01  8108.0
2016-07-01  7943.4
2016-10-01  8035.2
2017-01-01  7977.4
2017-04-01  7680.6
2017-07-01  8215.1
2017-10-01  8058.4
2018-01-01  8405.6
2018-04-01  8573.0
