Title:               Real Gross Domestic Product by Industry: Private Industries: Utilities for North Carolina
Series ID:           NCUTILRQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Chained 2012 Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE         VALUE
2005-01-01  5120.2
2005-04-01  5122.6
2005-07-01  5127.5
2005-10-01  4939.3
2006-01-01  5923.0
2006-04-01  6016.1
2006-07-01  5866.6
2006-10-01  5816.8
2007-01-01  6419.2
2007-04-01  6582.9
2007-07-01  5874.3
2007-10-01  5883.6
2008-01-01  7310.9
2008-04-01  7513.4
2008-07-01  7754.6
2008-10-01  6700.0
2009-01-01  6577.9
2009-04-01  6648.4
2009-07-01  6963.0
2009-10-01  7675.2
2010-01-01  8416.1
2010-04-01  8763.4
2010-07-01  7906.1
2010-10-01  7773.8
2011-01-01  7152.3
2011-04-01  7897.4
2011-07-01  7870.4
2011-10-01  8337.6
2012-01-01  7292.2
2012-04-01  7620.1
2012-07-01  8280.0
2012-10-01  7729.7
2013-01-01  7372.2
2013-04-01  6688.1
2013-07-01  6916.9
2013-10-01  6765.2
2014-01-01  6860.5
2014-04-01  7058.9
2014-07-01  6916.4
2014-10-01  6955.7
2015-01-01  6593.6
2015-04-01  7127.7
2015-07-01  6868.0
2015-10-01  6957.5
2016-01-01  7122.6
2016-04-01  7464.1
2016-07-01  7191.4
2016-10-01  7277.9
2017-01-01  7170.6
2017-04-01  6844.7
2017-07-01  7281.1
2017-10-01  7138.1
2018-01-01  7256.9
2018-04-01  7620.4
