Title:               Resident Population in Vance County, NC
Series ID:           NCVANC1POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  32.691
1971-01-01  32.400
1972-01-01  32.600
1973-01-01  33.700
1974-01-01  33.900
1975-01-01  34.000
1976-01-01  34.700
1977-01-01  35.500
1978-01-01  36.000
1979-01-01  36.400
1980-01-01  36.748
1981-01-01  36.942
1982-01-01  37.206
1983-01-01  37.380
1984-01-01  37.520
1985-01-01  38.005
1986-01-01  38.365
1987-01-01  38.648
1988-01-01  38.663
1989-01-01  38.544
1990-01-01  39.042
1991-01-01  39.337
1992-01-01  39.724
1993-01-01  40.009
1994-01-01  40.446
1995-01-01  40.609
1996-01-01  41.069
1997-01-01  41.578
1998-01-01  42.029
1999-01-01  42.530
2000-01-01  43.112
2001-01-01  43.651
2002-01-01  43.542
2003-01-01  43.276
2004-01-01  43.081
2005-01-01  42.889
2006-01-01  43.075
2007-01-01  42.965
2008-01-01  43.042
2009-01-01  43.059
2010-01-01  45.301
2011-01-01  45.300
2012-01-01  45.105
2013-01-01  44.502
2014-01-01  44.528
2015-01-01  44.433
2016-01-01  44.426
2017-01-01  44.211
