Title:               Accommodation and Food Services Wages and Salaries in North Carolina
Series ID:           NCWACC
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE           VALUE
1998-01-01   3135584
1998-04-01   3183424
1998-07-01   3314544
1998-10-01   3396268
1999-01-01   3440608
1999-04-01   3481220
1999-07-01   3528996
1999-10-01   3661812
2000-01-01   3689968
2000-04-01   3800408
2000-07-01   3762892
2000-10-01   3763576
2001-01-01   3859112
2001-04-01   3849524
2001-07-01   3809164
2001-10-01   3840984
2002-01-01   3849832
2002-04-01   3994460
2002-07-01   4033780
2002-10-01   4022120
2003-01-01   4011968
2003-04-01   4071832
2003-07-01   4158060
2003-10-01   4257204
2004-01-01   4270488
2004-04-01   4418116
2004-07-01   4492088
2004-10-01   4539616
2005-01-01   4563408
2005-04-01   4611716
2005-07-01   4672724
2005-10-01   4745968
2006-01-01   4908344
2006-04-01   4932212
2006-07-01   5031004
2006-10-01   5165976
2007-01-01   5323912
2007-04-01   5386404
2007-07-01   5361424
2007-10-01   5448412
2008-01-01   5547216
2008-04-01   5534016
2008-07-01   5570600
2008-10-01   5515272
2009-01-01   5331280
2009-04-01   5409696
2009-07-01   5435364
2009-10-01   5413908
2010-01-01   5449640
2010-04-01   5555044
2010-07-01   5655100
2010-10-01   5674340
2011-01-01   5722340
2011-04-01   5784064
2011-07-01   5841728
2011-10-01   5896380
2012-01-01   6209676
2012-04-01   6211048
2012-07-01   6244860
2012-10-01   6382656
2013-01-01   6431092
2013-04-01   6533176
2013-07-01   6616776
2013-10-01   6678200
2014-01-01   6780280
2014-04-01   6911608
2014-07-01   6964564
2014-10-01   7083904
2015-01-01   7250844
2015-04-01   7326840
2015-07-01   7450744
2015-10-01   7532664
2016-01-01   7745908
2016-04-01   7854012
2016-07-01   7985508
2016-10-01   8084524
2017-01-01   8377396
2017-04-01   8324044
2017-07-01   8482736
2017-10-01   8518840
2018-01-01   8714290
2018-04-01   8781305
2018-07-01   8888946
