Title:               Civilian Labor Force in Watauga County, NC
Series ID:           NCWATA9LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:18 AM CST
Notes:               

DATE        VALUE
1990-01-01  19351
1990-02-01  19600
1990-03-01  19375
1990-04-01  19583
1990-05-01  20009
1990-06-01  19422
1990-07-01  19596
1990-08-01  19237
1990-09-01  19852
1990-10-01  20489
1990-11-01  20428
1990-12-01  20455
1991-01-01  19568
1991-02-01  20093
1991-03-01  19396
1991-04-01  19638
1991-05-01  20155
1991-06-01  19471
1991-07-01  19681
1991-08-01  19527
1991-09-01  20834
1991-10-01  21208
1991-11-01  21029
1991-12-01  20834
1992-01-01  20463
1992-02-01  20854
1992-03-01  20587
1992-04-01  20250
1992-05-01  20717
1992-06-01  19978
1992-07-01  20734
1992-08-01  20492
1992-09-01  21477
1992-10-01  21582
1992-11-01  21359
1992-12-01  21401
1993-01-01  20406
1993-02-01  20987
1993-03-01  20715
1993-04-01  20682
1993-05-01  21250
1993-06-01  20250
1993-07-01  21242
1993-08-01  20999
1993-09-01  21598
1993-10-01  21968
1993-11-01  21823
1993-12-01  21921
1994-01-01  21243
1994-02-01  21688
1994-03-01  21160
1994-04-01  21317
1994-05-01  22014
1994-06-01  21163
1994-07-01  22052
1994-08-01  21925
1994-09-01  22778
1994-10-01  23064
1994-11-01  22994
1994-12-01  22663
1995-01-01  22587
1995-02-01  22965
1995-03-01  22432
1995-04-01  22292
1995-05-01  22340
1995-06-01  21441
1995-07-01  22319
1995-08-01  22478
1995-09-01  23091
1995-10-01  23307
1995-11-01  23255
1995-12-01  23108
1996-01-01  22245
1996-02-01  22534
1996-03-01  22511
1996-04-01  22265
1996-05-01  22591
1996-06-01  21692
1996-07-01  22939
1996-08-01  23254
1996-09-01  23545
1996-10-01  24235
1996-11-01  23732
1996-12-01  23645
1997-01-01  23000
1997-02-01  23343
1997-03-01  23017
1997-04-01  23059
1997-05-01  23215
1997-06-01  22402
1997-07-01  23376
1997-08-01  23261
1997-09-01  23638
1997-10-01  24276
1997-11-01  23795
1997-12-01  23946
1998-01-01  23384
1998-02-01  23593
1998-03-01  23654
1998-04-01  23162
1998-05-01  23522
1998-06-01  22173
1998-07-01  22819
1998-08-01  22920
1998-09-01  23619
1998-10-01  24319
1998-11-01  24336
1998-12-01  24375
1999-01-01  23794
1999-02-01  23711
1999-03-01  23907
1999-04-01  23581
1999-05-01  23794
1999-06-01  22747
1999-07-01  23137
1999-08-01  23360
1999-09-01  24328
1999-10-01  25088
1999-11-01  24963
1999-12-01  25373
2000-01-01  22868
2000-02-01  23190
2000-03-01  22835
2000-04-01  22911
2000-05-01  23153
2000-06-01  22696
2000-07-01  22653
2000-08-01  23039
2000-09-01  23628
2000-10-01  24177
2000-11-01  24167
2000-12-01  24477
2001-01-01  23893
2001-02-01  23933
2001-03-01  23616
2001-04-01  23655
2001-05-01  23897
2001-06-01  23082
2001-07-01  23186
2001-08-01  23400
2001-09-01  23990
2001-10-01  24334
2001-11-01  23968
2001-12-01  23572
2002-01-01  22085
2002-02-01  22332
2002-03-01  22082
2002-04-01  21777
2002-05-01  22309
2002-06-01  22386
2002-07-01  22558
2002-08-01  22627
2002-09-01  22371
2002-10-01  22272
2002-11-01  21790
2002-12-01  21703
