Title:               Resident Population in Watauga County, NC
Series ID:           NCWATA9POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  23.404
1971-01-01  25.000
1972-01-01  26.500
1973-01-01  27.900
1974-01-01  29.600
1975-01-01  29.800
1976-01-01  30.300
1977-01-01  31.100
1978-01-01  30.900
1979-01-01  31.100
1980-01-01  31.666
1981-01-01  32.880
1982-01-01  33.549
1983-01-01  34.029
1984-01-01  34.565
1985-01-01  35.083
1986-01-01  35.557
1987-01-01  35.782
1988-01-01  36.125
1989-01-01  36.737
1990-01-01  37.047
1991-01-01  37.458
1992-01-01  38.410
1993-01-01  38.921
1994-01-01  39.785
1995-01-01  40.569
1996-01-01  41.130
1997-01-01  41.633
1998-01-01  41.920
1999-01-01  42.412
2000-01-01  42.774
2001-01-01  43.210
2002-01-01  43.388
2003-01-01  43.354
2004-01-01  43.168
2005-01-01  43.468
2006-01-01  44.172
2007-01-01  44.574
2008-01-01  45.399
2009-01-01  45.203
2010-01-01  50.974
2011-01-01  51.613
2012-01-01  52.045
2013-01-01  52.348
2014-01-01  52.429
2015-01-01  53.108
2016-01-01  54.099
2017-01-01  55.121
