Title:               Resident Population in Wayne County, NC
Series ID:           NCWAYN1POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01   85.408
1971-01-01   87.900
1972-01-01   90.200
1973-01-01   90.300
1974-01-01   91.800
1975-01-01   92.500
1976-01-01   93.400
1977-01-01   94.700
1978-01-01   96.800
1979-01-01   97.100
1980-01-01   97.054
1981-01-01   98.066
1982-01-01   98.603
1983-01-01   99.391
1984-01-01  100.393
1985-01-01  101.193
1986-01-01  100.205
1987-01-01  101.296
1988-01-01  102.269
1989-01-01  103.938
1990-01-01  104.896
1991-01-01  106.545
1992-01-01  107.614
1993-01-01  108.374
1994-01-01  109.459
1995-01-01  111.578
1996-01-01  112.898
1997-01-01  113.366
1998-01-01  113.429
1999-01-01  113.176
2000-01-01  113.517
2001-01-01  113.049
2002-01-01  112.639
2003-01-01  112.142
2004-01-01  113.147
2005-01-01  112.821
2006-01-01  112.354
2007-01-01  112.953
2008-01-01  113.077
2009-01-01  113.499
2010-01-01  122.864
2011-01-01  124.080
2012-01-01  124.547
2013-01-01  124.715
2014-01-01  124.664
2015-01-01  124.454
2016-01-01  124.476
2017-01-01  124.172
