Title:               Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Wholesale Trade for North Carolina
Series ID:           NCWHOLEQQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Index 2012=100
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01   94.621
2005-04-01   95.929
2005-07-01   95.719
2005-10-01   98.101
2006-01-01   98.564
2006-04-01   98.683
2006-07-01   99.454
2006-10-01  100.085
2007-01-01  100.880
2007-04-01  103.317
2007-07-01  104.013
2007-10-01  106.080
2008-01-01  102.388
2008-04-01  104.523
2008-07-01  102.057
2008-10-01   97.215
2009-01-01   90.740
2009-04-01   86.697
2009-07-01   87.402
2009-10-01   92.087
2010-01-01   91.064
2010-04-01   94.865
2010-07-01   97.659
2010-10-01   97.099
2011-01-01   95.611
2011-04-01   94.415
2011-07-01   93.994
2011-10-01   99.158
2012-01-01   97.233
2012-04-01  101.161
2012-07-01  101.643
2012-10-01   99.963
2013-01-01  101.835
2013-04-01  101.220
2013-07-01  103.248
2013-10-01  105.292
2014-01-01  104.948
2014-04-01  108.268
2014-07-01  111.758
2014-10-01  111.298
2015-01-01  112.554
2015-04-01  113.370
2015-07-01  112.259
2015-10-01  112.391
2016-01-01  111.180
2016-04-01  114.286
2016-07-01  115.682
2016-10-01  116.560
2017-01-01  118.729
2017-04-01  118.051
2017-07-01  120.001
2017-10-01  121.266
2018-01-01  119.280
2018-04-01  120.267
