Title:               Resident Population in Wilkes County, NC
Series ID:           NCWILK5POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:23 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  49.524
1971-01-01  51.600
1972-01-01  53.200
1973-01-01  54.000
1974-01-01  54.800
1975-01-01  55.500
1976-01-01  56.200
1977-01-01  57.100
1978-01-01  58.200
1979-01-01  58.800
1980-01-01  58.657
1981-01-01  58.934
1982-01-01  59.191
1983-01-01  59.392
1984-01-01  59.780
1985-01-01  59.848
1986-01-01  59.567
1987-01-01  59.886
1988-01-01  59.875
1989-01-01  59.570
1990-01-01  59.502
1991-01-01  59.845
1992-01-01  60.352
1993-01-01  60.676
1994-01-01  61.339
1995-01-01  61.825
1996-01-01  62.884
1997-01-01  63.507
1998-01-01  64.132
1999-01-01  65.092
2000-01-01  65.775
2001-01-01  66.320
2002-01-01  66.519
2003-01-01  66.611
2004-01-01  66.328
2005-01-01  66.426
2006-01-01  66.480
2007-01-01  66.674
2008-01-01  66.732
2009-01-01  66.396
2010-01-01  69.262
2011-01-01  68.942
2012-01-01  68.927
2013-01-01  68.642
2014-01-01  68.455
2015-01-01  68.320
2016-01-01  68.634
2017-01-01  68.576
