Title:               Resident Population in Wilson County, NC
Series ID:           NCWILS0POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  57.486
1971-01-01  58.400
1972-01-01  58.100
1973-01-01  58.900
1974-01-01  59.600
1975-01-01  60.100
1976-01-01  60.200
1977-01-01  61.200
1978-01-01  61.500
1979-01-01  62.300
1980-01-01  63.132
1981-01-01  63.446
1982-01-01  63.816
1983-01-01  64.248
1984-01-01  64.542
1985-01-01  64.380
1986-01-01  64.547
1987-01-01  65.203
1988-01-01  65.493
1989-01-01  66.019
1990-01-01  66.238
1991-01-01  66.925
1992-01-01  67.640
1993-01-01  67.981
1994-01-01  68.953
1995-01-01  69.546
1996-01-01  70.272
1997-01-01  71.028
1998-01-01  72.002
1999-01-01  73.166
2000-01-01  73.930
2001-01-01  73.955
2002-01-01  74.692
2003-01-01  74.907
2004-01-01  75.086
2005-01-01  75.449
2006-01-01  75.786
2007-01-01  76.651
2008-01-01  77.704
2009-01-01  78.327
2010-01-01  81.299
2011-01-01  81.192
2012-01-01  81.451
2013-01-01  81.277
2014-01-01  81.122
2015-01-01  81.393
2016-01-01  81.433
2017-01-01  81.671
