Title:               Information Wages and Salaries in North Carolina
Series ID:           NCWINF
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE           VALUE
1998-01-01   2749384
1998-04-01   2997504
1998-07-01   2980220
1998-10-01   3193696
1999-01-01   3276928
1999-04-01   3396784
1999-07-01   3415732
1999-10-01   3388008
2000-01-01   3562980
2000-04-01   3693728
2000-07-01   3877572
2000-10-01   3859956
2001-01-01         .
2001-04-01         .
2001-07-01         .
2001-10-01         .
2002-01-01   3715144
2002-04-01   3824892
2002-07-01   3803604
2002-10-01   3766220
2003-01-01   3713068
2003-04-01   3732800
2003-07-01   3834012
2003-10-01   3777256
2004-01-01   3767920
2004-04-01   3788572
2004-07-01   3870352
2004-10-01   3956152
2005-01-01   4040632
2005-04-01   3766312
2005-07-01   3871872
2005-10-01   4082180
2006-01-01   3978844
2006-04-01   4060316
2006-07-01   4124764
2006-10-01   4121436
2007-01-01   4232192
2007-04-01   4223560
2007-07-01   4189708
2007-10-01   4225444
2008-01-01   4331732
2008-04-01   4335328
2008-07-01   4367816
2008-10-01   4415872
2009-01-01   4102920
2009-04-01   4203868
2009-07-01   4201068
2009-10-01   4352920
2010-01-01   4271408
2010-04-01   4245456
2010-07-01   4319844
2010-10-01   4404724
2011-01-01   4545652
2011-04-01   4468748
2011-07-01   4579716
2011-10-01   4590004
2012-01-01   4820388
2012-04-01   4717352
2012-07-01   4765016
2012-10-01   4900784
2013-01-01   5009588
2013-04-01   5050020
2013-07-01   5032360
2013-10-01   5112816
2014-01-01   5560980
2014-04-01   5365552
2014-07-01   5567704
2014-10-01   5595540
2015-01-01   5867768
2015-04-01   5953716
2015-07-01   6087400
2015-10-01   5985640
2016-01-01   6192952
2016-04-01   6219044
2016-07-01   6348936
2016-10-01   6598876
2017-01-01   6411312
2017-04-01   6448664
2017-07-01   6482964
2017-10-01   6753968
2018-01-01   6681144
2018-04-01   6812262
2018-07-01   6977307
