Title:               Nondurable Manufacturing Wages and Salaries in North Carolina
Series ID:           NCWNON
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE            VALUE
1998-01-01   12917680
1998-04-01   12806384
1998-07-01   12735776
1998-10-01   12805108
1999-01-01   12771580
1999-04-01   12669636
1999-07-01   13031184
1999-10-01   12831620
2000-01-01   12916744
2000-04-01   13010912
2000-07-01   13056316
2000-10-01   13055612
2001-01-01   12594352
2001-04-01   12464320
2001-07-01   12046448
2001-10-01   11922004
2002-01-01   12161804
2002-04-01   12261964
2002-07-01   12245592
2002-10-01   12119344
2003-01-01   11943768
2003-04-01   11846128
2003-07-01   11687220
2003-10-01   11942820
2004-01-01   11326496
2004-04-01   11582880
2004-07-01   11992032
2004-10-01   11718060
2005-01-01   11398416
2005-04-01   11442524
2005-07-01   11519436
2005-10-01   11326768
2006-01-01   11220212
2006-04-01   11226092
2006-07-01   11220284
2006-10-01   11355044
2007-01-01   11515420
2007-04-01   11434004
2007-07-01   11255436
2007-10-01   11425944
2008-01-01   11457100
2008-04-01   11255028
2008-07-01   11021548
2008-10-01   10716380
2009-01-01   10278244
2009-04-01   10160476
2009-07-01   10089744
2009-10-01   10332372
2010-01-01   10225652
2010-04-01   10235716
2010-07-01   10404868
2010-10-01   10458192
2011-01-01   10426844
2011-04-01   10860844
2011-07-01   10390316
2011-10-01   10186532
2012-01-01   10135848
2012-04-01   10173812
2012-07-01   10191640
2012-10-01   10338232
2013-01-01   10351568
2013-04-01   10479560
2013-07-01   10534404
2013-10-01   10631944
2014-01-01   11090532
2014-04-01   10855856
2014-07-01   10860792
2014-10-01   11109024
2015-01-01   11407908
2015-04-01   11477144
2015-07-01   11531252
2015-10-01   11425712
2016-01-01   11372316
2016-04-01   11396900
2016-07-01   11458920
2016-10-01   11594152
2017-01-01   11809092
2017-04-01   11738732
2017-07-01   11919636
2017-10-01   11898752
2018-01-01   11818750
2018-04-01   12351809
2018-07-01   12011097
