Title:               Other Services (Except Public Administration) Wages and Salaries in North Carolina
Series ID:           NCWOTH
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE           VALUE
1998-01-01   3108320
1998-04-01   3195804
1998-07-01   3268176
1998-10-01   3272568
1999-01-01   3310024
1999-04-01   3371104
1999-07-01   3396684
1999-10-01   3522316
2000-01-01   3581520
2000-04-01   3622872
2000-07-01   3685748
2000-10-01   3654412
2001-01-01   3835396
2001-04-01   3787084
2001-07-01   3830860
2001-10-01   3879312
2002-01-01   3937864
2002-04-01   4018784
2002-07-01   4070744
2002-10-01   4115992
2003-01-01   4156296
2003-04-01   4208808
2003-07-01   4247124
2003-10-01   4345912
2004-01-01   4354124
2004-04-01   4383284
2004-07-01   4485164
2004-10-01   4453608
2005-01-01   4424588
2005-04-01   4423724
2005-07-01   4481844
2005-10-01   4474376
2006-01-01   4611832
2006-04-01   4665244
2006-07-01   4718712
2006-10-01   4842388
2007-01-01   4994612
2007-04-01   5020448
2007-07-01   5007580
2007-10-01   5128404
2008-01-01   5147168
2008-04-01   5147500
2008-07-01   5197972
2008-10-01   5238864
2009-01-01   4966348
2009-04-01   5006372
2009-07-01   5030308
2009-10-01   5036240
2010-01-01   5001052
2010-04-01   5019436
2010-07-01   5120248
2010-10-01   5148592
2011-01-01   5197264
2011-04-01   5225616
2011-07-01   5243604
2011-10-01   5266772
2012-01-01   5562484
2012-04-01   5544604
2012-07-01   5491964
2012-10-01   5595204
2013-01-01   5733560
2013-04-01   5702236
2013-07-01   5776896
2013-10-01   5856940
2014-01-01   5854344
2014-04-01   5989660
2014-07-01   6094320
2014-10-01   6180816
2015-01-01   6276444
2015-04-01   6329296
2015-07-01   6382052
2015-10-01   6372072
2016-01-01   6431424
2016-04-01   6533036
2016-07-01   6672320
2016-10-01   6839476
2017-01-01   6858692
2017-04-01   6824300
2017-07-01   6872956
2017-10-01   6976632
2018-01-01   7154115
2018-04-01   7154316
2018-07-01   7164436
