Title:               Professional and Technical Services Wages and Salaries in North Carolina
Series ID:           NCWPRO
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE            VALUE
1998-01-01    5151012
1998-04-01    5326592
1998-07-01    5578848
1998-10-01    5798468
1999-01-01    6099348
1999-04-01    6260444
1999-07-01    6473064
1999-10-01    6717112
2000-01-01    6912720
2000-04-01    7079556
2000-07-01    7240264
2000-10-01    7487236
2001-01-01    7611504
2001-04-01    7606452
2001-07-01    7500592
2001-10-01    7420932
2002-01-01    7424136
2002-04-01    7531960
2002-07-01    7451456
2002-10-01    7279968
2003-01-01    7397876
2003-04-01    7428432
2003-07-01    7573504
2003-10-01    7843888
2004-01-01    7820452
2004-04-01    7958820
2004-07-01    8214452
2004-10-01    8448156
2005-01-01    8536860
2005-04-01    8822656
2005-07-01    9051860
2005-10-01    9236580
2006-01-01    9861724
2006-04-01    9746796
2006-07-01   10139752
2006-10-01   10560180
2007-01-01   10888360
2007-04-01   11120576
2007-07-01   11342428
2007-10-01   11581616
2008-01-01   11723056
2008-04-01   11874864
2008-07-01   11989292
2008-10-01   12028872
2009-01-01   11553832
2009-04-01   11420308
2009-07-01   11618288
2009-10-01   11566280
2010-01-01   11764004
2010-04-01   12158728
2010-07-01   12267668
2010-10-01   12487284
2011-01-01   12782568
2011-04-01   12868008
2011-07-01   13132648
2011-10-01   13249060
2012-01-01   13689732
2012-04-01   13949308
2012-07-01   14202120
2012-10-01   14304596
2013-01-01   14328420
2013-04-01   14340784
2013-07-01   14225580
2013-10-01   14571676
2014-01-01   15032736
2014-04-01   15254664
2014-07-01   15635836
2014-10-01   15906344
2015-01-01   16253468
2015-04-01   16625668
2015-07-01   17044728
2015-10-01   17406104
2016-01-01   17559332
2016-04-01   17672124
2016-07-01   18176804
2016-10-01   18704964
2017-01-01   19071092
2017-04-01   19496888
2017-07-01   19618448
2017-10-01   19702180
2018-01-01   20543451
2018-04-01   21110189
2018-07-01   21473498
