Title:               Retail Trade Wages and Salaries in North Carolina
Series ID:           NCWRET
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE            VALUE
1998-01-01    8013776
1998-04-01    8374388
1998-07-01    8379364
1998-10-01    8601860
1999-01-01    8794276
1999-04-01    9053808
1999-07-01    9189628
1999-10-01    9396672
2000-01-01    9620372
2000-04-01    9756392
2000-07-01    9817920
2000-10-01    9652516
2001-01-01    9985272
2001-04-01    9897836
2001-07-01    9885132
2001-10-01    9877392
2002-01-01    9908968
2002-04-01    9898104
2002-07-01    9925740
2002-10-01    9815132
2003-01-01    9800888
2003-04-01    9771556
2003-07-01   10019180
2003-10-01   10288192
2004-01-01   10065976
2004-04-01   10307184
2004-07-01   10475180
2004-10-01   10618604
2005-01-01   10730660
2005-04-01   10839376
2005-07-01   10894104
2005-10-01   11011864
2006-01-01   11205736
2006-04-01   11258324
2006-07-01   11327672
2006-10-01   11525784
2007-01-01   11857704
2007-04-01   11968468
2007-07-01   11888796
2007-10-01   12031544
2008-01-01   11996868
2008-04-01   11866852
2008-07-01   11753660
2008-10-01   11517428
2009-01-01   10924384
2009-04-01   11050312
2009-07-01   11085356
2009-10-01   11164452
2010-01-01   11144156
2010-04-01   11334428
2010-07-01   11335188
2010-10-01   11222616
2011-01-01   11354268
2011-04-01   11366312
2011-07-01   11489336
2011-10-01   11471780
2012-01-01   11970496
2012-04-01   11860544
2012-07-01   11897608
2012-10-01   12041788
2013-01-01   12343064
2013-04-01   12404108
2013-07-01   12442144
2013-10-01   12627112
2014-01-01   12763936
2014-04-01   12919884
2014-07-01   12926516
2014-10-01   13292816
2015-01-01   13357888
2015-04-01   13416836
2015-07-01   13783512
2015-10-01   13848200
2016-01-01   13994408
2016-04-01   14090400
2016-07-01   14161324
2016-10-01   14357512
2017-01-01   14610228
2017-04-01   14379872
2017-07-01   14523680
2017-10-01   14564740
2018-01-01   14888858
2018-04-01   14989676
2018-07-01   15104064
