Title:               Wholesale Trade Wages and Salaries in North Carolina
Series ID:           NCWWHO
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE            VALUE
1998-01-01    5989888
1998-04-01    6183536
1998-07-01    6299428
1998-10-01    6411812
1999-01-01    6527276
1999-04-01    6621552
1999-07-01    6682868
1999-10-01    6802076
2000-01-01    6925732
2000-04-01    7141492
2000-07-01    7242340
2000-10-01    7360936
2001-01-01    7201944
2001-04-01    7235700
2001-07-01    7170248
2001-10-01    7057672
2002-01-01    7356928
2002-04-01    7462196
2002-07-01    7536304
2002-10-01    7430584
2003-01-01    7632104
2003-04-01    7734048
2003-07-01    7880772
2003-10-01    8047108
2004-01-01    8115528
2004-04-01    8390556
2004-07-01    8671348
2004-10-01    8839348
2005-01-01    8780896
2005-04-01    8931072
2005-07-01    9016900
2005-10-01    9190124
2006-01-01    9428640
2006-04-01    9529864
2006-07-01    9666548
2006-10-01    9893464
2007-01-01   10209844
2007-04-01   10356452
2007-07-01   10426644
2007-10-01   10605024
2008-01-01   10360372
2008-04-01   10596816
2008-07-01   10503808
2008-10-01   10302452
2009-01-01    9905992
2009-04-01    9650472
2009-07-01    9663452
2009-10-01    9735248
2010-01-01    9702988
2010-04-01   10004096
2010-07-01   10200856
2010-10-01   10247792
2011-01-01   10417924
2011-04-01   10580788
2011-07-01   10694628
2011-10-01   10663924
2012-01-01   10868004
2012-04-01   10993416
2012-07-01   11128628
2012-10-01   11446624
2013-01-01   11410592
2013-04-01   11512356
2013-07-01   11473268
2013-10-01   11669520
2014-01-01   11912616
2014-04-01   12062620
2014-07-01   12227792
2014-10-01   12365064
2015-01-01   12627584
2015-04-01   12654300
2015-07-01   12662756
2015-10-01   12639828
2016-01-01   12712940
2016-04-01   12984980
2016-07-01   13038960
2016-10-01   13345576
2017-01-01   13674900
2017-04-01   13618480
2017-07-01   13927656
2017-10-01   13927484
2018-01-01   13761107
2018-04-01   13863065
2018-07-01   14038632
