Title:               Civilian Labor Force in Yadkin County, NC
Series ID:           NCYADK7LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  16195
1990-02-01  16343
1990-03-01  16328
1990-04-01  16401
1990-05-01  16447
1990-06-01  16556
1990-07-01  16852
1990-08-01  16722
1990-09-01  16341
1990-10-01  16440
1990-11-01  16297
1990-12-01  16389
1991-01-01  16307
1991-02-01  16377
1991-03-01  16354
1991-04-01  16235
1991-05-01  16180
1991-06-01  16443
1991-07-01  16648
1991-08-01  16515
1991-09-01  16353
1991-10-01  16402
1991-11-01  16402
1991-12-01  16361
1992-01-01  16481
1992-02-01  16324
1992-03-01  16470
1992-04-01  16521
1992-05-01  16598
1992-06-01  16650
1992-07-01  16837
1992-08-01  16651
1992-09-01  16532
1992-10-01  16620
1992-11-01  16650
1992-12-01  16702
1993-01-01  16442
1993-02-01  16486
1993-03-01  16547
1993-04-01  16566
1993-05-01  16651
1993-06-01  16834
1993-07-01  17049
1993-08-01  16920
1993-09-01  16592
1993-10-01  16817
1993-11-01  16810
1993-12-01  16860
1994-01-01  16695
1994-02-01  16629
1994-03-01  16541
1994-04-01  16693
1994-05-01  17044
1994-06-01  16976
1994-07-01  17076
1994-08-01  17212
1994-09-01  17011
1994-10-01  17210
1994-11-01  17331
1994-12-01  17295
1995-01-01  17705
1995-02-01  17577
1995-03-01  17546
1995-04-01  17488
1995-05-01  17499
1995-06-01  17576
1995-07-01  17934
1995-08-01  17618
1995-09-01  17476
1995-10-01  17985
1995-11-01  18065
1995-12-01  18070
1996-01-01  18102
1996-02-01  18119
1996-03-01  18241
1996-04-01  18491
1996-05-01  18218
1996-06-01  18352
1996-07-01  18518
1996-08-01  18290
1996-09-01  18217
1996-10-01  18407
1996-11-01  18568
1996-12-01  18519
1997-01-01  18659
1997-02-01  18552
1997-03-01  18837
1997-04-01  18623
1997-05-01  18763
1997-06-01  18781
1997-07-01  18836
1997-08-01  18556
1997-09-01  18548
1997-10-01  18552
1997-11-01  18605
1997-12-01  18782
1998-01-01  18486
1998-02-01  18799
1998-03-01  18861
1998-04-01  18525
1998-05-01  18495
1998-06-01  18496
1998-07-01  18655
1998-08-01  18518
1998-09-01  18392
1998-10-01  18468
1998-11-01  18674
1998-12-01  18750
1999-01-01  18703
1999-02-01  18784
1999-03-01  19011
1999-04-01  18794
1999-05-01  18767
1999-06-01  18783
1999-07-01  18841
1999-08-01  18645
1999-09-01  18563
1999-10-01  18852
1999-11-01  18983
1999-12-01  19116
2000-01-01  18960
2000-02-01  19110
2000-03-01  19026
2000-04-01  18971
2000-05-01  18919
2000-06-01  18998
2000-07-01  19270
2000-08-01  19283
2000-09-01  19034
2000-10-01  19321
2000-11-01  19267
2000-12-01  19412
2001-01-01  19415
2001-02-01  19528
2001-03-01  19605
2001-04-01  19332
2001-05-01  19208
2001-06-01  19126
2001-07-01  19556
2001-08-01  19375
2001-09-01  19253
2001-10-01  19346
2001-11-01  19228
2001-12-01  19254
2002-01-01  19344
2002-02-01  19404
2002-03-01  19417
2002-04-01  19361
2002-05-01  19382
2002-06-01  19210
2002-07-01  19406
2002-08-01  19467
2002-09-01  19356
2002-10-01  19468
2002-11-01  19444
2002-12-01  19357
2003-01-01  19325
2003-02-01  19561
2003-03-01  19586
2003-04-01  19688
2003-05-01  19499
2003-06-01  19596
2003-07-01  19426
2003-08-01  19336
2003-09-01  19181
2003-10-01  19312
2003-11-01  19349
2003-12-01  19237
2004-01-01  19191
2004-02-01  19286
2004-03-01  19214
2004-04-01  19128
2004-05-01  19104
2004-06-01  19047
2004-07-01  19030
2004-08-01  18903
2004-09-01  18812
