Title:               Resident Population in Yancey County, NC
Series ID:           NCYANC9POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  12.629
1971-01-01  13.000
1972-01-01  13.300
1973-01-01  13.500
1974-01-01  13.600
1975-01-01  14.100
1976-01-01  14.500
1977-01-01  14.600
1978-01-01  14.800
1979-01-01  14.900
1980-01-01  14.934
1981-01-01  15.045
1982-01-01  15.117
1983-01-01  15.052
1984-01-01  15.217
1985-01-01  15.351
1986-01-01  15.467
1987-01-01  15.578
1988-01-01  15.539
1989-01-01  15.500
1990-01-01  15.459
1991-01-01  15.758
1992-01-01  15.876
1993-01-01  16.065
1994-01-01  16.322
1995-01-01  16.574
1996-01-01  16.761
1997-01-01  17.066
1998-01-01  17.260
1999-01-01  17.612
2000-01-01  17.750
2001-01-01  17.832
2002-01-01  17.812
2003-01-01  17.824
2004-01-01  17.918
2005-01-01  18.025
2006-01-01  18.141
2007-01-01  18.402
2008-01-01  18.496
2009-01-01  18.477
2010-01-01  17.805
2011-01-01  17.692
2012-01-01  17.623
2013-01-01  17.552
2014-01-01  17.546
2015-01-01  17.559
2016-01-01  17.622
2017-01-01  17.744
