Title:               Net Interest Margin for Commercial Banks with Assets under $5B in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           NIMNFK
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly, End of Quarter
Units:               Percent
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series is a ratio of Net interest income call item RIAD4074 to
                     Quarterly Average of Total Assets call item RCFD3368.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     Data are annualized.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE               VALUE
1989-01-01  4.6811624197
1989-04-01  4.6113671616
1989-07-01  4.4237954062
1989-10-01  4.3500516779
1990-01-01  4.2214004551
1990-04-01  4.1970526560
1990-07-01  4.1531411412
1990-10-01  4.0836310889
1991-01-01  4.0258336051
1991-04-01  4.0221441822
1991-07-01  3.8792458336
1991-10-01  3.8039870351
1992-01-01  4.1860764850
1992-04-01  4.1376756976
1992-07-01  4.1326159081
1992-10-01  4.1528862924
1993-01-01  4.5086166406
1993-04-01  4.4134773085
1993-07-01  4.3359638319
1993-10-01  4.2273747420
1994-01-01  4.3336376680
1994-04-01  4.3782482156
1994-07-01  4.4190196341
1994-10-01  4.4304852175
1995-01-01  4.5000929619
1995-04-01  4.4124208244
1995-07-01  4.2999303654
1995-10-01  4.2004564622
1996-01-01  4.3621914273
1996-04-01  4.3817289798
1996-07-01  4.3958187133
1996-10-01  4.3496033265
1997-01-01  4.4767418132
1997-04-01  4.5213898722
1997-07-01  4.4723349707
1997-10-01  4.4063514550
1998-01-01  4.4693542929
1998-04-01  4.1954551573
1998-07-01  3.8372045675
1998-10-01  3.7850619500
1999-01-01  3.8222918878
1999-04-01  3.7775382213
1999-07-01  4.0628443586
1999-10-01  4.0019803208
2000-01-01  4.0265951691
2000-04-01  4.1615046136
2000-07-01  4.0788846706
2000-10-01  3.9577363124
2001-01-01  3.8419319429
2001-04-01  3.7093250809
2001-07-01  3.4850364801
2001-10-01  3.3561373873
2002-01-01  3.8355194830
2002-04-01  3.7964275195
2002-07-01  3.7696582237
2002-10-01  3.6542512536
2003-01-01  3.7338888787
2003-04-01  3.6492910905
2003-07-01  3.3834304264
2003-10-01  3.3197188262
2004-01-01  3.5248374834
2004-04-01  3.3078718076
2004-07-01  3.2915267496
2004-10-01  3.3226540529
2005-01-01  3.6837551027
2005-04-01  3.6310584275
2005-07-01  3.5190331585
2005-10-01  3.5292687315
2006-01-01  3.7646108117
2006-04-01  3.7054512814
2006-07-01  3.6148338214
2006-10-01  3.5650297484
2007-01-01  3.5541275223
2007-04-01  3.5287787701
2007-07-01  3.4335392814
2007-10-01  3.3450251915
2008-01-01  3.3227804294
2008-04-01  3.2527727720
2008-07-01  3.2105883833
2008-10-01  3.0708480571
2009-01-01  3.0389319111
2009-04-01  3.1124654884
2009-07-01  3.1338934802
2009-10-01  3.1337358517
2010-01-01  3.0945184368
2010-04-01  3.0402355783
2010-07-01  3.1284151133
2010-10-01  3.1148568112
2011-01-01  3.2184667964
2011-04-01  3.2581376343
2011-07-01  3.3433385079
2011-10-01  3.4043225006
2012-01-01  3.3955241924
2012-04-01  3.4027959742
2012-07-01  3.3561086952
2012-10-01  3.2755775701
2013-01-01  3.2510684606
2013-04-01  3.2606333569
2013-07-01  3.2318183042
2013-10-01  3.2229914393
2014-01-01  3.1363628731
2014-04-01  3.1191673517
2014-07-01  3.0709771306
2014-10-01  3.0595191710
2015-01-01  3.2055906301
2015-04-01  3.2596513266
2015-07-01  3.3193454591
2015-10-01  3.3532434559
2016-01-01  3.3244806981
2016-04-01  3.1132392742
2016-07-01  3.1910320777
2016-10-01  3.1619580105
2017-01-01  3.3200369509
2017-04-01  3.2844620012
2017-07-01  3.2716547120
2017-10-01  3.2104424455
2018-01-01  3.2415093127
2018-04-01  3.2112567359
2018-07-01  3.2426184491
