Title:               Net Income for Commercial Banks with Assets under $5B in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           NINFK
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series represents Net Income (Loss) call item RIAD4340.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE          VALUE
1989-01-01     7395
1989-04-01    14597
1989-07-01    20611
1989-10-01    24924
1990-01-01     1937
1990-04-01     6780
1990-07-01     8055
1990-10-01     6228
1991-01-01     3133
1991-04-01     5100
1991-07-01     9719
1991-10-01     6840
1992-01-01     4587
1992-04-01     9889
1992-07-01    14761
1992-10-01    19972
1993-01-01     6475
1993-04-01    13054
1993-07-01    19383
1993-10-01    26120
1994-01-01     6949
1994-04-01    14152
1994-07-01    21657
1994-10-01    29050
1995-01-01     2482
1995-04-01     9940
1995-07-01    17734
1995-10-01    25898
1996-01-01     9089
1996-04-01    18441
1996-07-01    27712
1996-10-01    38344
1997-01-01     9160
1997-04-01    18719
1997-07-01    28963
1997-10-01    39738
1998-01-01    10621
1998-04-01    23269
1998-07-01    47470
1998-10-01    67603
1999-01-01    10968
1999-04-01    26091
1999-07-01    17075
1999-10-01    23969
2000-01-01    21972
2000-04-01    17380
2000-07-01    28010
2000-10-01    39690
2001-01-01     9657
2001-04-01    19093
2001-07-01    25357
2001-10-01    35778
2002-01-01    10537
2002-04-01    22162
2002-07-01    35801
2002-10-01    49392
2003-01-01    13305
2003-04-01    28346
2003-07-01    41645
2003-10-01    40129
2004-01-01     6585
2004-04-01    18180
2004-07-01    31158
2004-10-01    45462
2005-01-01    14396
2005-04-01    30064
2005-07-01    46550
2005-10-01    61066
2006-01-01    15447
2006-04-01    31152
2006-07-01    49522
2006-10-01    68755
2007-01-01    13423
2007-04-01    28014
2007-07-01    34414
2007-10-01    48310
2008-01-01    14054
2008-04-01    28229
2008-07-01    31068
2008-10-01    37588
2009-01-01    11959
2009-04-01     5553
2009-07-01   -23284
2009-10-01  -172097
2010-01-01   -34773
2010-04-01   -78336
2010-07-01  -159753
2010-10-01  -220588
2011-01-01   -25347
2011-04-01   -57316
2011-07-01   -39290
2011-10-01   -47145
2012-01-01     6792
2012-04-01    16414
2012-07-01    25767
2012-10-01    35183
2013-01-01    17688
2013-04-01    35794
2013-07-01    55255
2013-10-01    70552
2014-01-01    21295
2014-04-01    41553
2014-07-01    61985
2014-10-01    78061
2015-01-01     8486
2015-04-01    17920
2015-07-01    25334
2015-10-01   120642
2016-01-01     8501
2016-04-01     9766
2016-07-01     6930
2016-10-01    10105
2017-01-01     2418
2017-04-01     4770
2017-07-01     7092
2017-10-01     4748
2018-01-01      717
2018-04-01     4851
2018-07-01     8102
