Title:               New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Raleigh-Cary, NC (MSA)
Series ID:           RALE537BP1FH
Source:              U.S. Bureau of the Census
Release:             Housing Units Authorized By Building Permits (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Units
Date Range:          1988-01-01 to 2018-10-01
Last Updated:        2018-11-28 8:01 AM CST
Notes:               The Saint Louis Federal Reserve Bank uses the most recent Metropolitan
                     Statistical Area definitions released by the Office of Management and
                     Budget. For more information on specific definitions visit
                     https://census.gov/programs-surveys/metro-micro.html.

DATE        VALUE
1988-01-01    210
1988-02-01    534
1988-03-01    683
1988-04-01    605
1988-05-01    622
1988-06-01    675
1988-07-01    589
1988-08-01    696
1988-09-01    508
1988-10-01    510
1988-11-01    504
1988-12-01    392
1989-01-01    492
1989-02-01    445
1989-03-01    499
1989-04-01    528
1989-05-01    503
1989-06-01    520
1989-07-01    555
1989-08-01    574
1989-09-01    417
1989-10-01    492
1989-11-01    511
1989-12-01    378
1990-01-01    397
1990-02-01    449
1990-03-01    545
1990-04-01    435
1990-05-01    474
1990-06-01    509
1990-07-01    376
1990-08-01    408
1990-09-01    382
1990-10-01    340
1990-11-01    298
1990-12-01    315
1991-01-01    326
1991-02-01    323
1991-03-01    372
1991-04-01    532
1991-05-01    557
1991-06-01    491
1991-07-01    469
1991-08-01    444
1991-09-01    464
1991-10-01    492
1991-11-01    461
1991-12-01    432
1992-01-01    559
1992-02-01    561
1992-03-01    711
1992-04-01    598
1992-05-01    676
1992-06-01    601
1992-07-01    659
1992-08-01    538
1992-09-01    695
1992-10-01    616
1992-11-01    587
1992-12-01    559
1993-01-01    613
1993-02-01    659
1993-03-01    769
1993-04-01    879
1993-05-01    712
1993-06-01    935
1993-07-01    771
1993-08-01    735
1993-09-01    811
1993-10-01    805
1993-11-01    857
1993-12-01    751
1994-01-01    707
1994-02-01    740
1994-03-01   1015
1994-04-01    929
1994-05-01    960
1994-06-01    949
1994-07-01    804
1994-08-01    851
1994-09-01    736
1994-10-01    901
1994-11-01    819
1994-12-01    796
1995-01-01    785
1995-02-01    732
1995-03-01    894
1995-04-01    691
1995-05-01    880
1995-06-01    821
1995-07-01    789
1995-08-01   1058
1995-09-01    830
1995-10-01    791
1995-11-01    778
1995-12-01    680
1996-01-01    744
1996-02-01    741
1996-03-01   1078
1996-04-01   1172
1996-05-01   1208
1996-06-01   1115
1996-07-01    950
1996-08-01    921
1996-09-01    688
1996-10-01    762
1996-11-01    686
1996-12-01    737
1997-01-01    882
1997-02-01    822
1997-03-01    931
1997-04-01   1192
1997-05-01    977
1997-06-01   1079
1997-07-01   1045
1997-08-01    967
1997-09-01    962
1997-10-01   1036
1997-11-01    887
1997-12-01    909
1998-01-01    830
1998-02-01   1037
1998-03-01   1288
1998-04-01   1194
1998-05-01   1180
1998-06-01   1333
1998-07-01   1208
1998-08-01   1130
1998-09-01   1191
1998-10-01   1210
1998-11-01    964
1998-12-01   1151
1999-01-01   1012
1999-02-01   1289
1999-03-01   1437
1999-04-01   1332
1999-05-01   1326
1999-06-01   1397
1999-07-01   1111
1999-08-01   1315
1999-09-01   1066
1999-10-01    959
1999-11-01    935
1999-12-01   1093
2000-01-01    762
2000-02-01   1216
2000-03-01   1248
2000-04-01   1003
2000-05-01   1151
2000-06-01   1218
2000-07-01   1010
2000-08-01   1131
2000-09-01    972
2000-10-01   1036
2000-11-01    966
2000-12-01    885
2001-01-01   1098
2001-02-01   1205
2001-03-01   1343
2001-04-01   1315
2001-05-01   1385
2001-06-01   1265
2001-07-01   1139
2001-08-01   1247
2001-09-01    923
2001-10-01   1004
2001-11-01    906
2001-12-01    910
2002-01-01   1056
2002-02-01   1190
2002-03-01   1253
2002-04-01   1437
2002-05-01   1335
2002-06-01   1197
2002-07-01   1152
2002-08-01   1157
2002-09-01    963
2002-10-01   1246
2002-11-01    935
2002-12-01   1088
2003-01-01   1040
2003-02-01    854
2003-03-01   1214
2003-04-01   1287
2003-05-01   1243
2003-06-01   1484
2003-07-01   1237
2003-08-01   1331
2003-09-01   1183
2003-10-01   1338
2003-11-01    985
2003-12-01   1129
2004-01-01    861
2004-02-01    881
2004-03-01   1238
2004-04-01    969
2004-05-01   1056
2004-06-01   1397
2004-07-01   1024
2004-08-01   1088
2004-09-01    957
2004-10-01    913
2004-11-01    831
2004-12-01    946
2005-01-01    983
2005-02-01    907
2005-03-01   1046
2005-04-01   1308
2005-05-01   1265
2005-06-01   1404
2005-07-01   1325
2005-08-01   1354
2005-09-01   1188
2005-10-01   1167
2005-11-01    854
2005-12-01    988
2006-01-01   1024
2006-02-01   1111
2006-03-01   1282
2006-04-01   1230
2006-05-01   1485
2006-06-01   1385
2006-07-01    824
2006-08-01   1220
2006-09-01    997
2006-10-01   1074
2006-11-01    852
2006-12-01    897
2007-01-01    931
2007-02-01   1025
2007-03-01   1195
2007-04-01   1152
2007-05-01   1318
2007-06-01   1213
2007-07-01   1054
2007-08-01   1166
2007-09-01   1088
2007-10-01    992
2007-11-01    724
2007-12-01    622
2008-01-01    649
2008-02-01    756
2008-03-01    614
2008-04-01    720
2008-05-01    706
2008-06-01    747
2008-07-01    769
2008-08-01    530
2008-09-01    374
2008-10-01    338
2008-11-01    216
2008-12-01    197
2009-01-01    233
2009-02-01    273
2009-03-01    296
2009-04-01    302
2009-05-01    425
2009-06-01    464
2009-07-01    538
2009-08-01    414
2009-09-01    372
2009-10-01    330
2009-11-01    393
2009-12-01    372
2010-01-01    410
2010-02-01    417
2010-03-01    571
2010-04-01    399
2010-05-01    392
2010-06-01    459
2010-07-01    374
2010-08-01    430
2010-09-01    377
2010-10-01    282
2010-11-01    292
2010-12-01    242
2011-01-01    271
2011-02-01    328
2011-03-01    364
2011-04-01    380
2011-05-01    449
2011-06-01    541
2011-07-01    413
2011-08-01    504
2011-09-01    430
2011-10-01    307
2011-11-01    332
2011-12-01    416
2012-01-01    414
2012-02-01    497
2012-03-01    490
2012-04-01    411
2012-05-01    555
2012-06-01    610
2012-07-01    650
2012-08-01    661
2012-09-01    464
2012-10-01    586
2012-11-01    581
2012-12-01    471
2013-01-01    559
2013-02-01    559
2013-03-01    717
2013-04-01    814
2013-05-01    771
2013-06-01    790
2013-07-01    646
2013-08-01    754
2013-09-01    708
2013-10-01    602
2013-11-01    476
2013-12-01    577
2014-01-01    615
2014-02-01    600
2014-03-01    665
2014-04-01    674
2014-05-01    687
2014-06-01    725
2014-07-01    719
2014-08-01    697
2014-09-01    632
2014-10-01    573
2014-11-01    495
2014-12-01    632
2015-01-01    613
2015-02-01    534
2015-03-01    750
2015-04-01    767
2015-05-01    821
2015-06-01    821
2015-07-01    771
2015-08-01    753
2015-09-01    663
2015-10-01    670
2015-11-01    558
2015-12-01    673
2016-01-01    546
2016-02-01    725
2016-03-01    793
2016-04-01   1027
2016-05-01    849
2016-06-01    908
2016-07-01    872
2016-08-01    832
2016-09-01    752
2016-10-01    799
2016-11-01    703
2016-12-01    639
2017-01-01    840
2017-02-01    682
2017-03-01   1120
2017-04-01    937
2017-05-01   1195
2017-06-01   1127
2017-07-01    936
2017-08-01   1000
2017-09-01    746
2017-10-01    916
2017-11-01    703
2017-12-01    673
2018-01-01    893
2018-02-01    911
2018-03-01   1035
2018-04-01   1022
2018-05-01   1102
2018-06-01   1125
2018-07-01   1047
2018-08-01   1073
2018-09-01    760
2018-10-01    858
