Title:               New Private Housing Units Authorized by Building Permits for Raleigh-Cary, NC (MSA)
Series ID:           RALE537BPPRIV
Source:              U.S. Bureau of the Census
Release:             Housing Units Authorized By Building Permits (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Units
Date Range:          1988-01-01 to 2018-10-01
Last Updated:        2018-11-28 8:01 AM CST
Notes:               The Saint Louis Federal Reserve Bank uses the most recent Metropolitan
                     Statistical Area definitions released by the Office of Management and
                     Budget. For more information on specific definitions visit
                     https://census.gov/programs-surveys/metro-micro.html.

DATE        VALUE
1988-01-01    220
1988-02-01    574
1988-03-01    963
1988-04-01    651
1988-05-01    638
1988-06-01    775
1988-07-01    629
1988-08-01    959
1988-09-01    622
1988-10-01    622
1988-11-01    601
1988-12-01    474
1989-01-01    525
1989-02-01    472
1989-03-01    560
1989-04-01   1109
1989-05-01    533
1989-06-01    624
1989-07-01    717
1989-08-01    592
1989-09-01    475
1989-10-01    553
1989-11-01    579
1989-12-01    552
1990-01-01   1295
1990-02-01    564
1990-03-01    564
1990-04-01    635
1990-05-01    510
1990-06-01    527
1990-07-01    397
1990-08-01    573
1990-09-01    398
1990-10-01    444
1990-11-01    467
1990-12-01    321
1991-01-01    354
1991-02-01    328
1991-03-01    396
1991-04-01    593
1991-05-01    627
1991-06-01    581
1991-07-01    531
1991-08-01    556
1991-09-01    572
1991-10-01    631
1991-11-01    526
1991-12-01    684
1992-01-01    677
1992-02-01    615
1992-03-01    711
1992-04-01    662
1992-05-01    828
1992-06-01    618
1992-07-01    850
1992-08-01    566
1992-09-01    753
1992-10-01    660
1992-11-01    605
1992-12-01    594
1993-01-01    691
1993-02-01    755
1993-03-01    929
1993-04-01    905
1993-05-01    741
1993-06-01   1295
1993-07-01    874
1993-08-01    798
1993-09-01    928
1993-10-01    838
1993-11-01    907
1993-12-01    816
1994-01-01    711
1994-02-01    913
1994-03-01   1180
1994-04-01   1428
1994-05-01   1399
1994-06-01   1709
1994-07-01    899
1994-08-01    974
1994-09-01   2161
1994-10-01   1388
1994-11-01   1356
1994-12-01    962
1995-01-01    859
1995-02-01    880
1995-03-01   1059
1995-04-01   1085
1995-05-01   1419
1995-06-01   1155
1995-07-01    819
1995-08-01   1712
1995-09-01   1239
1995-10-01   1042
1995-11-01   1281
1995-12-01   1156
1996-01-01   1160
1996-02-01    873
1996-03-01   1240
1996-04-01   1407
1996-05-01   1550
1996-06-01   1447
1996-07-01   1017
1996-08-01   1032
1996-09-01    965
1996-10-01   1185
1996-11-01   1082
1996-12-01    894
1997-01-01    915
1997-02-01    993
1997-03-01   1446
1997-04-01   1521
1997-05-01   1244
1997-06-01   1298
1997-07-01   1318
1997-08-01   1515
1997-09-01   1778
1997-10-01   1552
1997-11-01   1537
1997-12-01   1214
1998-01-01    983
1998-02-01   1630
1998-03-01   1695
1998-04-01   1463
1998-05-01   1499
1998-06-01   1639
1998-07-01   1561
1998-08-01   1495
1998-09-01   2070
1998-10-01   1556
1998-11-01   1333
1998-12-01   1241
1999-01-01   1125
1999-02-01   1617
1999-03-01   1605
1999-04-01   1517
1999-05-01   1731
1999-06-01   2399
1999-07-01   1751
1999-08-01   2334
1999-09-01   1136
1999-10-01   1497
1999-11-01   1086
1999-12-01   2047
2000-01-01    782
2000-02-01   1790
2000-03-01   1399
2000-04-01   1488
2000-05-01   2008
2000-06-01   1964
2000-07-01   1336
2000-08-01   1515
2000-09-01   1286
2000-10-01   1677
2000-11-01   1261
2000-12-01   1322
2001-01-01   1487
2001-02-01   1715
2001-03-01   1601
2001-04-01   1962
2001-05-01   1886
2001-06-01   1594
2001-07-01   1414
2001-08-01   1633
2001-09-01   1688
2001-10-01   1263
2001-11-01   1324
2001-12-01   1358
2002-01-01   1339
2002-02-01   1568
2002-03-01   1352
2002-04-01   1639
2002-05-01   1671
2002-06-01   1581
2002-07-01   1698
2002-08-01   1392
2002-09-01   1502
2002-10-01   1719
2002-11-01   1137
2002-12-01   1413
2003-01-01   1508
2003-02-01   1167
2003-03-01   1470
2003-04-01   1402
2003-05-01   1424
2003-06-01   1612
2003-07-01   1617
2003-08-01   1408
2003-09-01   1247
2003-10-01   1783
2003-11-01   1113
2003-12-01   1456
2004-01-01    988
2004-02-01   1037
2004-03-01   1754
2004-04-01   1149
2004-05-01   1377
2004-06-01   1535
2004-07-01   1048
2004-08-01   1106
2004-09-01   1450
2004-10-01   1009
2004-11-01   1099
2004-12-01    991
2005-01-01   1014
2005-02-01    913
2005-03-01   1212
2005-04-01   1515
2005-05-01   1291
2005-06-01   1404
2005-07-01   1449
2005-08-01   1377
2005-09-01   1250
2005-10-01   1199
2005-11-01    900
2005-12-01   1162
2006-01-01   1874
2006-02-01   1259
2006-03-01   1654
2006-04-01   1655
2006-05-01   1715
2006-06-01   1986
2006-07-01    849
2006-08-01   1484
2006-09-01   1279
2006-10-01   1340
2006-11-01    852
2006-12-01   1206
2007-01-01   1015
2007-02-01   1118
2007-03-01   1931
2007-04-01   1623
2007-05-01   1372
2007-06-01   1219
2007-07-01   1365
2007-08-01   1534
2007-09-01   1642
2007-10-01   1248
2007-11-01    980
2007-12-01    638
2008-01-01    940
2008-02-01   1083
2008-03-01   1094
2008-04-01   1537
2008-05-01    708
2008-06-01    925
2008-07-01   2850
2008-08-01    781
2008-09-01    376
2008-10-01    648
2008-11-01    395
2008-12-01    201
2009-01-01    243
2009-02-01    273
2009-03-01    302
2009-04-01    302
2009-05-01    785
2009-06-01    464
2009-07-01    546
2009-08-01    414
2009-09-01    372
2009-10-01    461
2009-11-01    393
2009-12-01    374
2010-01-01    490
2010-02-01    429
2010-03-01    577
2010-04-01    399
2010-05-01    420
2010-06-01    748
2010-07-01    374
2010-08-01    554
2010-09-01    377
2010-10-01    294
2010-11-01    295
2010-12-01    248
2011-01-01    291
2011-02-01    360
2011-03-01    442
2011-04-01    658
2011-05-01    725
2011-06-01    749
2011-07-01    485
2011-08-01    504
2011-09-01    430
2011-10-01    307
2011-11-01    953
2011-12-01    444
2012-01-01    786
2012-02-01    565
2012-03-01    958
2012-04-01    702
2012-05-01    962
2012-06-01   1365
2012-07-01    650
2012-08-01   1100
2012-09-01    831
2012-10-01   2106
2012-11-01   1794
2012-12-01    933
2013-01-01    813
2013-02-01    559
2013-03-01   1251
2013-04-01    849
2013-05-01   1427
2013-06-01   1200
2013-07-01    776
2013-08-01    781
2013-09-01    774
2013-10-01   1056
2013-11-01    850
2013-12-01   1186
2014-01-01    960
2014-02-01    934
2014-03-01    665
2014-04-01    974
2014-05-01   1041
2014-06-01    932
2014-07-01   1053
2014-08-01   1391
2014-09-01    755
2014-10-01    838
2014-11-01   1090
2014-12-01   1088
2015-01-01   1166
2015-02-01    975
2015-03-01    837
2015-04-01   1286
2015-05-01   1022
2015-06-01   1271
2015-07-01   1194
2015-08-01    960
2015-09-01    702
2015-10-01    756
2015-11-01   1018
2015-12-01    673
2016-01-01    548
2016-02-01    741
2016-03-01    813
2016-04-01   1309
2016-05-01   1514
2016-06-01   1378
2016-07-01   1666
2016-08-01   1233
2016-09-01   1066
2016-10-01   1016
2016-11-01   1278
2016-12-01    723
2017-01-01   1245
2017-02-01   1317
2017-03-01   1308
2017-04-01    970
2017-05-01   1407
2017-06-01   1291
2017-07-01   1140
2017-08-01   1326
2017-09-01    842
2017-10-01    974
2017-11-01   1460
2017-12-01   1023
2018-01-01   1101
2018-02-01   1872
2018-03-01   1390
2018-04-01   1489
2018-05-01   1730
2018-06-01   1202
2018-07-01   1823
2018-08-01   2117
2018-09-01    848
2018-10-01    864
