Title:               All Employees: Total Nonfarm in Raleigh, NC (MSA)
Series ID:           RALE537NA
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:31 PM CST
Notes:               

DATE        VALUE
1990-01-01  294.2
1990-02-01  296.5
1990-03-01  296.8
1990-04-01  296.2
1990-05-01  295.8
1990-06-01  295.8
1990-07-01  298.0
1990-08-01  297.0
1990-09-01  297.2
1990-10-01  296.6
1990-11-01  296.6
1990-12-01  295.9
1991-01-01  295.4
1991-02-01  294.5
1991-03-01  294.4
1991-04-01  294.6
1991-05-01  295.3
1991-06-01  296.4
1991-07-01  296.8
1991-08-01  296.8
1991-09-01  298.0
1991-10-01  297.1
1991-11-01  297.6
1991-12-01  298.5
1992-01-01  301.1
1992-02-01  301.8
1992-03-01  302.7
1992-04-01  303.4
1992-05-01  304.5
1992-06-01  305.9
1992-07-01  306.1
1992-08-01  306.9
1992-09-01  308.6
1992-10-01  310.5
1992-11-01  311.1
1992-12-01  312.2
1993-01-01  314.2
1993-02-01  316.5
1993-03-01  316.8
1993-04-01  318.6
1993-05-01  320.7
1993-06-01  321.3
1993-07-01  323.5
1993-08-01  324.8
1993-09-01  325.6
1993-10-01  325.8
1993-11-01  328.3
1993-12-01  330.1
1994-01-01  331.1
1994-02-01  331.7
1994-03-01  333.8
1994-04-01  335.7
1994-05-01  336.1
1994-06-01  337.5
1994-07-01  338.8
1994-08-01  340.4
1994-09-01  342.0
1994-10-01  344.2
1994-11-01  346.8
1994-12-01  348.1
1995-01-01  348.2
1995-02-01  349.0
1995-03-01  350.3
1995-04-01  350.9
1995-05-01  351.9
1995-06-01  353.9
1995-07-01  354.6
1995-08-01  355.9
1995-09-01  357.9
1995-10-01  360.8
1995-11-01  362.2
1995-12-01  363.7
1996-01-01  364.5
1996-02-01  368.4
1996-03-01  370.7
1996-04-01  371.6
1996-05-01  373.3
1996-06-01  374.6
1996-07-01  376.9
1996-08-01  378.1
1996-09-01  376.0
1996-10-01  380.7
1996-11-01  382.3
1996-12-01  384.2
1997-01-01  386.5
1997-02-01  388.1
1997-03-01  389.0
1997-04-01  390.7
1997-05-01  393.0
1997-06-01  394.0
1997-07-01  397.0
1997-08-01  398.4
1997-09-01  399.9
1997-10-01  399.2
1997-11-01  402.3
1997-12-01  402.5
1998-01-01  403.2
1998-02-01  405.0
1998-03-01  404.8
1998-04-01  407.4
1998-05-01  408.8
1998-06-01  410.4
1998-07-01  412.0
1998-08-01  414.4
1998-09-01  415.5
1998-10-01  416.3
1998-11-01  417.6
1998-12-01  419.0
1999-01-01  419.2
1999-02-01  420.8
1999-03-01  423.0
1999-04-01  426.2
1999-05-01  426.2
1999-06-01  428.0
1999-07-01  427.6
1999-08-01  428.7
1999-09-01  429.2
1999-10-01  430.3
1999-11-01  431.1
1999-12-01  433.2
2000-01-01  434.7
