Title:               Economic Conditions Index for Raleigh, NC (MSA)
Series ID:           RCYAGRIDX
Source:              Federal Reserve Bank of St. Louis
Release:             Metro Area Economic Conditions Indexes (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Monthly
Units:               Percent
Date Range:          1990-02-01 to 2018-09-01
Last Updated:        2019-01-08 5:41 PM CST
Notes:               The economic activity index measures average economic growth in the
                     metropolitan area. It is computed using a dynamic factor model that
                     includes 12 variables measuring various aspects of economic activity
                     in the MSA. The index is calibrated to Gross Metropolitan Product
                     (GMP) growth and variance to allow for comparison across metro areas.
                     
                     For additional details, see Arias, M.A., C.S. Gascon and D.E. Rapach
                     (2016), “Metro Business Cycles,” Journal of Urban Economics 94,
                     90-108,
                     http://www.sciencedirect.com/science/article/pii/S009411901630016X.
                     Federal Reserve Bank of St. Louis Working Paper 2014-046C,
                     https://research.stlouisfed.org/wp/more/2014-046.

DATE        VALUE
1990-02-01   2.17
1990-03-01   1.44
1990-04-01   0.26
1990-05-01   0.51
1990-06-01   0.95
1990-07-01   0.88
1990-08-01   0.61
1990-09-01   0.48
1990-10-01   0.49
1990-11-01   0.29
1990-12-01  -0.07
1991-01-01  -0.11
1991-02-01   0.07
1991-03-01   0.36
1991-04-01   0.97
1991-05-01   1.49
1991-06-01   1.95
1991-07-01   2.44
1991-08-01   2.59
1991-09-01   2.71
1991-10-01   2.72
1991-11-01   3.03
1991-12-01   3.60
1992-01-01   4.39
1992-02-01   4.08
1992-03-01   4.14
1992-04-01   3.96
1992-05-01   4.14
1992-06-01   4.32
1992-07-01   4.44
1992-08-01   4.80
1992-09-01   5.22
1992-10-01   5.21
1992-11-01   4.85
1992-12-01   5.65
1993-01-01   6.15
1993-02-01   6.41
1993-03-01   6.34
1993-04-01   6.59
1993-05-01   6.27
1993-06-01   6.01
1993-07-01   6.13
1993-08-01   5.77
1993-09-01   5.38
1993-10-01   5.28
1993-11-01   5.62
1993-12-01   5.63
1994-01-01   5.28
1994-02-01   5.11
1994-03-01   5.55
1994-04-01   5.15
1994-05-01   4.84
1994-06-01   5.11
1994-07-01   5.08
1994-08-01   5.44
1994-09-01   5.83
1994-10-01   6.06
1994-11-01   5.99
1994-12-01   5.52
1995-01-01   5.04
1995-02-01   4.68
1995-03-01   4.38
1995-04-01   4.20
1995-05-01   4.67
1995-06-01   4.95
1995-07-01   5.09
1995-08-01   5.30
1995-09-01   5.43
1995-10-01   5.59
1995-11-01   5.57
1995-12-01   5.56
1996-01-01   5.77
1996-02-01   7.01
1996-03-01   6.51
1996-04-01   6.07
1996-05-01   5.84
1996-06-01   5.51
1996-07-01   5.05
1996-08-01   4.84
1996-09-01   4.46
1996-10-01   5.32
1996-11-01   5.70
1996-12-01   5.85
1997-01-01   5.90
1997-02-01   5.85
1997-03-01   5.57
1997-04-01   5.47
1997-05-01   5.59
1997-06-01   5.37
1997-07-01   5.66
1997-08-01   5.33
1997-09-01   4.96
1997-10-01   4.45
1997-11-01   4.52
1997-12-01   4.45
1998-01-01   4.55
1998-02-01   4.79
1998-03-01   5.14
1998-04-01   5.79
1998-05-01   5.38
1998-06-01   5.20
1998-07-01   5.08
1998-08-01   4.95
1998-09-01   4.72
1998-10-01   4.60
1998-11-01   4.76
1998-12-01   4.96
1999-01-01   5.18
1999-02-01   5.02
1999-03-01   5.19
1999-04-01   4.85
1999-05-01   4.17
1999-06-01   3.71
1999-07-01   2.99
1999-08-01   2.90
1999-09-01   2.92
1999-10-01   2.82
1999-11-01   3.19
1999-12-01   3.32
2000-01-01   3.37
2000-02-01   3.33
2000-03-01   3.80
2000-04-01   3.71
2000-05-01   3.08
2000-06-01   3.13
2000-07-01   2.88
2000-08-01   2.94
2000-09-01   3.09
2000-10-01   2.73
2000-11-01   2.67
2000-12-01   2.38
2001-01-01   2.08
2001-02-01   1.48
2001-03-01   0.62
2001-04-01  -0.15
2001-05-01  -0.77
2001-06-01  -1.56
2001-07-01  -2.48
2001-08-01  -2.84
2001-09-01  -2.61
2001-10-01  -2.34
2001-11-01  -2.03
2001-12-01  -1.54
2002-01-01  -0.80
2002-02-01  -0.07
2002-03-01   0.27
2002-04-01   1.02
2002-05-01   1.47
2002-06-01   1.59
2002-07-01   2.16
2002-08-01   2.39
2002-09-01   2.36
2002-10-01   1.89
2002-11-01   1.52
2002-12-01   1.39
2003-01-01   1.28
2003-02-01   1.48
2003-03-01   1.50
2003-04-01   1.72
2003-05-01   2.08
2003-06-01   2.04
2003-07-01   2.43
2003-08-01   3.31
2003-09-01   3.72
2003-10-01   4.51
2003-11-01   4.61
2003-12-01   4.85
2004-01-01   4.82
2004-02-01   4.40
2004-03-01   4.15
2004-04-01   3.98
2004-05-01   4.05
2004-06-01   4.25
2004-07-01   4.90
