Title:               All Employees: Total Private in North Carolina
Series ID:           SMS37000000500000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:03 PM CST
Notes:               This series is seasonally adjusted by the U.S. Bureau of Labor
                     Statistics.

DATE         VALUE
1990-01-01  2634.8
1990-02-01  2643.4
1990-03-01  2645.4
1990-04-01  2642.9
1990-05-01  2632.3
1990-06-01  2629.6
1990-07-01  2622.7
1990-08-01  2618.2
1990-09-01  2619.0
1990-10-01  2603.1
1990-11-01  2603.9
1990-12-01  2596.8
1991-01-01  2588.3
1991-02-01  2572.5
1991-03-01  2561.5
1991-04-01  2561.6
1991-05-01  2558.9
1991-06-01  2555.3
1991-07-01  2558.4
1991-08-01  2563.5
1991-09-01  2568.3
1991-10-01  2575.0
1991-11-01  2572.7
1991-12-01  2572.8
1992-01-01  2586.9
1992-02-01  2588.0
1992-03-01  2593.5
1992-04-01  2599.3
1992-05-01  2610.3
1992-06-01  2616.7
1992-07-01  2625.2
1992-08-01  2632.5
1992-09-01  2636.6
1992-10-01  2641.7
1992-11-01  2642.7
1992-12-01  2651.2
1993-01-01  2661.4
1993-02-01  2674.6
1993-03-01  2670.6
1993-04-01  2689.6
1993-05-01  2696.3
1993-06-01  2703.0
1993-07-01  2714.7
1993-08-01  2719.8
1993-09-01  2725.7
1993-10-01  2734.1
1993-11-01  2745.8
1993-12-01  2755.4
1994-01-01  2758.4
1994-02-01  2764.0
1994-03-01  2776.1
1994-04-01  2784.6
1994-05-01  2790.1
1994-06-01  2801.5
1994-07-01  2811.8
1994-08-01  2819.6
1994-09-01  2832.3
1994-10-01  2834.3
1994-11-01  2844.3
1994-12-01  2852.2
1995-01-01  2866.1
1995-02-01  2866.6
1995-03-01  2874.5
1995-04-01  2877.7
1995-05-01  2882.3
1995-06-01  2887.4
1995-07-01  2890.1
1995-08-01  2898.3
1995-09-01  2908.8
1995-10-01  2916.5
1995-11-01  2921.5
1995-12-01  2928.5
1996-01-01  2912.9
1996-02-01  2933.5
1996-03-01  2941.6
1996-04-01  2946.2
1996-05-01  2959.5
1996-06-01  2966.7
1996-07-01  2967.6
1996-08-01  2976.6
1996-09-01  2975.7
1996-10-01  2991.6
1996-11-01  3002.3
1996-12-01  3013.4
1997-01-01  3022.9
1997-02-01  3030.6
1997-03-01  3040.3
1997-04-01  3048.0
1997-05-01  3055.2
1997-06-01  3056.9
1997-07-01  3066.9
1997-08-01  3070.5
1997-09-01  3091.7
1997-10-01  3096.4
1997-11-01  3107.9
1997-12-01  3113.3
1998-01-01  3114.0
1998-02-01  3118.5
1998-03-01  3123.5
1998-04-01  3133.5
1998-05-01  3145.5
1998-06-01  3155.7
1998-07-01  3154.1
1998-08-01  3170.3
1998-09-01  3174.0
1998-10-01  3177.9
1998-11-01  3189.5
1998-12-01  3194.0
1999-01-01  3203.3
1999-02-01  3213.9
1999-03-01  3214.7
1999-04-01  3223.1
1999-05-01  3221.3
1999-06-01  3220.8
1999-07-01  3234.0
1999-08-01  3235.1
1999-09-01  3238.6
1999-10-01  3259.9
1999-11-01  3264.6
1999-12-01  3271.8
2000-01-01  3266.0
2000-02-01  3268.9
2000-03-01  3279.4
2000-04-01  3279.9
2000-05-01  3282.5
2000-06-01  3287.2
2000-07-01  3291.9
2000-08-01  3286.7
2000-09-01  3292.4
2000-10-01  3283.2
2000-11-01  3287.7
2000-12-01  3282.0
2001-01-01  3301.0
2001-02-01  3298.2
2001-03-01  3288.6
2001-04-01  3274.2
2001-05-01  3265.2
2001-06-01  3255.7
2001-07-01  3240.8
2001-08-01  3231.3
2001-09-01  3217.7
2001-10-01  3205.9
2001-11-01  3192.5
2001-12-01  3182.7
2002-01-01  3189.1
2002-02-01  3189.1
2002-03-01  3189.5
2002-04-01  3195.4
2002-05-01  3189.2
2002-06-01  3185.9
2002-07-01  3186.3
2002-08-01  3185.9
2002-09-01  3181.4
2002-10-01  3177.4
2002-11-01  3173.1
2002-12-01  3167.1
2003-01-01  3156.7
2003-02-01  3150.5
2003-03-01  3143.7
2003-04-01  3144.5
2003-05-01  3141.2
2003-06-01  3139.1
2003-07-01  3117.6
2003-08-01  3120.1
2003-09-01  3122.7
2003-10-01  3127.5
2003-11-01  3129.0
2003-12-01  3132.6
2004-01-01  3133.1
2004-02-01  3137.1
2004-03-01  3143.5
2004-04-01  3154.0
2004-05-01  3165.1
2004-06-01  3170.5
2004-07-01  3179.2
2004-08-01  3186.9
2004-09-01  3191.4
2004-10-01  3192.9
2004-11-01  3195.9
2004-12-01  3205.8
2005-01-01  3212.9
2005-02-01  3219.9
2005-03-01  3220.8
2005-04-01  3225.2
2005-05-01  3224.5
2005-06-01  3225.7
2005-07-01  3241.2
2005-08-01  3244.6
2005-09-01  3256.8
2005-10-01  3259.6
2005-11-01  3266.1
2005-12-01  3270.9
2006-01-01  3291.2
2006-02-01  3294.4
2006-03-01  3303.0
2006-04-01  3330.8
2006-05-01  3334.5
2006-06-01  3340.5
2006-07-01  3361.6
2006-08-01  3364.3
2006-09-01  3369.6
2006-10-01  3384.1
2006-11-01  3393.7
2006-12-01  3401.2
2007-01-01  3410.8
2007-02-01  3419.7
2007-03-01  3431.4
2007-04-01  3426.9
2007-05-01  3433.9
2007-06-01  3446.7
2007-07-01  3437.1
2007-08-01  3437.6
2007-09-01  3437.5
2007-10-01  3445.8
2007-11-01  3449.8
2007-12-01  3455.6
2008-01-01  3457.5
2008-02-01  3461.8
2008-03-01  3454.9
2008-04-01  3439.3
2008-05-01  3431.0
2008-06-01  3422.0
2008-07-01  3413.0
2008-08-01  3403.4
2008-09-01  3389.9
2008-10-01  3365.9
2008-11-01  3341.9
2008-12-01  3319.9
2009-01-01  3270.4
2009-02-01  3253.3
2009-03-01  3219.5
2009-04-01  3187.2
2009-05-01  3183.0
2009-06-01  3168.5
2009-07-01  3154.3
2009-08-01  3147.7
2009-09-01  3141.4
2009-10-01  3134.7
2009-11-01  3136.1
2009-12-01  3128.2
2010-01-01  3125.5
2010-02-01  3122.4
2010-03-01  3130.7
2010-04-01  3136.5
2010-05-01  3139.2
2010-06-01  3142.1
2010-07-01  3151.3
2010-08-01  3153.7
2010-09-01  3152.5
2010-10-01  3169.3
2010-11-01  3171.5
2010-12-01  3174.1
2011-01-01  3168.9
2011-02-01  3184.9
2011-03-01  3188.9
2011-04-01  3194.9
2011-05-01  3194.7
2011-06-01  3198.3
2011-07-01  3205.7
2011-08-01  3210.1
2011-09-01  3214.4
2011-10-01  3216.7
2011-11-01  3223.3
2011-12-01  3233.0
2012-01-01  3247.5
2012-02-01  3250.9
2012-03-01  3259.4
2012-04-01  3262.8
2012-05-01  3267.1
2012-06-01  3269.2
2012-07-01  3273.2
2012-08-01  3276.2
2012-09-01  3282.8
2012-10-01  3288.0
2012-11-01  3294.7
