Title:               All Employees: Health Care and Social Assistance in North Carolina
Series ID:           SMS37000006562000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:15 PM CST
Notes:               This series is seasonally adjusted by the U.S. Bureau of Labor
                     Statistics.

DATE        VALUE
1990-01-01  204.0
1990-02-01  205.7
1990-03-01  206.9
1990-04-01  207.9
1990-05-01  208.8
1990-06-01  209.8
1990-07-01  211.1
1990-08-01  213.1
1990-09-01  213.7
1990-10-01  214.1
1990-11-01  215.6
1990-12-01  216.6
1991-01-01  218.6
1991-02-01  218.7
1991-03-01  219.4
1991-04-01  220.2
1991-05-01  221.1
1991-06-01  222.0
1991-07-01  223.0
1991-08-01  224.4
1991-09-01  226.4
1991-10-01  226.8
1991-11-01  228.1
1991-12-01  229.3
1992-01-01  231.6
1992-02-01  232.4
1992-03-01  233.8
1992-04-01  234.0
1992-05-01  236.3
1992-06-01  237.9
1992-07-01  239.6
1992-08-01  240.7
1992-09-01  241.7
1992-10-01  243.3
1992-11-01  244.2
1992-12-01  245.7
1993-01-01  247.2
1993-02-01  248.4
1993-03-01  249.4
1993-04-01  250.6
1993-05-01  251.4
1993-06-01  252.4
1993-07-01  253.5
1993-08-01  254.3
1993-09-01  255.3
1993-10-01  256.1
1993-11-01  256.8
1993-12-01  257.8
1994-01-01  257.5
1994-02-01  257.7
1994-03-01  259.2
1994-04-01  261.1
1994-05-01  262.1
1994-06-01  263.4
1994-07-01  264.4
1994-08-01  265.3
1994-09-01  266.9
1994-10-01  267.4
1994-11-01  268.9
1994-12-01  270.2
1995-01-01  271.0
1995-02-01  272.0
1995-03-01  273.4
1995-04-01  273.9
1995-05-01  275.3
1995-06-01  277.2
1995-07-01  277.1
1995-08-01  278.0
1995-09-01  279.3
1995-10-01  280.9
1995-11-01  282.2
1995-12-01  283.8
1996-01-01  283.3
1996-02-01  284.5
1996-03-01  287.0
1996-04-01  287.0
1996-05-01  288.7
1996-06-01  289.7
1996-07-01  290.6
1996-08-01  292.0
1996-09-01  292.4
1996-10-01  294.2
1996-11-01  295.8
1996-12-01  297.5
1997-01-01  299.8
1997-02-01  301.7
1997-03-01  303.2
1997-04-01  304.8
1997-05-01  305.9
1997-06-01  307.3
1997-07-01  308.2
1997-08-01  308.5
1997-09-01  311.2
1997-10-01  312.2
1997-11-01  312.9
1997-12-01  314.1
1998-01-01  315.1
1998-02-01  315.7
1998-03-01  316.1
1998-04-01  316.1
1998-05-01  317.8
1998-06-01  317.7
1998-07-01  318.0
1998-08-01  319.5
1998-09-01  320.2
1998-10-01  320.9
1998-11-01  322.0
1998-12-01  322.4
1999-01-01  323.8
1999-02-01  325.5
1999-03-01  325.6
1999-04-01  327.4
1999-05-01  327.5
1999-06-01  328.4
1999-07-01  329.3
