Title:               All Employees: Local Government in North Carolina
Series ID:           SMS37000009093000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:03 PM CST
Notes:               This series is seasonally adjusted by the U.S. Bureau of Labor
                     Statistics.

DATE        VALUE
1990-01-01  284.6
1990-02-01  285.5
1990-03-01  286.6
1990-04-01  287.6
1990-05-01  289.6
1990-06-01  290.5
1990-07-01  296.4
1990-08-01  291.5
1990-09-01  292.7
1990-10-01  292.0
1990-11-01  293.8
1990-12-01  294.5
1991-01-01  296.3
1991-02-01  296.9
1991-03-01  297.6
1991-04-01  297.9
1991-05-01  296.9
1991-06-01  296.1
1991-07-01  303.0
1991-08-01  298.9
1991-09-01  297.9
1991-10-01  299.0
1991-11-01  298.0
1991-12-01  298.8
1992-01-01  300.8
1992-02-01  301.5
1992-03-01  301.8
1992-04-01  303.0
1992-05-01  305.9
1992-06-01  307.7
1992-07-01  299.4
1992-08-01  300.8
1992-09-01  302.9
1992-10-01  305.8
1992-11-01  310.8
1992-12-01  309.0
1993-01-01  307.3
1993-02-01  307.9
1993-03-01  308.9
1993-04-01  309.6
1993-05-01  308.8
1993-06-01  312.0
1993-07-01  315.6
1993-08-01  311.8
1993-09-01  314.1
1993-10-01  314.3
1993-11-01  314.8
1993-12-01  314.5
1994-01-01  315.2
1994-02-01  315.9
1994-03-01  316.4
1994-04-01  317.2
1994-05-01  319.5
1994-06-01  323.0
1994-07-01  320.0
1994-08-01  312.1
1994-09-01  320.8
1994-10-01  322.0
1994-11-01  324.1
1994-12-01  323.8
1995-01-01  324.4
1995-02-01  324.9
1995-03-01  325.4
1995-04-01  325.6
1995-05-01  324.5
1995-06-01  330.6
1995-07-01  330.9
1995-08-01  318.3
1995-09-01  327.3
1995-10-01  328.6
1995-11-01  328.0
1995-12-01  329.5
1996-01-01  329.3
1996-02-01  329.3
1996-03-01  330.8
1996-04-01  332.2
1996-05-01  333.6
1996-06-01  341.0
1996-07-01  333.1
1996-08-01  326.6
1996-09-01  335.9
1996-10-01  335.9
1996-11-01  338.7
1996-12-01  339.1
1997-01-01  339.4
1997-02-01  340.1
1997-03-01  341.1
1997-04-01  342.6
1997-05-01  344.1
1997-06-01  352.3
1997-07-01  345.6
1997-08-01  343.5
1997-09-01  346.0
1997-10-01  348.3
1997-11-01  348.4
1997-12-01  349.8
1998-01-01  351.6
1998-02-01  353.0
1998-03-01  353.7
1998-04-01  355.7
1998-05-01  356.6
1998-06-01  360.3
1998-07-01  358.9
1998-08-01  362.0
1998-09-01  363.4
1998-10-01  363.5
1998-11-01  362.5
1998-12-01  362.8
1999-01-01  363.4
1999-02-01  365.5
1999-03-01  365.9
1999-04-01  363.6
1999-05-01  364.2
1999-06-01  362.6
1999-07-01  366.3
1999-08-01  375.9
1999-09-01  368.6
1999-10-01  366.9
1999-11-01  368.4
1999-12-01  369.8
2000-01-01  368.1
2000-02-01  367.4
2000-03-01  369.3
2000-04-01  372.8
2000-05-01  373.8
2000-06-01  374.3
2000-07-01  377.5
2000-08-01  383.4
2000-09-01  378.6
2000-10-01  376.5
2000-11-01  376.7
2000-12-01  378.1
2001-01-01  381.5
2001-02-01  382.0
2001-03-01  382.1
2001-04-01  381.6
2001-05-01  382.7
2001-06-01  379.0
2001-07-01  389.6
2001-08-01  391.0
2001-09-01  388.6
2001-10-01  392.5
2001-11-01  394.3
2001-12-01  392.3
2002-01-01  391.6
2002-02-01  392.6
2002-03-01  392.3
2002-04-01  392.9
2002-05-01  393.9
2002-06-01  388.4
2002-07-01  398.4
2002-08-01  395.7
2002-09-01  392.6
2002-10-01  399.0
2002-11-01  395.7
2002-12-01  394.8
2003-01-01  394.1
2003-02-01  394.6
2003-03-01  395.3
2003-04-01  396.6
2003-05-01  397.9
2003-06-01  396.0
2003-07-01  398.8
2003-08-01  396.9
2003-09-01  397.8
2003-10-01  409.5
2003-11-01  400.4
2003-12-01  401.9
2004-01-01  401.5
2004-02-01  400.3
2004-03-01  400.7
2004-04-01  399.6
2004-05-01  399.6
2004-06-01  398.8
2004-07-01  403.0
2004-08-01  404.8
2004-09-01  411.3
2004-10-01  406.9
2004-11-01  406.4
2004-12-01  407.3
2005-01-01  407.2
2005-02-01  408.0
2005-03-01  408.3
2005-04-01  410.2
2005-05-01  409.6
2005-06-01  404.6
2005-07-01  406.1
2005-08-01  410.7
2005-09-01  414.3
2005-10-01  414.6
2005-11-01  415.0
2005-12-01  414.9
2006-01-01  417.6
2006-02-01  418.0
2006-03-01  418.8
2006-04-01  420.3
2006-05-01  421.4
2006-06-01  421.2
2006-07-01  420.7
2006-08-01  421.9
2006-09-01  421.8
2006-10-01  424.0
2006-11-01  430.7
2006-12-01  430.5
2007-01-01  428.6
2007-02-01  429.1
2007-03-01  430.2
2007-04-01  429.6
2007-05-01  431.0
2007-06-01  431.7
2007-07-01  432.5
2007-08-01  438.1
2007-09-01  436.8
2007-10-01  433.4
2007-11-01  436.9
2007-12-01  437.5
2008-01-01  438.7
2008-02-01  440.0
2008-03-01  440.2
2008-04-01  441.8
2008-05-01  443.7
2008-06-01  446.5
2008-07-01  446.4
2008-08-01  448.4
2008-09-01  455.0
2008-10-01  447.9
2008-11-01  448.2
2008-12-01  448.7
2009-01-01  449.1
2009-02-01  448.7
2009-03-01  449.5
2009-04-01  448.8
2009-05-01  447.6
2009-06-01  448.6
2009-07-01  447.8
2009-08-01  448.3
2009-09-01  452.0
2009-10-01  440.2
2009-11-01  439.8
2009-12-01  440.5
2010-01-01  441.3
2010-02-01  441.3
2010-03-01  442.1
2010-04-01  442.9
2010-05-01  444.5
2010-06-01  443.6
2010-07-01  435.2
2010-08-01  435.6
2010-09-01  435.5
2010-10-01  437.6
2010-11-01  437.6
2010-12-01  437.3
2011-01-01  436.4
2011-02-01  436.6
2011-03-01  436.0
2011-04-01  436.5
2011-05-01  435.8
2011-06-01  441.9
2011-07-01  437.3
2011-08-01  436.4
2011-09-01  434.4
2011-10-01  430.7
2011-11-01  432.5
2011-12-01  433.0
2012-01-01  434.2
2012-02-01  434.6
2012-03-01  434.6
2012-04-01  434.8
2012-05-01  438.4
2012-06-01  426.4
2012-07-01  428.2
2012-08-01  435.4
2012-09-01  436.5
2012-10-01  438.3
2012-11-01  440.4
2012-12-01  439.5
2013-01-01  440.6
2013-02-01  439.7
2013-03-01  440.2
2013-04-01  438.5
2013-05-01  437.8
2013-06-01  427.3
2013-07-01  430.0
2013-08-01  434.4
2013-09-01  437.0
2013-10-01  441.1
2013-11-01  439.1
2013-12-01  440.3
2014-01-01  439.7
2014-02-01  438.6
2014-03-01  438.1
2014-04-01  441.3
2014-05-01  442.3
2014-06-01  436.9
2014-07-01  434.7
2014-08-01  433.8
2014-09-01  435.6
2014-10-01  437.2
2014-11-01  438.9
2014-12-01  437.9
2015-01-01  442.4
2015-02-01  443.1
2015-03-01  441.9
2015-04-01  443.8
2015-05-01  444.2
2015-06-01  443.7
2015-07-01  445.2
2015-08-01  444.2
2015-09-01  442.2
2015-10-01  442.8
2015-11-01  442.7
2015-12-01  445.8
2016-01-01  443.1
2016-02-01  444.8
2016-03-01  448.4
2016-04-01  445.7
2016-05-01  446.4
2016-06-01  449.7
2016-07-01  451.0
2016-08-01  448.8
2016-09-01  450.4
2016-10-01  448.2
2016-11-01  449.3
2016-12-01  448.5
2017-01-01  448.6
2017-02-01  449.2
2017-03-01  450.0
2017-04-01  450.1
2017-05-01  449.9
2017-06-01  450.6
2017-07-01  454.3
2017-08-01  452.6
2017-09-01  454.6
2017-10-01  452.1
2017-11-01  452.7
2017-12-01  453.0
2018-01-01  454.6
2018-02-01  455.4
2018-03-01  456.1
2018-04-01  456.3
2018-05-01  454.5
2018-06-01  455.2
2018-07-01  458.2
2018-08-01  457.4
2018-09-01  457.7
2018-10-01  455.8
