Title:               All Employees: Total Nonfarm in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           SMS37167400000000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-02-01
Last Updated:        2018-03-23 4:24 PM CDT
Notes:               

DATE         VALUE
1990-01-01   685.0
1990-02-01   689.6
1990-03-01   690.7
1990-04-01   690.2
1990-05-01   689.5
1990-06-01   689.3
1990-07-01   684.5
1990-08-01   682.8
1990-09-01   684.1
1990-10-01   680.3
1990-11-01   680.2
1990-12-01   678.9
1991-01-01   678.6
1991-02-01   676.2
1991-03-01   675.0
1991-04-01   675.1
1991-05-01   674.5
1991-06-01   672.9
1991-07-01   675.1
1991-08-01   676.8
1991-09-01   677.3
1991-10-01   676.4
1991-11-01   675.2
1991-12-01   675.4
1992-01-01   678.3
1992-02-01   679.4
1992-03-01   681.4
1992-04-01   682.3
1992-05-01   684.1
1992-06-01   683.8
1992-07-01   688.4
1992-08-01   690.2
1992-09-01   689.8
1992-10-01   695.5
1992-11-01   698.0
1992-12-01   699.7
1993-01-01   700.9
1993-02-01   703.2
1993-03-01   704.5
1993-04-01   708.3
1993-05-01   710.9
1993-06-01   714.4
1993-07-01   717.1
1993-08-01   718.8
1993-09-01   719.7
1993-10-01   727.9
1993-11-01   731.9
1993-12-01   735.4
1994-01-01   736.4
1994-02-01   737.9
1994-03-01   741.0
1994-04-01   742.7
1994-05-01   741.9
1994-06-01   746.4
1994-07-01   752.0
1994-08-01   754.9
1994-09-01   756.5
1994-10-01   756.8
1994-11-01   759.0
1994-12-01   762.3
1995-01-01   768.1
1995-02-01   767.7
1995-03-01   769.5
1995-04-01   772.7
1995-05-01   776.2
1995-06-01   777.8
1995-07-01   775.6
1995-08-01   777.4
1995-09-01   779.7
1995-10-01   781.9
1995-11-01   784.3
1995-12-01   786.0
1996-01-01   787.7
1996-02-01   791.7
1996-03-01   794.0
1996-04-01   795.2
1996-05-01   796.8
1996-06-01   799.4
1996-07-01   800.5
1996-08-01   802.9
1996-09-01   806.6
1996-10-01   811.1
1996-11-01   815.8
1996-12-01   818.7
1997-01-01   817.8
1997-02-01   819.8
1997-03-01   823.3
1997-04-01   824.5
1997-05-01   826.2
1997-06-01   827.3
1997-07-01   830.3
1997-08-01   833.3
1997-09-01   836.8
1997-10-01   834.2
1997-11-01   839.4
1997-12-01   841.8
1998-01-01   847.7
1998-02-01   850.5
1998-03-01   850.9
1998-04-01   858.5
1998-05-01   863.1
1998-06-01   867.2
1998-07-01   878.7
1998-08-01   880.5
1998-09-01   880.6
1998-10-01   877.1
1998-11-01   880.6
1998-12-01   880.8
1999-01-01   886.7
1999-02-01   894.1
1999-03-01   892.9
1999-04-01   891.7
1999-05-01   892.9
1999-06-01   893.4
1999-07-01   906.8
1999-08-01   909.2
1999-09-01   910.7
1999-10-01   913.5
1999-11-01   916.3
1999-12-01   920.5
2000-01-01   922.0
2000-02-01   920.7
2000-03-01   924.9
2000-04-01   928.6
2000-05-01   930.8
2000-06-01   934.7
2000-07-01   934.4
2000-08-01   931.6
2000-09-01   932.6
2000-10-01   934.4
2000-11-01   934.5
2000-12-01   934.1
2001-01-01   933.3
2001-02-01   932.8
2001-03-01   929.6
2001-04-01   929.9
2001-05-01   927.1
2001-06-01   925.1
2001-07-01   924.5
2001-08-01   924.6
2001-09-01   921.7
2001-10-01   920.6
2001-11-01   919.0
2001-12-01   916.4
2002-01-01   916.6
2002-02-01   918.7
2002-03-01   919.4
2002-04-01   918.0
2002-05-01   916.8
2002-06-01   919.9
2002-07-01   921.9
2002-08-01   922.4
2002-09-01   921.6
2002-10-01   919.2
2002-11-01   918.4
2002-12-01   917.5
2003-01-01   917.6
2003-02-01   916.4
2003-03-01   917.0
