Title:               All Employees: Total Nonfarm in North Carolina
Series ID:           SMU37000000000000001A
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1939-01-01 to 2017-01-01
Last Updated:        2018-03-12 2:58 PM CDT
Notes:               

DATE         VALUE
1939-01-01   622.7
1940-01-01   653.6
1941-01-01   736.3
1942-01-01   783.5
1943-01-01   812.6
1944-01-01   779.4
1945-01-01   759.3
1946-01-01   827.8
1947-01-01   879.6
1948-01-01   894.9
1949-01-01   868.3
1950-01-01   927.8
1951-01-01   987.3
1952-01-01  1006.4
1953-01-01  1023.7
1954-01-01  1011.9
1955-01-01  1059.4
1956-01-01  1099.2
1957-01-01  1101.4
1958-01-01  1108.8
1959-01-01  1163.7
1960-01-01  1195.5
1961-01-01  1209.1
1962-01-01  1258.5
1963-01-01  1298.6
1964-01-01  1353.7
1965-01-01  1431.2
1966-01-01  1534.3
1967-01-01  1600.9
1968-01-01  1678.6
1969-01-01  1747.0
1970-01-01  1782.8
1971-01-01  1813.5
1972-01-01  1912.0
1973-01-01  2018.1
1974-01-01  2048.2
1975-01-01  1979.8
1976-01-01  2082.8
1977-01-01  2170.6
1978-01-01  2277.5
1979-01-01  2373.0
1980-01-01  2380.1
1981-01-01  2391.6
1982-01-01  2347.0
1983-01-01  2419.3
1984-01-01  2565.2
1985-01-01  2651.2
1986-01-01  2744.1
1987-01-01  2862.6
1988-01-01  2986.6
1989-01-01  3073.9
1990-01-01  3123.8
1991-01-01  3076.9
1992-01-01  3140.9
1993-01-01  3242.7
1994-01-01  3351.7
1995-01-01  3451.0
1996-01-01  3535.0
1997-01-01  3651.0
1998-01-01  3756.2
1999-01-01  3845.5
2000-01-01  3911.3
2001-01-01  3889.4
2002-01-01  3833.7
2003-01-01  3785.0
2004-01-01  3831.2
2005-01-01  3909.2
2006-01-01  4034.4
2007-01-01  4138.7
2008-01-01  4129.2
2009-01-01  3901.9
2010-01-01  3867.7
2011-01-01  3915.2
2012-01-01  3985.4
2013-01-01  4056.6
2014-01-01  4139.6
2015-01-01  4240.4
2016-01-01  4341.0
2017-01-01  4414.9
