Title:               Average Weekly Earnings of All Employees: Total Private in North Carolina
Series ID:           SMU37000000500000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE         VALUE
2007-01-01  662.54
2007-02-01  668.39
2007-03-01  678.60
2007-04-01  679.00
2007-05-01  665.89
2007-06-01  667.25
2007-07-01  671.97
2007-08-01  656.47
2007-09-01  682.70
2007-10-01  665.01
2007-11-01  661.99
2007-12-01  678.25
2008-01-01  659.44
2008-02-01  660.03
2008-03-01  674.92
2008-04-01  687.72
2008-05-01  669.38
2008-06-01  690.08
2008-07-01  675.96
2008-08-01  678.87
2008-09-01  673.40
2008-10-01  702.08
2008-11-01  720.36
2008-12-01  707.26
2009-01-01  700.90
2009-02-01  704.14
2009-03-01  697.93
2009-04-01  692.50
2009-05-01  688.84
2009-06-01  691.55
2009-07-01  691.90
2009-08-01  695.98
2009-09-01  695.97
2009-10-01  701.10
2009-11-01  708.22
2009-12-01  698.98
2010-01-01  701.40
2010-02-01  705.18
2010-03-01  702.50
2010-04-01  704.78
2010-05-01  705.20
2010-06-01  696.98
2010-07-01  697.69
2010-08-01  706.56
2010-09-01  698.02
2010-10-01  703.48
2010-11-01  702.45
2010-12-01  704.52
2011-01-01  705.07
2011-02-01  707.58
2011-03-01  701.44
2011-04-01  711.05
2011-05-01  718.99
2011-06-01  706.58
2011-07-01  712.75
2011-08-01  710.68
2011-09-01  721.62
2011-10-01  739.75
2011-11-01  729.56
2011-12-01  734.44
2012-01-01  744.07
2012-02-01  741.91
2012-03-01  740.63
2012-04-01  755.42
2012-05-01  737.45
2012-06-01  745.45
2012-07-01  749.69
2012-08-01  739.51
2012-09-01  764.31
2012-10-01  744.42
2012-11-01  751.41
2012-12-01  769.08
2013-01-01  745.62
2013-02-01  751.64
2013-03-01  750.38
2013-04-01  744.07
2013-05-01  739.17
2013-06-01  756.28
2013-07-01  735.98
2013-08-01  744.25
2013-09-01  758.80
2013-10-01  741.32
2013-11-01  749.09
2013-12-01  758.20
2014-01-01  741.54
2014-02-01  747.92
2014-03-01  780.03
2014-04-01  754.81
2014-05-01  750.21
2014-06-01  764.19
2014-07-01  749.52
2014-08-01  754.89
2014-09-01  757.85
2014-10-01  753.24
2014-11-01  775.71
2014-12-01  757.15
2015-01-01  753.77
2015-02-01  771.08
2015-03-01  768.85
2015-04-01  758.18
2015-05-01  762.45
2015-06-01  760.04
2015-07-01  763.49
2015-08-01  788.90
2015-09-01  766.61
2015-10-01  777.81
2015-11-01  790.26
2015-12-01  779.50
2016-01-01  776.39
2016-02-01  783.48
2016-03-01  790.78
2016-04-01  797.13
2016-05-01  809.03
2016-06-01  801.52
2016-07-01  803.16
2016-08-01  806.68
2016-09-01  809.43
2016-10-01  824.86
2016-11-01  817.31
2016-12-01  810.17
2017-01-01  818.04
2017-02-01  824.91
2017-03-01  823.54
2017-04-01  844.25
2017-05-01  824.91
2017-06-01  824.82
2017-07-01  843.53
2017-08-01  824.57
2017-09-01  834.56
2017-10-01  854.00
2017-11-01  834.90
2017-12-01  835.23
2018-01-01  840.38
2018-02-01  860.50
2018-03-01  855.60
2018-04-01  881.41
2018-05-01  860.95
2018-06-01  859.60
2018-07-01  869.40
2018-08-01  860.60
2018-09-01  868.70
2018-10-01  871.92
