Title:               All Employees: Goods Producing in North Carolina
Series ID:           SMU37000000600000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE         VALUE
1990-01-01   997.9
1990-02-01  1005.3
1990-03-01  1007.4
1990-04-01  1005.5
1990-05-01  1005.0
1990-06-01  1011.0
1990-07-01  1000.9
1990-08-01  1004.8
1990-09-01   999.9
1990-10-01   986.8
1990-11-01   984.6
1990-12-01   975.6
1991-01-01   952.7
1991-02-01   946.3
1991-03-01   941.4
1991-04-01   939.7
1991-05-01   944.3
1991-06-01   949.5
1991-07-01   945.6
1991-08-01   956.3
1991-09-01   956.1
1991-10-01   953.0
1991-11-01   950.8
1991-12-01   948.5
1992-01-01   936.5
1992-02-01   935.9
1992-03-01   940.3
1992-04-01   946.5
1992-05-01   955.6
1992-06-01   966.4
1992-07-01   966.2
1992-08-01   974.2
1992-09-01   974.4
1992-10-01   972.4
1992-11-01   971.8
1992-12-01   974.5
1993-01-01   965.7
1993-02-01   970.6
1993-03-01   974.2
1993-04-01   977.8
1993-05-01   983.1
1993-06-01   994.5
1993-07-01   993.4
1993-08-01   995.4
1993-09-01   994.3
1993-10-01   990.4
1993-11-01   994.2
1993-12-01   994.4
1994-01-01   976.7
1994-02-01   979.4
1994-03-01   986.0
1994-04-01   987.1
1994-05-01   994.8
1994-06-01  1005.9
1994-07-01  1003.0
1994-08-01  1011.5
1994-09-01  1013.2
1994-10-01  1012.8
1994-11-01  1013.9
1994-12-01  1014.9
1995-01-01  1004.1
1995-02-01  1004.5
1995-03-01  1012.3
1995-04-01  1011.2
1995-05-01  1014.5
1995-06-01  1021.1
1995-07-01  1012.5
1995-08-01  1019.5
1995-09-01  1017.9
1995-10-01  1014.4
1995-11-01  1012.2
1995-12-01  1011.9
1996-01-01   988.1
1996-02-01   997.5
1996-03-01   999.8
1996-04-01  1000.2
1996-05-01  1009.1
1996-06-01  1018.4
1996-07-01  1004.1
1996-08-01  1011.6
1996-09-01  1010.6
1996-10-01  1013.4
1996-11-01  1014.3
1996-12-01  1014.4
1997-01-01   999.4
1997-02-01  1002.3
1997-03-01  1007.6
1997-04-01  1005.2
1997-05-01  1012.0
1997-06-01  1019.0
1997-07-01  1011.5
1997-08-01  1015.3
1997-09-01  1021.0
1997-10-01  1021.8
1997-11-01  1018.9
1997-12-01  1018.1
1998-01-01  1005.6
1998-02-01  1009.0
1998-03-01  1014.0
1998-04-01  1017.4
1998-05-01  1021.5
1998-06-01  1031.6
1998-07-01  1022.8
1998-08-01  1027.7
1998-09-01  1028.0
1998-10-01  1023.2
1998-11-01  1021.2
1998-12-01  1019.7
1999-01-01  1009.3
1999-02-01  1009.2
1999-03-01  1012.5
1999-04-01  1012.6
1999-05-01  1013.6
1999-06-01  1019.2
1999-07-01  1014.8
1999-08-01  1012.0
1999-09-01  1011.5
1999-10-01  1009.8
1999-11-01  1007.7
1999-12-01  1006.7
2000-01-01   989.4
2000-02-01   990.3
2000-03-01   998.7
2000-04-01   997.4
2000-05-01  1001.2
2000-06-01  1008.2
2000-07-01  1002.1
2000-08-01   998.8
2000-09-01  1001.5
2000-10-01   989.5
2000-11-01   991.6
2000-12-01   987.8
2001-01-01   972.9
2001-02-01   968.5
2001-03-01   965.4
2001-04-01   959.8
2001-05-01   953.4
2001-06-01   953.0
2001-07-01   938.3
2001-08-01   934.8
2001-09-01   927.3
2001-10-01   916.2
2001-11-01   905.6
2001-12-01   898.4
2002-01-01   879.4
2002-02-01   878.8
2002-03-01   879.3
2002-04-01   876.8
2002-05-01   877.6
2002-06-01   875.7
2002-07-01   870.2
2002-08-01   871.8
2002-09-01   866.5
2002-10-01   860.9
2002-11-01   855.0
2002-12-01   850.1
2003-01-01   834.6
2003-02-01   829.2
2003-03-01   830.0
2003-04-01   829.1
2003-05-01   828.9
2003-06-01   827.9
2003-07-01   810.4
2003-08-01   810.5
2003-09-01   808.0
2003-10-01   806.2
2003-11-01   802.4
2003-12-01   799.9
2004-01-01   787.7
2004-02-01   786.4
2004-03-01   792.9
2004-04-01   798.9
2004-05-01   803.3
2004-06-01   809.3
2004-07-01   810.6
2004-08-01   810.1
2004-09-01   809.3
2004-10-01   808.3
2004-11-01   806.8
2004-12-01   806.8
2005-01-01   794.6
2005-02-01   795.6
2005-03-01   798.5
2005-04-01   800.7
2005-05-01   803.8
2005-06-01   807.7
2005-07-01   805.9
2005-08-01   807.7
2005-09-01   808.2
2005-10-01   802.8
2005-11-01   802.6
2005-12-01   800.8
2006-01-01   789.2
2006-02-01   788.7
2006-03-01   793.6
2006-04-01   805.2
2006-05-01   807.8
2006-06-01   812.8
2006-07-01   813.0
2006-08-01   815.0
2006-09-01   812.8
2006-10-01   810.7
2006-11-01   808.9
2006-12-01   809.8
2007-01-01   797.6
2007-02-01   797.8
2007-03-01   801.5
2007-04-01   796.8
2007-05-01   799.6
2007-06-01   807.4
2007-07-01   801.9
2007-08-01   804.1
2007-09-01   802.5
2007-10-01   799.0
2007-11-01   797.5
2007-12-01   795.7
2008-01-01   776.2
2008-02-01   775.2
2008-03-01   775.0
2008-04-01   767.5
2008-05-01   768.3
2008-06-01   766.8
2008-07-01   762.7
2008-08-01   759.4
2008-09-01   755.0
2008-10-01   743.9
2008-11-01   732.4
2008-12-01   720.8
2009-01-01   685.1
2009-02-01   673.9
2009-03-01   662.2
2009-04-01   651.9
2009-05-01   646.9
2009-06-01   644.8
2009-07-01   639.3
2009-08-01   636.8
2009-09-01   634.5
2009-10-01   629.8
2009-11-01   625.5
2009-12-01   622.7
2010-01-01   606.3
2010-02-01   603.0
2010-03-01   608.0
2010-04-01   612.0
2010-05-01   614.6
2010-06-01   618.5
2010-07-01   620.8
2010-08-01   620.4
2010-09-01   620.4
2010-10-01   618.3
2010-11-01   616.0
2010-12-01   613.7
2011-01-01   597.4
2011-02-01   603.2
2011-03-01   608.0
2011-04-01   610.5
2011-05-01   614.6
2011-06-01   617.8
2011-07-01   618.6
2011-08-01   619.6
2011-09-01   619.0
2011-10-01   615.1
2011-11-01   614.0
2011-12-01   613.2
2012-01-01   605.5
2012-02-01   608.2
2012-03-01   613.6
2012-04-01   614.7
2012-05-01   618.5
2012-06-01   621.1
2012-07-01   621.6
2012-08-01   621.8
2012-09-01   622.3
2012-10-01   621.0
2012-11-01   621.3
2012-12-01   621.5
2013-01-01   609.8
2013-02-01   612.4
2013-03-01   615.5
2013-04-01   617.5
2013-05-01   621.2
2013-06-01   625.9
2013-07-01   626.2
2013-08-01   626.1
2013-09-01   627.0
2013-10-01   626.9
2013-11-01   627.0
2013-12-01   627.3
2014-01-01   616.7
2014-02-01   617.3
2014-03-01   624.0
2014-04-01   625.4
2014-05-01   630.7
2014-06-01   636.0
2014-07-01   638.0
2014-08-01   639.5
2014-09-01   641.2
2014-10-01   645.0
2014-11-01   645.7
2014-12-01   647.4
2015-01-01   639.3
2015-02-01   642.4
2015-03-01   645.8
2015-04-01   649.5
2015-05-01   655.2
2015-06-01   659.9
2015-07-01   661.4
2015-08-01   662.9
2015-09-01   662.8
2015-10-01   665.3
2015-11-01   664.7
2015-12-01   666.8
2016-01-01   659.1
2016-02-01   661.3
2016-03-01   664.1
2016-04-01   667.9
2016-05-01   669.4
2016-06-01   673.6
2016-07-01   676.3
2016-08-01   675.6
2016-09-01   675.4
2016-10-01   673.5
2016-11-01   676.2
2016-12-01   676.9
2017-01-01   667.1
2017-02-01   673.2
2017-03-01   674.9
2017-04-01   677.3
2017-05-01   680.3
2017-06-01   686.8
2017-07-01   686.7
2017-08-01   686.7
2017-09-01   685.6
2017-10-01   686.3
2017-11-01   688.3
2017-12-01   687.1
2018-01-01   679.3
2018-02-01   683.9
2018-03-01   686.6
2018-04-01   689.4
2018-05-01   698.9
2018-06-01   702.8
2018-07-01   703.5
2018-08-01   702.9
2018-09-01   702.7
2018-10-01   703.8
