Title:               Average Weekly Earnings of All Employees: Goods Producing in North Carolina
Series ID:           SMU37000000600000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE         VALUE
2007-01-01  728.50
2007-02-01  729.57
2007-03-01  756.80
2007-04-01  739.10
2007-05-01  745.55
2007-06-01  746.42
2007-07-01  748.85
2007-08-01  749.07
2007-09-01  756.38
2007-10-01  743.30
2007-11-01  739.04
2007-12-01  755.48
2008-01-01  731.81
2008-02-01  721.37
2008-03-01  744.74
2008-04-01  741.51
2008-05-01  728.13
2008-06-01  762.97
2008-07-01  715.47
2008-08-01  740.92
2008-09-01  721.29
2008-10-01  745.52
2008-11-01  746.88
2008-12-01  752.09
2009-01-01  741.00
2009-02-01  745.61
2009-03-01  748.13
2009-04-01  745.34
2009-05-01  756.20
2009-06-01  763.78
2009-07-01  767.42
2009-08-01  770.13
2009-09-01  767.75
2009-10-01  763.12
2009-11-01  767.31
2009-12-01  766.15
2010-01-01  781.70
2010-02-01  779.98
2010-03-01  777.37
2010-04-01  798.69
2010-05-01  799.20
2010-06-01  784.40
2010-07-01  792.23
2010-08-01  798.40
2010-09-01  783.66
2010-10-01  785.11
2010-11-01  790.77
2010-12-01  794.41
2011-01-01  790.27
2011-02-01  788.80
2011-03-01  785.57
2011-04-01  801.17
2011-05-01  809.17
2011-06-01  807.61
2011-07-01  804.76
2011-08-01  797.57
2011-09-01  808.74
2011-10-01  818.40
2011-11-01  822.85
2011-12-01  832.20
2012-01-01  823.06
2012-02-01  821.87
2012-03-01  828.92
2012-04-01  835.55
2012-05-01  816.80
2012-06-01  816.40
2012-07-01  818.14
2012-08-01  811.52
2012-09-01  832.60
2012-10-01  817.03
2012-11-01  836.40
2012-12-01  846.21
2013-01-01  829.76
2013-02-01  825.95
2013-03-01  836.30
2013-04-01  837.10
2013-05-01  831.92
2013-06-01  839.92
2013-07-01  831.02
2013-08-01  844.93
2013-09-01  853.21
2013-10-01  834.48
2013-11-01  852.72
2013-12-01  860.81
2014-01-01  834.40
2014-02-01  827.99
2014-03-01  891.10
2014-04-01  872.23
2014-05-01  870.24
2014-06-01  889.44
2014-07-01  878.62
2014-08-01  882.00
2014-09-01  888.70
2014-10-01  880.67
2014-11-01  896.33
2014-12-01  889.12
2015-01-01  866.71
2015-02-01  872.78
2015-03-01  882.17
2015-04-01  872.90
2015-05-01  883.24
2015-06-01  874.44
2015-07-01  869.53
2015-08-01  885.06
2015-09-01  863.23
2015-10-01  879.86
2015-11-01  878.85
2015-12-01  899.81
2016-01-01  863.66
2016-02-01  869.83
2016-03-01  892.70
2016-04-01  896.78
2016-05-01  900.86
2016-06-01  907.74
2016-07-01  896.21
2016-08-01  895.64
2016-09-01  893.67
2016-10-01  906.19
2016-11-01  909.56
2016-12-01  903.56
2017-01-01  881.79
2017-02-01  909.00
2017-03-01  915.21
2017-04-01  912.28
2017-05-01  930.65
2017-06-01  939.96
2017-07-01  942.73
2017-08-01  926.50
2017-09-01  939.39
2017-10-01  952.27
2017-11-01  946.97
2017-12-01  951.66
2018-01-01  930.61
2018-02-01  958.74
2018-03-01  948.40
2018-04-01  973.49
2018-05-01  957.17
2018-06-01  975.67
2018-07-01  961.66
2018-08-01  959.11
2018-09-01  906.94
2018-10-01  949.32
