Title:               All Employees: Service-Providing in North Carolina
Series ID:           SMU37000000700000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE         VALUE
1990-01-01  2076.2
1990-02-01  2089.1
1990-03-01  2109.5
1990-04-01  2121.8
1990-05-01  2140.1
1990-06-01  2151.9
1990-07-01  2097.1
1990-08-01  2113.9
1990-09-01  2143.0
1990-10-01  2147.2
1990-11-01  2158.2
1990-12-01  2152.6
1991-01-01  2088.6
1991-02-01  2091.0
1991-03-01  2103.4
1991-04-01  2117.9
1991-05-01  2134.2
1991-06-01  2141.7
1991-07-01  2094.7
1991-08-01  2118.1
1991-09-01  2147.0
1991-10-01  2165.7
1991-11-01  2169.3
1991-12-01  2167.3
1992-01-01  2118.0
1992-02-01  2127.1
1992-03-01  2148.1
1992-04-01  2165.2
1992-05-01  2186.5
1992-06-01  2204.6
1992-07-01  2150.8
1992-08-01  2174.3
1992-09-01  2205.7
1992-10-01  2225.0
1992-11-01  2235.9
1992-12-01  2235.1
1993-01-01  2177.0
1993-02-01  2190.7
1993-03-01  2204.1
1993-04-01  2236.3
1993-05-01  2254.7
1993-06-01  2272.8
1993-07-01  2234.0
1993-08-01  2256.5
1993-09-01  2287.9
1993-10-01  2309.9
1993-11-01  2327.2
1993-12-01  2333.0
1994-01-01  2269.8
1994-02-01  2282.2
1994-03-01  2311.0
1994-04-01  2336.3
1994-05-01  2352.7
1994-06-01  2377.2
1994-07-01  2315.5
1994-08-01  2344.1
1994-09-01  2388.5
1994-10-01  2400.9
1994-11-01  2419.4
1994-12-01  2423.7
1995-01-01  2362.5
1995-02-01  2376.7
1995-03-01  2400.2
1995-04-01  2415.1
1995-05-01  2436.1
1995-06-01  2460.1
1995-07-01  2398.0
1995-08-01  2420.9
1995-09-01  2469.8
1995-10-01  2492.2
1995-11-01  2507.3
1995-12-01  2516.7
1996-01-01  2430.7
1996-02-01  2458.5
1996-03-01  2489.1
1996-04-01  2507.1
1996-05-01  2538.6
1996-06-01  2557.9
1996-07-01  2487.2
1996-08-01  2520.2
1996-09-01  2560.7
1996-10-01  2578.2
1996-11-01  2598.9
1996-12-01  2611.0
1997-01-01  2545.0
1997-02-01  2562.6
1997-03-01  2594.2
1997-04-01  2620.8
1997-05-01  2645.0
1997-06-01  2661.3
1997-07-01  2593.8
1997-08-01  2630.1
1997-09-01  2680.6
1997-10-01  2691.8
1997-11-01  2712.9
1997-12-01  2722.3
1998-01-01  2642.6
1998-02-01  2660.5
1998-03-01  2688.0
1998-04-01  2715.4
1998-05-01  2738.2
1998-06-01  2755.6
1998-07-01  2694.5
1998-08-01  2739.9
1998-09-01  2779.1
1998-10-01  2792.8
1998-11-01  2808.5
1998-12-01  2817.3
1999-01-01  2745.7
1999-02-01  2775.4
1999-03-01  2799.9
1999-04-01  2822.1
1999-05-01  2832.6
1999-06-01  2836.3
1999-07-01  2792.2
1999-08-01  2840.3
1999-09-01  2861.8
1999-10-01  2889.2
1999-11-01  2900.4
1999-12-01  2911.3
2000-01-01  2829.3
2000-02-01  2849.2
2000-03-01  2885.8
2000-04-01  2909.1
2000-05-01  2935.2
2000-06-01  2947.6
2000-07-01  2877.4
2000-08-01  2930.3
2000-09-01  2945.0
2000-10-01  2951.8
2000-11-01  2959.4
2000-12-01  2958.9
2001-01-01  2904.9
2001-02-01  2924.3
2001-03-01  2944.9
2001-04-01  2953.1
2001-05-01  2974.6
2001-06-01  2966.9
2001-07-01  2903.0
2001-08-01  2949.2
2001-09-01  2959.8
2001-10-01  2966.3
2001-11-01  2968.1
2001-12-01  2964.6
2002-01-01  2899.6
2002-02-01  2916.4
2002-03-01  2944.5
2002-04-01  2971.7
2002-05-01  2993.4
2002-06-01  2978.5
2002-07-01  2919.2
2002-08-01  2968.6
2002-09-01  2984.4
2002-10-01  2995.0
2002-11-01  2996.3
2002-12-01  2994.2
2003-01-01  2912.6
2003-02-01  2920.6
2003-03-01  2942.6
2003-04-01  2963.4
2003-05-01  2990.7
2003-06-01  2976.2
2003-07-01  2902.5
2003-08-01  2962.6
2003-09-01  2989.5
2003-10-01  3012.8
2003-11-01  3011.3
2003-12-01  3017.7
2004-01-01  2946.0
2004-02-01  2957.6
2004-03-01  2987.6
2004-04-01  3015.2
2004-05-01  3043.3
2004-06-01  3030.4
2004-07-01  2981.4
2004-08-01  3043.5
2004-09-01  3072.9
2004-10-01  3078.1
2004-11-01  3089.1
2004-12-01  3098.6
2005-01-01  3032.3
2005-02-01  3047.5
2005-03-01  3075.1
2005-04-01  3099.7
2005-05-01  3116.3
2005-06-01  3096.8
2005-07-01  3042.4
2005-08-01  3112.3
2005-09-01  3147.5
2005-10-01  3159.3
2005-11-01  3174.1
2005-12-01  3178.3
2006-01-01  3126.7
2006-02-01  3142.1
2006-03-01  3173.5
2006-04-01  3207.9
2006-05-01  3237.5
2006-06-01  3229.4
2006-07-01  3171.7
2006-08-01  3242.0
2006-09-01  3269.8
2006-10-01  3294.3
2006-11-01  3322.6
2006-12-01  3327.2
2007-01-01  3250.8
2007-02-01  3272.9
2007-03-01  3309.3
2007-04-01  3323.5
2007-05-01  3358.3
2007-06-01  3353.8
2007-07-01  3272.6
2007-08-01  3349.1
2007-09-01  3377.0
2007-10-01  3383.8
2007-11-01  3403.2
2007-12-01  3408.2
2008-01-01  3332.5
2008-02-01  3353.2
2008-03-01  3374.3
2008-04-01  3382.9
2008-05-01  3407.8
2008-06-01  3390.8
2008-07-01  3302.8
2008-08-01  3374.4
2008-09-01  3398.2
2008-10-01  3385.5
2008-11-01  3378.0
2008-12-01  3366.7
2009-01-01  3260.3
2009-02-01  3259.9
2009-03-01  3264.9
2009-04-01  3267.7
2009-05-01  3287.9
2009-06-01  3263.0
2009-07-01  3177.3
2009-08-01  3240.6
2009-09-01  3266.2
2009-10-01  3257.9
2009-11-01  3265.7
2009-12-01  3257.7
2010-01-01  3183.7
2010-02-01  3192.3
2010-03-01  3223.1
2010-04-01  3252.6
2010-05-01  3290.8
2010-06-01  3266.0
2010-07-01  3187.5
2010-08-01  3254.7
2010-09-01  3270.8
2010-10-01  3301.1
2010-11-01  3313.1
2010-12-01  3305.2
2011-01-01  3227.1
2011-02-01  3256.4
2011-03-01  3281.5
2011-04-01  3310.7
2011-05-01  3326.4
2011-06-01  3309.0
2011-07-01  3232.6
2011-08-01  3304.3
2011-09-01  3325.5
2011-10-01  3343.3
2011-11-01  3359.3
2011-12-01  3354.8
2012-01-01  3292.5
2012-02-01  3314.1
2012-03-01  3342.1
2012-04-01  3366.8
2012-05-01  3395.2
2012-06-01  3366.1
2012-07-01  3288.0
2012-08-01  3371.2
2012-09-01  3394.2
2012-10-01  3416.7
2012-11-01  3435.4
2012-12-01  3430.9
2013-01-01  3354.2
2013-02-01  3381.3
2013-03-01  3407.4
2013-04-01  3432.4
2013-05-01  3455.6
2013-06-01  3430.2
2013-07-01  3357.1
2013-08-01  3438.2
2013-09-01  3463.8
2013-10-01  3488.1
2013-11-01  3504.5
2013-12-01  3503.1
2014-01-01  3423.0
2014-02-01  3422.9
2014-03-01  3464.0
2014-04-01  3506.0
2014-05-01  3536.1
2014-06-01  3515.7
2014-07-01  3438.1
2014-08-01  3512.7
2014-09-01  3530.9
2014-10-01  3562.0
2014-11-01  3577.7
