Title:               All Employees: Private Service Providing in North Carolina
Series ID:           SMU37000000800000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE         VALUE
1990-01-01  1581.5
1990-02-01  1586.7
1990-03-01  1600.9
1990-04-01  1612.8
1990-05-01  1625.6
1990-06-01  1641.9
1990-07-01  1638.2
1990-08-01  1651.9
1990-09-01  1647.5
1990-10-01  1636.9
1990-11-01  1639.0
1990-12-01  1639.5
1991-01-01  1580.3
1991-02-01  1575.7
1991-03-01  1584.2
1991-04-01  1598.2
1991-05-01  1617.4
1991-06-01  1629.1
1991-07-01  1629.2
1991-08-01  1645.1
1991-09-01  1639.8
1991-10-01  1642.1
1991-11-01  1640.5
1991-12-01  1641.9
1992-01-01  1597.7
1992-02-01  1600.4
1992-03-01  1618.0
1992-04-01  1634.7
1992-05-01  1654.5
1992-06-01  1674.6
1992-07-01  1682.0
1992-08-01  1692.8
1992-09-01  1689.3
1992-10-01  1689.9
1992-11-01  1687.6
1992-12-01  1694.6
1993-01-01  1642.6
1993-02-01  1652.2
1993-03-01  1662.0
1993-04-01  1694.9
1993-05-01  1714.5
1993-06-01  1734.0
1993-07-01  1743.8
1993-08-01  1757.5
1993-09-01  1753.6
1993-10-01  1761.8
1993-11-01  1768.1
1993-12-01  1779.5
1994-01-01  1724.4
1994-02-01  1732.3
1994-03-01  1756.6
1994-04-01  1781.4
1994-05-01  1798.0
1994-06-01  1824.1
1994-07-01  1823.4
1994-08-01  1839.1
1994-09-01  1840.5
1994-10-01  1838.6
1994-11-01  1847.1
1994-12-01  1857.7
1995-01-01  1802.7
1995-02-01  1811.0
1995-03-01  1830.0
1995-04-01  1846.7
1995-05-01  1871.3
1995-06-01  1896.5
1995-07-01  1891.6
1995-08-01  1908.0
1995-09-01  1910.8
1995-10-01  1918.3
1995-11-01  1927.7
1995-12-01  1939.3
1996-01-01  1863.4
1996-02-01  1883.9
1996-03-01  1910.4
1996-04-01  1927.6
1996-05-01  1959.3
1996-06-01  1979.6
1996-07-01  1977.5
1996-08-01  1994.7
1996-09-01  1988.0
