Title:               Average Weekly Earnings of All Employees: Private Service Providing in North Carolina
Series ID:           SMU37000000800000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE         VALUE
2007-01-01  642.88
2007-02-01  651.09
2007-03-01  654.37
2007-04-01  660.99
2007-05-01  640.76
2007-06-01  641.95
2007-07-01  648.82
2007-08-01  626.91
2007-09-01  659.65
2007-10-01  640.89
2007-11-01  639.61
2007-12-01  654.72
2008-01-01  636.16
2008-02-01  642.20
2008-03-01  653.07
2008-04-01  671.74
2008-05-01  652.69
2008-06-01  668.00
2008-07-01  665.99
2008-08-01  659.82
2008-09-01  659.97
2008-10-01  688.81
2008-11-01  712.76
2008-12-01  694.11
2009-01-01  689.33
2009-02-01  692.34
2009-03-01  684.74
2009-04-01  676.78
2009-05-01  671.00
2009-06-01  674.60
2009-07-01  670.91
2009-08-01  676.99
2009-09-01  677.54
2009-10-01  683.99
2009-11-01  693.86
2009-12-01  681.34
2010-01-01  682.00
2010-02-01  686.56
2010-03-01  685.26
2010-04-01  683.30
2010-05-01  682.57
2010-06-01  675.44
2010-07-01  675.44
2010-08-01  684.58
2010-09-01  676.34
2010-10-01  683.76
2010-11-01  680.46
2010-12-01  683.43
2011-01-01  684.45
2011-02-01  688.71
2011-03-01  681.69
2011-04-01  689.47
2011-05-01  698.73
2011-06-01  684.42
2011-07-01  691.02
2011-08-01  690.24
2011-09-01  701.76
2011-10-01  722.78
2011-11-01  709.17
2011-12-01  712.97
2012-01-01  724.89
2012-02-01  723.03
2012-03-01  721.25
2012-04-01  738.47
2012-05-01  719.40
2012-06-01  728.86
2012-07-01  735.80
2012-08-01  724.23
2012-09-01  747.60
2012-10-01  726.21
2012-11-01  731.06
2012-12-01  752.30
2013-01-01  724.96
2013-02-01  734.05
2013-03-01  729.07
2013-04-01  721.91
2013-05-01  719.59
2013-06-01  738.37
2013-07-01  715.77
2013-08-01  721.10
2013-09-01  736.51
2013-10-01  719.93
2013-11-01  725.75
2013-12-01  733.93
2014-01-01  719.81
2014-02-01  730.92
2014-03-01  753.17
2014-04-01  728.20
2014-05-01  721.71
2014-06-01  736.00
2014-07-01  719.93
2014-08-01  726.61
2014-09-01  726.66
2014-10-01  724.35
2014-11-01  748.39
2014-12-01  727.87
2015-01-01  727.50
2015-02-01  749.66
2015-03-01  742.15
2015-04-01  732.27
2015-05-01  735.24
2015-06-01  735.48
2015-07-01  738.54
2015-08-01  767.76
2015-09-01  743.87
2015-10-01  753.69
2015-11-01  771.23
2015-12-01  753.08
2016-01-01  756.22
2016-02-01  765.05
2016-03-01  768.38
2016-04-01  774.08
2016-05-01  788.77
2016-06-01  777.43
2016-07-01  782.15
2016-08-01  786.72
2016-09-01  789.60
2016-10-01  807.86
2016-11-01  797.94
2016-12-01  791.34
2017-01-01  801.96
2017-02-01  805.20
2017-03-01  801.77
2017-04-01  829.46
2017-05-01  802.23
2017-06-01  797.46
2017-07-01  820.85
2017-08-01  802.34
2017-09-01  808.63
2017-10-01  832.61
2017-11-01  809.96
2017-12-01  809.16
2018-01-01  820.12
2018-02-01  840.68
2018-03-01  835.83
2018-04-01  862.24
2018-05-01  838.01
2018-06-01  832.48
2018-07-01  848.57
2018-08-01  837.67
2018-09-01  859.32
2018-10-01  852.58
