Title:               Average Weekly Earnings of All Employees: Construction in North Carolina
Series ID:           SMU37000002000000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2007-01-01  703.7
2007-02-01  711.2
2007-03-01  714.6
2007-04-01  699.1
2007-05-01  705.2
2007-06-01  703.0
2007-07-01  722.7
2007-08-01  737.8
2007-09-01  745.5
2007-10-01  735.2
2007-11-01  735.2
2007-12-01  758.9
2008-01-01  719.2
2008-02-01  733.4
2008-03-01  781.9
2008-04-01  748.2
2008-05-01  745.8
2008-06-01  808.7
2008-07-01  719.9
2008-08-01  734.9
2008-09-01  734.1
2008-10-01  753.8
2008-11-01  751.0
2008-12-01  763.9
2009-01-01  768.0
2009-02-01  773.3
2009-03-01  763.6
2009-04-01  757.9
2009-05-01  764.8
2009-06-01  768.7
2009-07-01  762.0
2009-08-01  763.5
2009-09-01  765.9
2009-10-01  752.1
2009-11-01  750.8
2009-12-01  744.7
2010-01-01  753.7
2010-02-01  750.0
2010-03-01  747.5
2010-04-01  773.4
2010-05-01  767.8
2010-06-01  776.7
2010-07-01  773.4
2010-08-01  781.9
2010-09-01  773.3
2010-10-01  779.7
2010-11-01  772.9
2010-12-01  768.4
2011-01-01  778.7
2011-02-01  784.5
2011-03-01  779.1
2011-04-01  796.3
2011-05-01  796.3
2011-06-01  786.0
2011-07-01  790.5
2011-08-01  782.9
2011-09-01  785.0
2011-10-01  798.0
2011-11-01  806.7
2011-12-01  804.3
2012-01-01  784.3
2012-02-01  793.5
2012-03-01  794.1
2012-04-01  784.1
2012-05-01  780.3
2012-06-01  780.5
2012-07-01  785.4
2012-08-01  779.4
2012-09-01  803.6
2012-10-01  780.3
2012-11-01  799.8
2012-12-01  809.9
2013-01-01  820.9
2013-02-01  799.1
2013-03-01  806.5
2013-04-01  800.3
2013-05-01  799.4
2013-06-01  792.8
2013-07-01  781.2
2013-08-01  816.5
2013-09-01  828.2
2013-10-01  808.3
2013-11-01  815.6
2013-12-01  804.8
2014-01-01  820.4
2014-02-01  780.5
2014-03-01  858.8
2014-04-01  832.7
2014-05-01  835.5
2014-06-01  850.4
2014-07-01  855.2
2014-08-01  853.6
2014-09-01  854.0
2014-10-01  854.5
2014-11-01  858.8
2014-12-01  868.5
2015-01-01  860.4
2015-02-01  865.4
2015-03-01  870.3
2015-04-01  867.3
2015-05-01  880.9
2015-06-01  884.2
2015-07-01  884.0
2015-08-01  905.2
2015-09-01  882.6
2015-10-01  906.8
2015-11-01  891.9
2015-12-01  936.7
2016-01-01  902.5
2016-02-01  871.4
2016-03-01  905.3
2016-04-01  899.3
2016-05-01  897.4
2016-06-01  897.4
2016-07-01  879.8
2016-08-01  882.7
2016-09-01  904.1
2016-10-01  903.9
2016-11-01  906.3
2016-12-01  882.4
2017-01-01  881.9
2017-02-01  918.4
2017-03-01  904.8
2017-04-01  909.8
2017-05-01  915.7
2017-06-01  923.7
2017-07-01  947.1
2017-08-01  926.5
2017-09-01  941.8
2017-10-01  942.1
2017-11-01  946.4
2017-12-01  954.6
2018-01-01  957.6
2018-02-01  965.8
2018-03-01  921.5
2018-04-01  971.1
2018-05-01  973.5
2018-06-01  970.7
2018-07-01  964.9
2018-08-01  981.2
2018-09-01  900.9
2018-10-01  946.4
