Title:               Average Weekly Earnings of All Employees: Manufacturing in North Carolina
Series ID:           SMU37000003000000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2007-01-01  743.1
2007-02-01  748.3
2007-03-01  780.9
2007-04-01  756.4
2007-05-01  762.8
2007-06-01  760.6
2007-07-01  759.7
2007-08-01  750.4
2007-09-01  761.8
2007-10-01  750.9
2007-11-01  745.5
2007-12-01  748.8
2008-01-01  741.5
2008-02-01  726.3
2008-03-01  729.9
2008-04-01  739.1
2008-05-01  719.8
2008-06-01  737.6
2008-07-01  714.9
2008-08-01  743.6
2008-09-01  716.8
2008-10-01  747.9
2008-11-01  751.0
2008-12-01  744.1
2009-01-01  735.1
2009-02-01  744.6
2009-03-01  747.0
2009-04-01  734.2
2009-05-01  749.2
2009-06-01  751.2
2009-07-01  759.5
2009-08-01  762.6
2009-09-01  765.0
2009-10-01  767.9
2009-11-01  772.0
2009-12-01  773.0
2010-01-01  802.3
2010-02-01  804.1
2010-03-01  797.8
2010-04-01  809.4
2010-05-01  816.4
2010-06-01  794.1
2010-07-01  813.2
2010-08-01  815.6
2010-09-01  797.1
2010-10-01  801.9
2010-11-01  802.9
2010-12-01  800.9
2011-01-01  824.6
2011-02-01  817.8
2011-03-01  806.7
2011-04-01  811.3
2011-05-01  826.1
2011-06-01  823.6
2011-07-01  823.9
2011-08-01  812.2
2011-09-01  826.7
2011-10-01  839.9
2011-11-01  830.3
2011-12-01  839.1
2012-01-01  850.0
2012-02-01  842.4
2012-03-01  845.4
2012-04-01  851.6
2012-05-01  828.0
2012-06-01  825.2
2012-07-01  828.9
2012-08-01  821.3
2012-09-01  844.2
2012-10-01  836.7
2012-11-01  845.6
2012-12-01  853.7
2013-01-01  843.9
2013-02-01  843.1
2013-03-01  848.3
2013-04-01  848.5
2013-05-01  842.0
2013-06-01  854.1
2013-07-01  853.5
2013-08-01  858.6
2013-09-01  867.7
2013-10-01  851.0
2013-11-01  862.7
2013-12-01  878.6
2014-01-01  855.1
2014-02-01  856.6
2014-03-01  905.6
2014-04-01  888.4
2014-05-01  885.8
2014-06-01  901.8
2014-07-01  892.6
2014-08-01  899.4
2014-09-01  912.2
2014-10-01  898.2
2014-11-01  912.7
2014-12-01  895.3
2015-01-01  890.3
2015-02-01  886.5
2015-03-01  885.6
2015-04-01  872.9
2015-05-01  880.7
2015-06-01  858.6
2015-07-01  860.2
2015-08-01  876.8
2015-09-01  855.6
2015-10-01  861.9
2015-11-01  862.2
2015-12-01  869.1
2016-01-01  861.4
2016-02-01  871.7
2016-03-01  875.8
2016-04-01  889.1
2016-05-01  894.1
2016-06-01  895.3
2016-07-01  899.3
2016-08-01  901.0
2016-09-01  888.8
2016-10-01  901.8
2016-11-01  907.2
2016-12-01  909.0
2017-01-01  919.4
2017-02-01  918.0
2017-03-01  920.9
2017-04-01  907.7
2017-05-01  930.6
2017-06-01  932.1
2017-07-01  939.7
2017-08-01  933.6
2017-09-01  945.2
2017-10-01  957.9
2017-11-01  943.9
2017-12-01  946.6
2018-01-01  946.0
2018-02-01  962.7
2018-03-01  957.9
2018-04-01  961.8
2018-05-01  945.7
2018-06-01  965.1
2018-07-01  963.6
2018-08-01  958.1
2018-09-01  925.7
2018-10-01  958.0
