Title:               Average Weekly Earnings of Production Employees: Manufacturing in North Carolina
Series ID:           SMU37000003000000030SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2001-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2001-01-01  506.0
2001-02-01  501.0
2001-03-01  499.8
2001-04-01  491.4
2001-05-01  504.3
2001-06-01  502.5
2001-07-01  507.1
2001-08-01  508.0
2001-09-01  509.3
2001-10-01  510.2
2001-11-01  509.2
2001-12-01  512.8
2002-01-01  520.8
2002-02-01  523.3
2002-03-01  526.0
2002-04-01  532.2
2002-05-01  531.4
2002-06-01  537.3
2002-07-01  529.7
2002-08-01  541.3
2002-09-01  530.6
2002-10-01  522.2
2002-11-01  521.3
2002-12-01  541.6
2003-01-01  531.1
2003-02-01  535.3
2003-03-01  537.5
2003-04-01  535.1
2003-05-01  532.7
2003-06-01  536.0
2003-07-01  539.2
2003-08-01  543.3
2003-09-01  551.6
2003-10-01  552.3
2003-11-01  561.9
2003-12-01  561.1
2004-01-01  559.3
2004-02-01  565.6
2004-03-01  569.2
2004-04-01  572.7
2004-05-01  580.7
2004-06-01  579.5
2004-07-01  583.4
2004-08-01  584.9
2004-09-01  577.8
2004-10-01  576.6
2004-11-01  572.9
2004-12-01  574.6
2005-01-01  573.8
2005-02-01  575.0
2005-03-01  572.9
2005-04-01  574.6
2005-05-01  570.6
2005-06-01  572.0
2005-07-01  571.1
2005-08-01  570.8
2005-09-01  572.9
2005-10-01  586.6
2005-11-01  589.6
2005-12-01  566.7
2006-01-01  576.4
2006-02-01  568.1
2006-03-01  568.3
2006-04-01  568.3
2006-05-01  576.8
2006-06-01  574.7
2006-07-01  572.1
2006-08-01  580.8
2006-09-01  592.1
2006-10-01  600.4
2006-11-01  608.6
2006-12-01  610.9
2007-01-01  611.8
2007-02-01  621.3
2007-03-01  624.0
2007-04-01  623.4
2007-05-01  626.3
2007-06-01  626.5
2007-07-01  633.2
2007-08-01  632.1
2007-09-01  634.3
2007-10-01  629.4
2007-11-01  627.6
2007-12-01  631.3
2008-01-01  634.9
2008-02-01  626.2
2008-03-01  634.0
2008-04-01  629.4
2008-05-01  619.2
2008-06-01  632.3
2008-07-01  625.6
2008-08-01  629.5
2008-09-01  621.2
2008-10-01  620.9
2008-11-01  614.9
2008-12-01  613.1
2009-01-01  604.3
2009-02-01  609.2
2009-03-01  605.4
2009-04-01  608.3
2009-05-01  606.5
2009-06-01  614.5
2009-07-01  619.3
2009-08-01  623.6
2009-09-01  624.1
2009-10-01  618.7
2009-11-01  629.3
2009-12-01  627.3
2010-01-01  640.6
2010-02-01  648.1
2010-03-01  638.9
2010-04-01  646.8
2010-05-01  645.7
2010-06-01  639.9
2010-07-01  638.4
2010-08-01  633.5
2010-09-01  634.6
2010-10-01  644.4
2010-11-01  642.1
2010-12-01  643.0
2011-01-01  642.3
2011-02-01  644.3
2011-03-01  649.6
2011-04-01  647.7
2011-05-01  659.6
2011-06-01  672.9
2011-07-01  665.8
2011-08-01  661.6
2011-09-01  665.8
2011-10-01  673.3
2011-11-01  670.4
2011-12-01  678.0
2012-01-01  682.2
2012-02-01  682.5
2012-03-01  684.0
2012-04-01  683.0
2012-05-01  669.9
2012-06-01  672.2
2012-07-01  676.2
2012-08-01  673.1
2012-09-01  689.0
2012-10-01  677.6
2012-11-01  680.9
2012-12-01  682.9
2013-01-01  687.6
2013-02-01  687.2
2013-03-01  684.0
2013-04-01  684.9
2013-05-01  690.0
2013-06-01  691.7
2013-07-01  690.8
2013-08-01  702.7
2013-09-01  701.7
2013-10-01  693.2
2013-11-01  706.7
2013-12-01  716.5
2014-01-01  702.6
2014-02-01  666.5
2014-03-01  736.3
2014-04-01  722.9
2014-05-01  722.0
2014-06-01  728.3
2014-07-01  727.3
2014-08-01  727.3
2014-09-01  732.5
2014-10-01  723.1
2014-11-01  727.2
2014-12-01  713.5
2015-01-01  723.5
2015-02-01  714.2
2015-03-01  721.9
2015-04-01  715.9
2015-05-01  719.6
2015-06-01  715.2
2015-07-01  714.5
2015-08-01  717.0
2015-09-01  713.4
2015-10-01  723.4
2015-11-01  716.9
2015-12-01  730.0
2016-01-01  727.0
2016-02-01  726.1
2016-03-01  722.2
2016-04-01  735.7
2016-05-01  733.0
2016-06-01  725.2
2016-07-01  732.0
2016-08-01  729.3
2016-09-01  726.8
2016-10-01  728.6
2016-11-01  741.0
2016-12-01  740.2
2017-01-01  735.3
2017-02-01  746.2
2017-03-01  747.1
2017-04-01  731.4
2017-05-01  745.6
2017-06-01  748.1
2017-07-01  748.2
2017-08-01  753.8
2017-09-01  759.0
2017-10-01  758.9
2017-11-01  752.3
2017-12-01  736.2
2018-01-01  753.1
2018-02-01  768.1
2018-03-01  760.8
2018-04-01  762.0
2018-05-01  764.0
2018-06-01  774.7
2018-07-01  771.4
2018-08-01  781.2
2018-09-01  738.3
2018-10-01  772.6
