Title:               Average Weekly Earnings of Production Employees: Manufacturing: Durable Goods in North Carolina
Series ID:           SMU37000003100000030SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2001-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2001-01-01  532.2
2001-02-01  525.3
2001-03-01  520.5
2001-04-01  515.1
2001-05-01  522.4
2001-06-01  520.1
2001-07-01  521.2
2001-08-01  527.3
2001-09-01  527.0
2001-10-01  530.9
2001-11-01  532.8
2001-12-01  536.8
2002-01-01  544.3
2002-02-01  548.4
2002-03-01  551.8
2002-04-01  559.1
2002-05-01  555.8
2002-06-01  564.4
2002-07-01  562.5
2002-08-01  573.4
2002-09-01  557.1
2002-10-01  549.1
2002-11-01  535.4
2002-12-01  557.2
2003-01-01  548.6
2003-02-01  555.2
2003-03-01  558.8
2003-04-01  553.0
2003-05-01  554.8
2003-06-01  561.6
2003-07-01  561.0
2003-08-01  566.6
2003-09-01  579.6
2003-10-01  580.0
2003-11-01  592.2
2003-12-01  593.9
2004-01-01  591.1
2004-02-01  594.7
2004-03-01  599.3
2004-04-01  608.8
2004-05-01  615.8
2004-06-01  612.3
2004-07-01  618.1
2004-08-01  618.0
2004-09-01  607.5
2004-10-01  609.9
2004-11-01  605.0
2004-12-01  603.6
2005-01-01  611.1
2005-02-01  606.6
2005-03-01  604.8
2005-04-01  613.9
2005-05-01  604.5
2005-06-01  604.1
2005-07-01  605.4
2005-08-01  595.7
2005-09-01  605.6
2005-10-01  613.2
2005-11-01  609.7
2005-12-01  601.4
2006-01-01  617.5
2006-02-01  601.8
2006-03-01  598.6
2006-04-01  588.5
2006-05-01  605.6
2006-06-01  602.1
2006-07-01  603.4
2006-08-01  617.5
2006-09-01  628.5
2006-10-01  640.3
2006-11-01  657.2
2006-12-01  654.1
2007-01-01  651.9
2007-02-01  661.6
2007-03-01  664.1
2007-04-01  656.5
2007-05-01  657.3
2007-06-01  659.5
2007-07-01  666.1
2007-08-01  661.5
2007-09-01  662.1
2007-10-01  651.2
2007-11-01  647.2
2007-12-01  652.5
2008-01-01  655.7
2008-02-01  648.0
2008-03-01  654.7
2008-04-01  643.9
2008-05-01  632.7
2008-06-01  648.5
2008-07-01  641.4
2008-08-01  652.5
2008-09-01  635.4
2008-10-01  632.5
2008-11-01  623.5
2008-12-01  621.4
2009-01-01  601.5
2009-02-01  610.4
2009-03-01  607.6
2009-04-01  618.5
2009-05-01  613.3
2009-06-01  620.7
2009-07-01  623.5
2009-08-01  629.0
2009-09-01  631.1
2009-10-01  632.8
2009-11-01  641.9
2009-12-01  643.1
2010-01-01  657.6
2010-02-01  663.6
2010-03-01  659.5
2010-04-01  658.8
2010-05-01  660.4
2010-06-01  658.9
2010-07-01  665.1
2010-08-01  662.2
2010-09-01  663.4
2010-10-01  675.4
2010-11-01  677.7
2010-12-01  672.0
2011-01-01  676.0
2011-02-01  682.4
2011-03-01  692.3
2011-04-01  691.7
2011-05-01  709.3
2011-06-01  727.5
2011-07-01  709.9
2011-08-01  709.0
2011-09-01  705.0
2011-10-01  724.3
2011-11-01  717.1
2011-12-01  726.6
2012-01-01  724.1
2012-02-01  721.6
2012-03-01  722.2
2012-04-01  742.5
2012-05-01  719.9
2012-06-01  726.6
2012-07-01  727.4
2012-08-01  727.7
2012-09-01  741.4
2012-10-01  728.1
2012-11-01  735.1
2012-12-01  751.9
2013-01-01  744.7
2013-02-01  747.6
2013-03-01  740.8
2013-04-01  744.6
2013-05-01  740.1
2013-06-01  744.4
2013-07-01  748.4
2013-08-01  751.5
2013-09-01  754.8
2013-10-01  750.7
2013-11-01  768.7
2013-12-01  784.0
2014-01-01  767.7
2014-02-01  722.7
2014-03-01  801.6
2014-04-01  785.3
2014-05-01  782.7
2014-06-01  787.3
2014-07-01  773.6
2014-08-01  778.7
2014-09-01  777.9
2014-10-01  774.2
2014-11-01  767.2
2014-12-01  755.7
2015-01-01  757.6
2015-02-01  752.2
2015-03-01  758.1
2015-04-01  745.5
2015-05-01  744.5
2015-06-01  739.3
2015-07-01  745.0
2015-08-01  739.3
2015-09-01  721.5
2015-10-01  736.2
2015-11-01  733.4
2015-12-01  740.6
2016-01-01  745.9
2016-02-01  735.2
2016-03-01  732.4
2016-04-01  747.8
2016-05-01  755.8
2016-06-01  737.3
2016-07-01  748.9
2016-08-01  754.3
2016-09-01  752.1
2016-10-01  758.2
2016-11-01  771.8
2016-12-01  772.8
2017-01-01  776.3
2017-02-01  786.3
2017-03-01  788.5
2017-04-01  758.5
2017-05-01  787.5
2017-06-01  786.6
2017-07-01  782.3
2017-08-01  780.3
2017-09-01  791.5
2017-10-01  784.2
2017-11-01  777.2
2017-12-01  757.0
2018-01-01  763.9
2018-02-01  786.0
2018-03-01  783.6
2018-04-01  786.3
2018-05-01  784.4
2018-06-01  800.3
2018-07-01  797.0
2018-08-01  815.5
2018-09-01  763.1
2018-10-01  802.2
