Title:               All Employees: Non-Durable Goods: Textile Mills in North Carolina
Series ID:           SMU37000003231300001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE        VALUE
1990-01-01  172.6
1990-02-01  172.6
1990-03-01  172.5
1990-04-01  173.0
1990-05-01  172.5
1990-06-01  173.0
1990-07-01  170.4
1990-08-01  170.5
1990-09-01  170.3
1990-10-01  167.8
1990-11-01  167.1
1990-12-01  165.2
1991-01-01  166.2
1991-02-01  164.7
1991-03-01  164.6
1991-04-01  165.2
1991-05-01  166.0
1991-06-01  167.1
1991-07-01  161.0
1991-08-01  162.9
1991-09-01  163.1
1991-10-01  162.4
1991-11-01  162.4
1991-12-01  162.3
1992-01-01  161.1
1992-02-01  161.1
1992-03-01  161.4
1992-04-01  161.4
1992-05-01  162.3
1992-06-01  163.4
1992-07-01  161.9
1992-08-01  161.7
1992-09-01  162.2
1992-10-01  159.3
1992-11-01  159.8
1992-12-01  160.1
1993-01-01  160.3
1993-02-01  160.7
1993-03-01  161.1
1993-04-01  161.6
1993-05-01  161.4
1993-06-01  161.8
1993-07-01  159.9
1993-08-01  159.4
1993-09-01  158.8
1993-10-01  158.5
1993-11-01  158.6
1993-12-01  158.8
1994-01-01  157.0
1994-02-01  156.8
1994-03-01  157.0
1994-04-01  157.8
1994-05-01  157.6
1994-06-01  158.7
1994-07-01  159.0
1994-08-01  160.1
1994-09-01  160.2
1994-10-01  158.3
1994-11-01  158.3
1994-12-01  158.5
1995-01-01  156.8
1995-02-01  156.7
1995-03-01  156.4
1995-04-01  156.9
1995-05-01  156.8
1995-06-01  156.1
1995-07-01  154.3
1995-08-01  153.4
1995-09-01  152.4
1995-10-01  150.9
1995-11-01  150.7
1995-12-01  149.5
1996-01-01  147.0
1996-02-01  147.3
1996-03-01  145.4
1996-04-01  146.5
1996-05-01  147.5
1996-06-01  148.0
1996-07-01  145.5
1996-08-01  145.2
1996-09-01  144.4
1996-10-01  143.9
1996-11-01  143.5
1996-12-01  143.4
1997-01-01  141.5
1997-02-01  141.3
1997-03-01  141.3
1997-04-01  139.2
1997-05-01  139.4
1997-06-01  140.0
1997-07-01  138.7
1997-08-01  138.6
1997-09-01  138.7
1997-10-01  136.9
1997-11-01  134.1
1997-12-01  134.4
1998-01-01  132.6
1998-02-01  132.0
1998-03-01  131.3
1998-04-01  131.8
1998-05-01  131.1
1998-06-01  130.7
1998-07-01  127.3
1998-08-01  127.3
1998-09-01  126.7
1998-10-01  125.0
1998-11-01  124.1
1998-12-01  124.0
1999-01-01  122.4
1999-02-01  121.5
1999-03-01  120.6
1999-04-01  119.2
1999-05-01  118.8
1999-06-01  118.8
1999-07-01  115.3
1999-08-01  115.4
1999-09-01  114.8
1999-10-01  114.1
1999-11-01  113.8
1999-12-01  114.0
2000-01-01  111.3
2000-02-01  111.9
2000-03-01  111.7
2000-04-01  111.6
2000-05-01  111.1
2000-06-01  111.0
2000-07-01  108.7
2000-08-01  108.4
2000-09-01  108.0
