Title:               Average Hourly Earnings of All Employees: Information in North Carolina
Series ID:           SMU37000005000000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE        VALUE
2007-01-01  29.47
2007-02-01  29.36
2007-03-01  29.46
2007-04-01  30.30
2007-05-01  29.24
2007-06-01  29.49
2007-07-01  29.59
2007-08-01  28.41
2007-09-01  30.30
2007-10-01  28.75
2007-11-01  29.90
2007-12-01  30.57
2008-01-01  29.53
2008-02-01  29.25
2008-03-01  30.17
2008-04-01  29.69
2008-05-01  30.17
2008-06-01  29.76
2008-07-01  30.29
2008-08-01  30.87
2008-09-01  29.32
2008-10-01  27.73
2008-11-01  29.38
2008-12-01  27.74
2009-01-01  28.16
2009-02-01  28.00
2009-03-01  28.16
2009-04-01  27.36
2009-05-01  27.78
2009-06-01  27.54
2009-07-01  27.55
2009-08-01  27.66
2009-09-01  27.48
2009-10-01  28.35
2009-11-01  29.07
2009-12-01  28.12
2010-01-01  28.37
2010-02-01  29.26
2010-03-01  28.06
2010-04-01  28.07
2010-05-01  28.68
2010-06-01  27.80
2010-07-01  27.68
2010-08-01  27.53
2010-09-01  28.32
2010-10-01  29.10
2010-11-01  28.70
2010-12-01  28.27
2011-01-01  28.55
2011-02-01  29.08
2011-03-01  28.19
2011-04-01  28.86
2011-05-01  28.96
2011-06-01  28.53
2011-07-01  29.79
2011-08-01  29.29
2011-09-01  29.82
2011-10-01  30.39
2011-11-01  30.66
2011-12-01  30.29
2012-01-01  31.21
2012-02-01  30.52
2012-03-01  29.94
2012-04-01  31.34
2012-05-01  30.95
2012-06-01  31.47
2012-07-01  31.60
2012-08-01  30.72
2012-09-01  32.50
2012-10-01  30.92
2012-11-01  30.50
2012-12-01  31.47
2013-01-01  31.20
2013-02-01  30.99
2013-03-01  31.25
2013-04-01  30.93
2013-05-01  30.37
2013-06-01  31.53
2013-07-01  30.73
2013-08-01  31.00
2013-09-01  31.72
2013-10-01  31.29
2013-11-01  32.08
2013-12-01  31.92
2014-01-01  31.85
2014-02-01  33.95
2014-03-01  32.05
2014-04-01  31.18
2014-05-01  31.82
2014-06-01  32.15
2014-07-01  32.40
2014-08-01  32.36
2014-09-01  33.26
2014-10-01  33.28
2014-11-01  34.96
2014-12-01  33.91
2015-01-01  34.11
2015-02-01  36.40
2015-03-01  35.36
2015-04-01  35.71
2015-05-01  35.55
2015-06-01  35.07
2015-07-01  34.93
2015-08-01  35.93
2015-09-01  35.65
2015-10-01  36.13
2015-11-01  37.15
2015-12-01  36.77
2016-01-01  37.31
2016-02-01  39.39
2016-03-01  37.23
2016-04-01  38.48
2016-05-01  38.62
2016-06-01  37.86
2016-07-01  37.85
2016-08-01  37.70
2016-09-01  38.66
2016-10-01  39.52
2016-11-01  38.41
2016-12-01  39.28
2017-01-01  39.63
2017-02-01  39.08
2017-03-01  36.97
2017-04-01  38.50
2017-05-01  36.60
2017-06-01  37.22
2017-07-01  38.33
2017-08-01  36.74
2017-09-01  38.06
2017-10-01  39.01
2017-11-01  38.08
2017-12-01  38.87
2018-01-01  38.25
2018-02-01  40.51
2018-03-01  39.13
2018-04-01  37.93
2018-05-01  37.21
2018-06-01  36.78
2018-07-01  36.53
2018-08-01  37.34
2018-09-01  38.35
2018-10-01  37.98
