Title:               Average Hourly Earnings of All Employees: Financial Activities in North Carolina
Series ID:           SMU37000005500000003SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE       VALUE
2007-01-01  28.4
2007-02-01  29.6
2007-03-01  31.4
2007-04-01  30.6
2007-05-01  28.6
2007-06-01  27.8
2007-07-01  27.7
2007-08-01    27
2007-09-01  27.9
2007-10-01  26.7
2007-11-01  25.5
2007-12-01  26.6
2008-01-01  26.1
2008-02-01  27.8
2008-03-01  27.9
2008-04-01  27.8
2008-05-01    28
2008-06-01  27.9
2008-07-01    26
2008-08-01  27.2
2008-09-01  27.1
2008-10-01  26.6
2008-11-01  26.8
2008-12-01  26.1
2009-01-01  25.9
2009-02-01  25.1
2009-03-01  24.9
2009-04-01  25.1
2009-05-01  25.3
2009-06-01  25.4
2009-07-01  25.7
2009-08-01  25.9
2009-09-01  25.8
2009-10-01  25.7
2009-11-01    26
2009-12-01  25.7
2010-01-01  25.6
2010-02-01  25.7
2010-03-01  25.8
2010-04-01  25.7
2010-05-01  25.6
2010-06-01  25.8
2010-07-01  25.9
2010-08-01  25.7
2010-09-01  25.6
2010-10-01  26.2
2010-11-01  25.9
2010-12-01  26.4
2011-01-01  26.3
2011-02-01  26.2
2011-03-01  26.1
2011-04-01  26.2
2011-05-01  25.8
2011-06-01  25.2
2011-07-01  25.7
2011-08-01  26.4
2011-09-01  26.7
2011-10-01  26.7
2011-11-01  26.7
2011-12-01  27.0
2012-01-01  27.5
2012-02-01  27.3
2012-03-01  27.4
2012-04-01  28.3
2012-05-01  27.9
2012-06-01  27.6
2012-07-01  27.9
2012-08-01  27.7
2012-09-01  28.0
2012-10-01  27.9
2012-11-01  27.9
2012-12-01  28.0
2013-01-01  27.8
2013-02-01  27.9
2013-03-01  27.8
2013-04-01  27.8
2013-05-01  28.3
2013-06-01  28.3
2013-07-01  28.1
2013-08-01  27.8
2013-09-01  27.5
2013-10-01  27.1
2013-11-01  27.5
2013-12-01  28.0
2014-01-01  27.6
2014-02-01  27.5
2014-03-01  27.4
2014-04-01  26.6
2014-05-01  26.6
2014-06-01  27.4
2014-07-01  26.9
2014-08-01  27.0
2014-09-01  27.6
2014-10-01  28.1
2014-11-01  27.6
2014-12-01  27.5
2015-01-01  27.4
2015-02-01  27.0
2015-03-01  28.9
2015-04-01  28.5
2015-05-01  28.9
2015-06-01  28.9
2015-07-01  29.3
2015-08-01  29.9
2015-09-01  29.4
2015-10-01  29.6
2015-11-01  30.9
2015-12-01  30.7
2016-01-01  31.4
2016-02-01  32.1
2016-03-01  31.9
2016-04-01  31.9
2016-05-01  32.4
2016-06-01  32.4
2016-07-01  32.4
2016-08-01  33.2
2016-09-01  32.9
2016-10-01  33.0
2016-11-01  33.0
2016-12-01  33.5
2017-01-01  34.0
2017-02-01  34.0
2017-03-01  33.7
2017-04-01  34.6
2017-05-01  33.8
2017-06-01  33.7
2017-07-01  34.2
2017-08-01  33.9
2017-09-01  33.8
2017-10-01  33.9
2017-11-01  33.5
2017-12-01  33.1
2018-01-01  33.2
2018-02-01  33.5
2018-03-01  34.4
2018-04-01  34.4
2018-05-01  34.5
2018-06-01  34.4
2018-07-01  34.6
2018-08-01  34.3
2018-09-01  35.5
2018-10-01  35.3
