Title:               Average Weekly Earnings of All Employees: Financial Activities in North Carolina
Series ID:           SMU37000005500000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE         VALUE
2007-01-01  1029.0
2007-02-01  1052.9
2007-03-01  1103.4
2007-04-01  1133.0
2007-05-01  1018.9
2007-06-01  1005.7
2007-07-01  1028.9
2007-08-01   988.8
2007-09-01  1063.7
2007-10-01  1010.4
2007-11-01   893.4
2007-12-01   977.4
2008-01-01   919.4
2008-02-01   983.7
2008-03-01   999.6
2008-04-01  1000.5
2008-05-01   994.8
2008-06-01  1055.3
2008-07-01   945.1
2008-08-01   975.2
2008-09-01   975.9
2008-10-01   967.1
2008-11-01  1043.5
2008-12-01   991.4
2009-01-01   988.3
2009-02-01   952.8
2009-03-01   936.8
2009-04-01   932.4
2009-05-01   932.2
2009-06-01   944.5
2009-07-01   937.2
2009-08-01   939.5
2009-09-01   929.7
2009-10-01   914.4
2009-11-01   942.0
2009-12-01   912.2
2010-01-01   929.7
2010-02-01   936.9
2010-03-01   928.6
2010-04-01   942.2
2010-05-01   971.1
2010-06-01   970.4
2010-07-01   969.1
2010-08-01   989.0
2010-09-01   963.1
2010-10-01   989.8
2010-11-01   971.8
2010-12-01   969.6
2011-01-01   983.4
2011-02-01   982.7
2011-03-01   971.8
2011-04-01   977.7
2011-05-01   977.0
2011-06-01   949.0
2011-07-01   967.0
2011-08-01   976.5
2011-09-01   989.8
2011-10-01  1043.3
2011-11-01   998.2
2011-12-01  1016.5
2012-01-01  1055.5
2012-02-01  1009.6
2012-03-01  1023.8
2012-04-01  1061.0
2012-05-01  1013.2
2012-06-01  1023.6
2012-07-01  1045.0
2012-08-01  1014.8
2012-09-01  1054.1
2012-10-01  1027.5
2012-11-01  1019.6
2012-12-01  1058.8
2013-01-01  1005.8
2013-02-01  1024.7
2013-03-01  1012.2
2013-04-01  1016.0
2013-05-01  1033.6
2013-06-01  1073.6
2013-07-01  1016.0
2013-08-01  1014.3
2013-09-01  1010.9
2013-10-01   977.3
2013-11-01   987.1
2013-12-01  1026.5
2014-01-01  1004.2
2014-02-01  1006.9
2014-03-01  1006.1
2014-04-01   963.2
2014-05-01   963.5
2014-06-01  1023.6
2014-07-01   974.4
2014-08-01   986.9
2014-09-01  1002.0
2014-10-01  1033.8
2014-11-01  1036.4
2014-12-01  1006.1
2015-01-01  1015.3
2015-02-01  1031.4
2015-03-01  1108.1
2015-04-01  1069.2
2015-05-01  1088.0
2015-06-01  1092.7
2015-07-01  1103.7
2015-08-01  1157.3
2015-09-01  1105.9
2015-10-01  1115.7
2015-11-01  1193.5
2015-12-01  1171.3
2016-01-01  1197.9
2016-02-01  1222.7
2016-03-01  1225.2
2016-04-01  1224.2
2016-05-01  1274.9
2016-06-01  1256.7
2016-07-01  1252.1
2016-08-01  1286.4
2016-09-01  1262.9
2016-10-01  1278.6
2016-11-01  1249.7
2016-12-01  1268.9
2017-01-01  1319.9
2017-02-01  1298.9
2017-03-01  1273.1
2017-04-01  1341.7
2017-05-01  1276.8
2017-06-01  1289.6
2017-07-01  1320.1
2017-08-01  1291.4
2017-09-01  1284.3
2017-10-01  1319.4
2017-11-01  1282.7
2017-12-01  1274.0
2018-01-01  1251.1
2018-02-01  1282.4
2018-03-01  1302.3
2018-04-01  1328.3
2018-05-01  1308.5
2018-06-01  1298.9
2018-07-01  1318.9
2018-08-01  1299.1
2018-09-01  1361.6
2018-10-01  1339.3
