Title:               Average Weekly Hours of All Employees: Professional and Business Services in North Carolina
Series ID:           SMU37000006000000002SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Hours per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE       VALUE
2007-01-01  35.2
2007-02-01  35.3
2007-03-01  35.3
2007-04-01    35
2007-05-01  34.8
2007-06-01  35.3
2007-07-01  36.3
2007-08-01  35.2
2007-09-01  35.7
2007-10-01  34.9
2007-11-01  34.8
2007-12-01  35.2
2008-01-01    35
2008-02-01  35.2
2008-03-01  35.5
2008-04-01  35.4
2008-05-01  35.3
2008-06-01  36.0
2008-07-01  34.7
2008-08-01  35.3
2008-09-01    35
2008-10-01  35.2
2008-11-01  35.7
2008-12-01  34.2
2009-01-01  35.6
2009-02-01  36.5
2009-03-01  35.8
2009-04-01  35.5
2009-05-01  35.4
2009-06-01  34.8
2009-07-01  34.9
2009-08-01  34.8
2009-09-01  34.7
2009-10-01    35
2009-11-01  35.5
2009-12-01  34.5
2010-01-01  32.8
2010-02-01  33.1
2010-03-01  33.1
2010-04-01  33.1
2010-05-01  33.6
2010-06-01  33.5
2010-07-01  33.5
2010-08-01  34.1
2010-09-01  33.8
2010-10-01  33.8
2010-11-01    34
2010-12-01  33.9
2011-01-01  34.2
2011-02-01  34.7
2011-03-01  34.5
2011-04-01  35.2
2011-05-01    36
2011-06-01  35.3
2011-07-01  35.5
2011-08-01  35.3
2011-09-01  35.2
2011-10-01  35.9
2011-11-01  35.5
2011-12-01  35.5
2012-01-01  36.2
2012-02-01  35.9
2012-03-01  35.9
2012-04-01  36.1
2012-05-01  35.7
2012-06-01  35.8
2012-07-01  36.2
2012-08-01  35.8
2012-09-01  36.3
2012-10-01  35.6
2012-11-01  35.8
2012-12-01  36.6
2013-01-01  36.3
2013-02-01  36.6
2013-03-01  36.4
2013-04-01  36.2
2013-05-01  36.4
2013-06-01  36.5
2013-07-01  35.9
2013-08-01  36.4
2013-09-01  37.0
2013-10-01  36.2
2013-11-01  36.3
2013-12-01  36.3
2014-01-01  36.0
2014-02-01  35.6
2014-03-01  37.0
2014-04-01  36.4
2014-05-01  36.4
2014-06-01  36.7
2014-07-01  36.4
2014-08-01  36.5
2014-09-01  36.0
2014-10-01  36.2
2014-11-01  36.8
2014-12-01  36.0
2015-01-01  36.4
2015-02-01  36.7
2015-03-01  36.9
2015-04-01  36.1
2015-05-01  36.0
2015-06-01  35.9
2015-07-01  35.7
2015-08-01  36.5
2015-09-01  35.2
2015-10-01  35.8
2015-11-01  36.3
2015-12-01  35.7
2016-01-01  35.7
2016-02-01  35.3
2016-03-01  35.2
2016-04-01  35.3
2016-05-01  35.8
2016-06-01  35.3
2016-07-01  35.5
2016-08-01  35.5
2016-09-01  35.4
2016-10-01  35.8
2016-11-01  35.2
2016-12-01  35.7
2017-01-01  36.3
2017-02-01  35.9
2017-03-01  35.9
2017-04-01  36.1
2017-05-01  35.9
2017-06-01  36.0
2017-07-01  36.2
2017-08-01  35.8
2017-09-01  36.0
2017-10-01  36.1
2017-11-01  35.9
2017-12-01  35.6
2018-01-01  35.5
2018-02-01  36.0
2018-03-01  35.8
2018-04-01  36.6
2018-05-01  35.5
2018-06-01  35.7
2018-07-01  36.1
2018-08-01  35.6
2018-09-01  35.7
2018-10-01  34.7
